图鉴ID	类型	怪物ID	见到即解锁	序号	已废弃	解锁才显示	描述$text_name_Desc
20011201	1	00112		1			逸散在自然之中的火元素沉积形成的小小魔物。\n具有非常基础的智能水平，但似乎具有很广泛的用途。对丘丘人而言。
20011301	1	00113		2			逸散在自然之中的火元素沉积形成的魔物。\n虽然智能水平并没有随着体型的成长而提高，但真的很热。在干燥的季节，可能会引发野火。愤怒的时候会喷吐炽热的火球，情绪低落的时候会变暗，是表达能力很强的史莱姆。
20011001	1	00110		3			逸散在自然之中的水元素沉积形成的小小魔物。\n传说中，有的人会将水史莱姆当作应急用水，在去往水源难寻的干旱地带、深邃的秘境之前储备好水史莱姆。但因为浓厚的水元素，直饮史莱姆其实对人体有害。
20011101	1	00111		4			逸散在自然之中的水元素沉积形成的魔物。\n力量更强大、体型更大的水史莱姆，可以产生水泡禁锢敌人。据说在某些力量充沛的地方，尺寸可以成长到非常夸张的程度。在奔狼领就曾有人目击过有一座小土丘那么大的水史莱姆。
20010301	1	00103		5			逸散在自然之中的风元素凝聚形成的小小魔物。\n因为风元素的力量，所以具有一定程度的飘浮能力。
20010401	1	00104		6			逸散在自然之中的风元素凝聚形成的魔物。\n相比风史莱姆，因为含有更浓厚的风元素，所以漂浮能力也更强。常年生活在荒野中的丘丘人似乎也会利用这种特性，制作特殊的、以大型风史莱姆为动力的载具，运输不知从何而来的物资。
20010501	1	00105		7			逸散在自然之中的雷元素凝聚形成的小小魔物，能够放出微弱的电力。\n根据分析，雷史莱姆蹦蹦跳跳的运动方式能反映地面上的电势差。在雷元素极其丰沛的地方，可以通过观察雷史莱姆的异常运动，避开危险。
20010601	1	00106		8			逸散在自然之中的雷元素凝聚形成的魔物。\n因为体内充沛的雷元素，会间歇性向周围放电。目前，已经有人开始尝试利用这种能量去进行有益的生产活动了，新的学科或许不日也将应运而生…？
20010701	1	00107		9			逸散在自然之中的雷元素凝聚形成的魔物。\n雷史莱姆异变产生的，明黄色的史莱姆。因为体内充沛的雷元素，会间歇性向周围放电，并能向附近的雷史莱姆放出电弧；但紫色的雷史莱姆之间并不会通电。由此看来，雷史莱姆似乎具有两极。\n以此为基点，或许能成为某种伟大学科的开端…
20010101	1	00101		10			因为充沛的草元素，而发生了生态上的质变的史莱姆。\n从生态而言，也获得了草元素的弱点。一旦遇上明火，就会剧烈地燃烧。
20010201	1	00102		11			因为充沛的草元素，而发生了生态上的质变的史莱姆。\n但也有人认为，从热衷于通过欺骗性的伪装来偷袭猎物，类似骗骗花的捕猎行为来看，或许是被特殊的植物寄生的史莱姆。从这个角度来看，草史莱姆在某些文化当中，或许被认为具有特别的药用价值…？
