ID	Schedule_ID	挑战关卡ID	挑战难度	WatcherID	GroupID	怪物修正ID
1	5019001	1	1	1501901	133001576	2000
2	5019001	1	2	1501902	133001576	2001
3	5019001	1	3	1501903	133001576	2002
4	5019001	2	1	1501904	133001577	2000
5	5019001	2	2	1501905	133001577	2001
6	5019001	2	3	1501906	133001577	2002
7	5019001	3	1	1501907	133001582;133001583;133001584	2000
8	5019001	3	2	1501908	133001582;133001583;133001584	2001
9	5019001	3	3	1501909	133001582;133001583;133001584	2002
10	5019001	4	1	1501910	133001578	2000
11	5019001	4	2	1501911	133001578	2001
12	5019001	4	3	1501912	133001578	2002
13	5019001	5	1	1501913	133001579	2000
14	5019001	5	2	1501914	133001579	2001
15	5019001	5	3	1501915	133001579	2002
16	5019001	6	1	1501916	133001581	2000
17	5019001	6	2	1501917	133001581	2001
18	5019001	6	3	1501918	133001581	2002
19	5019001	7	1	1501919	133001580	2000
20	5019001	7	2	1501920	133001580	2001
21	5019001	7	3	1501921	133001580	2002
