排序id	排序	角色ID	开放时间
1	23	10000033	2020-11-11 04:00:00
2	22	10000039	2020-11-11 04:00:00
3	21	10000029	2020-09-15 04:00:00
4	20	10000022	2020-09-15 04:00:00
5	19	10000042	2020-09-15 04:00:00
6	18	10000041	2020-09-15 04:00:00
7	17	10000035	2020-09-15 04:00:00
8	16	10000016	2020-09-15 04:00:00
9	15	10000003	2020-09-15 04:00:00
10	14	10000043	2020-09-15 04:00:00
11	13	10000036	2020-09-15 04:00:00
12	12	10000034	2020-09-15 04:00:00
13	11	10000032	2020-09-15 04:00:00
14	10	10000031	2020-09-15 04:00:00
15	9	10000027	2020-09-15 04:00:00
16	8	10000025	2020-09-15 04:00:00
17	7	10000024	2020-09-15 04:00:00
18	6	10000023	2020-09-15 04:00:00
19	5	10000020	2020-09-15 04:00:00
20	4	10000014	2020-09-15 04:00:00
21	3	10000006	2020-09-15 04:00:00
22	2	10000015	2020-09-15 04:00:00
23	1	10000021	2020-09-15 04:00:00
24	25	10000030	2020-12-02 04:00:00
25	24	10000044	2020-12-02 04:00:00
26	27	10000037	2021-01-12 18:00:00
27	26	10000038	2020-12-22 00:00:00
28	28	10000026	2021-02-02 00:00:00
29	29	10000046	2021-03-02 18:00:00
30	30	10000045	2021-04-06 18:00:00
31	31	10000048	2021-04-27 00:00:00
32	32	10000051	2021-05-18 18:00:00
33	33	10000047	2021-06-29 18:00:00
