时装ID	序号	道具ID	角色ID	Prefab路径	Prefab_Remote路径	默认时装	品级
200301	01	340001	10000003	ART/Char/Avatar/Avatar_Lady_Sword_QinCostumeSea/Avatar_Lady_Sword_QinCostumeSea	ART/Char/Avatar/Avatar_Lady_Sword_QinCostumeSea/Avatar_Lady_Sword_QinCostumeSea_Remote		4
201401	01	340000	10000014	ART/Char/Avatar/Avatar_Girl_Catalyst_BarbaraCostumeSummertime/Avatar_Girl_Catalyst_BarbaraCostumeSummertime	ART/Char/Avatar/Avatar_Girl_Catalyst_BarbaraCostumeSummertime/Avatar_Girl_Catalyst_BarbaraCostumeSummertime_Remote		4
200200	0		10000002			1	
200300	0		10000003			1	
200500	0		10000005			1	
200600	0		10000006			1	
200700	0		10000007			1	
201400	0		10000014			1	
201500	0		10000015			1	
201600	0		10000016			1	
202000	0		10000020			1	
202100	0		10000021			1	
202200	0		10000022			1	
202300	0		10000023			1	
202400	0		10000024			1	
202500	0		10000025			1	
202600	0		10000026			1	
202700	0		10000027			1	
202900	0		10000029			1	
203000	0		10000030			1	
203100	0		10000031			1	
203200	0		10000032			1	
203300	0		10000033			1	
203400	0		10000034			1	
203500	0		10000035			1	
203600	0		10000036			1	
203700	0		10000037			1	
203800	0		10000038			1	
203900	0		10000039			1	
204100	0		10000041			1	
204200	0		10000042			1	
204300	0		10000043			1	
204400	0		10000044			1	
204500	0		10000045			1	
204600	0		10000046			1	
204700	0		10000047			1	
204800	0		10000048			1	
205100	0		10000051			1	
