ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	进度	已废弃	刷新类型	是否强制刷新	完成增加点数	排期ID
72001	501				1		0		120	
72002	301				4		0		150	
72003	212	101001;101002;101003;101004;100058;100054;100028;101006			10		0		150	
72004	502	106			150		0		225	
73003	109	20040101;20040201;20040301;26020201;26020101;20050101;29020102;26050101;26050201;26050301;26050401;20040501;25090101	可联机		10		1		450	
73006	502	106			1200		1		675	
73007	502	202			500000		1		450	
73008	307				15		1		450	
73009	310	1;2;3;4			20		1		450	
73010	401	1			20		1		360	
73011	402				20		1		360	
73012	931				3		1		450	
73013	932				3		1		450	
73020	329	133002259:954			3		1		1350	
73017	1005				1000		1		675	
73018	1003				10		1		450	
73019	1007				2		1		450	
75601	214				50		2		1500	1600
75602	318				12		2		2250	1600
75603	947	1			5		2		1500	1600
75604	322				15000		2		2250	1600
75605	331	7014	1800		1		2		2250	1600
75606	212	124			1000		2		1500	1600
75607	328	144001108			30000		2		1500	1600
75608	118	25090101			3		2		1500	1600
75501	214				50		2		1500	1500
75502	318				12		2		2250	1500
75503	325	2004	2004001		1		2		1200	1500
75504	326	2004	2004001		1		2		1200	1500
75505	327	2004	2004001		15000		2		2250	1500
75508	227	5023			3000		2		1500	1500
75506	307	7103			1		2		1500	1500
75507	436				7		2		1500	1500
73014	323	1			5	1	1		360	1100
73001	212	100021;100022;100023;100024;100025;100055;100057;100056			100	1	1		450	1100
73002	212	100027;100028;100029;100030;100031;100033;100034;100058			100	1	1		450	1100
73015	307	103;104;105;106	可联机		1	1	1		675	1100
73004	109	29020101;29020102	可联机		1	1	1		675	1100
73005	307	2020;2021;2022;2023;2024;2025			1	1	1		675	1100
73016	307	103;104;105;106;2020;2021;2022;2023;2024;2025			3	1	1		1350	1100
75401	214				50		2		1500	1400
75402	318				12		2		2250	1400
75403	700	4142204			1		2		1200	1400
75404	945	5019001			1		2		1500	1400
76405	503				5		2		1500	1400
76406	939	1001	2600		1		2		1500	1400
76407	940	2002	3000		1		2		1500	1400
76408	941	9	2200		1		2		1500	1400
76409	630				20		2		2250	1400
73301	214				50		2		1500	1300
73302	318				12		2		2250	1300
73303	324				16		2		1500	1300
73304	938				7		2		1200	1300
73305	937				1		2		1200	1300
73309	435				23		2		1500	1300
73310	608	7			1		2		2250	1300
73311	606				1500		2		1500	1300
73306	937				1	1	2		1500	9998
73307	937				1	1	2		1500	9998
73308	937				1	1	2		2250	9998
75201	214				50		2		1500	1200
75202	502	106			5500		2		2250	1200
75203	318				12		2		2250	1200
75204	934	1	8		1		2		1500	1200
75205	434	5011	5011001	14	1		2		1200	1200
75206	432	3	300		1		2		2250	1200
75207	220	11413	2		1		2		1500	1200
75208	503	8	3		5		2		1200	1200
75209	322				10000		2		1500	1200
74003	214				50		2		1500	1100
74004	502	106			5500		2		2250	1100
75105	317				9		2	1	1200	1100
75106	318				12		2		2250	1100
75107	316	133104761	3		30000		2	1	1200	1100
75108	117	70950021			18		2	1	2250	1100
75109	117	70330041			6		2	1	1500	1100
74001	214				50		2		1500	9998
74002	502	106			5500		2		2250	9998
75101	423				160000		2	1	1200	9998
75102	304	8	3		1		2		2250	9998
75103	503	8	3		5		2	1	1200	9998
75104	421	1			10		2	1	1500	9998
75015	429	720			1		2	1	2250	9998
