ID	刷新ID	分组ID	对话ID列表
1	6	0	8141703;7065104
2	5	101007017	8165804
3	5	101007014	8165806
4	5	101007018	8165807
5	5	101007016	8153703
6	5	101007013	8153706
7	5	101002008	8153707
8	5	101002009	8153708
9	5	101003007	8159103
10	5	101005008	8159105
11	5	101005009	8159106
12	8	0	8204803
13	7	202005017	8243103
14	7	202005018	8243105
15	7	202005019	8243106
16	7	202005020	8243107
17	7	202005021	8243108
18	7	202005022	8243109
19	7	202005023	8243110
20	7	202005024	8243111
21	7	202005025	8243112
22	7	202005026	8243113
23	7	202005027	8243114
24	7	202006016	8162803
25	7	202006017	8210403
26	7	202006018	8210405
27	7	202006019	8162805
28	7	202006020	8162806
29	7	202006021	8162807
30	7	202006022	8162808
31	7	202006023	8210406
32	7	202012003	8210407
33	7	202012004	8210408
34	10	0	8141704;7065103
35	9	101002007	8153704
36	9	101002006	8153709
37	9	101005006	8159104
38	9	101005007	8159107
39	9	101003006	8159108
40	9	101007009	8153710
41	9	101007010	8165805
42	9	101007011	8153711
43	9	101007012	8165807
44	9	101007007	8165808
45	12	0	8204804
46	11	202005007	8243104
47	11	202005008	8243115
48	11	202005009	8243116
49	11	202005006	8243117
50	11	202005010	8243118
51	11	202005011	8243119
52	11	202005012	8243120
53	11	202005013	8243121
54	11	202005014	8243122
55	11	202005015	8243123
56	11	202005016	8243124
57	11	202006008	8162804
58	11	202006009	8210404
59	11	202006010	8210409
60	11	202006011	8162809
61	11	202006012	8162810
62	11	202006013	8162811
63	11	202006014	8162812
64	11	202006015	8210410
65	11	202012001	8210411
66	11	202012002	8210412
