章节ID	开始子任务	结束子任务	需要冒险等阶	需要开启时间	是否隐藏章节icon	关联活动ID	活动中需要冒险等阶
1001	36301	31101					
1002	37004	38406	10				
1003	39705	39604	18				
1101	100002	101801	23				
1102	101003	101609	29				
1103	102001	102510	35				
1104	800002	800311	36				
1105	1800002	1800027	36				
1201	200003	200212	30				
2001	46102	46308	5				
2002	46402	46618					
2003	48005	48508					
2004	1010003	1010115	15				
2005	45201	45406	21				
2006	49201	49010	34				
2007	1100004	1100519					
2008	1200004	1200309	26				
2009	1020003	1020204	32			2005	21
2010	1050003	1050211	38				
2011	1110009	1110311	40			2002	23
2012	1101002	1101215	40				
2013	1011002	1011306	36				
2014	1102003	1102402	40				
2015	1120001	1120212	40				
2016	1103002	1103204	40				
2017	1104003	1104505	40			3001	20
2018	1111002	1111307	40				
2019	1012002	1012214	40				
2020	1112005	1112308	40				
10001	4000100	4000108		2020-04-03 04:00:00	1		
10002	4000201	4000215		2020-04-04 04:00:00	1		
10003	4000301	4000309		2020-04-05 04:00:00	1		
10004	4000400	4000408		2020-04-06 04:00:00	1		
10005	4000500	4000506		2020-04-07 04:00:00	1		
10006	4111104	4111114					
10007	4111200	4111213					
10008	4111301	4111309					
10009	4111401	4111416					
20001					1		
10010	4121003	4121008					
10011	4121102	4121112					
10012	4121204	4121215					
10013	4121303	4121314					
10014	4121401	4121405					
10015							
10016							
10017							
10018	4131102	4131115					
10019	4131201	4131222					
10020	4131301	4131312					
10021	4141003	4141016					
10022	4141115	4141113					
10023	4141201	4141216					
10024	4141301	4141307					
10027	4001001	4001025					
10028	4001112	4001111					
10029	4001205	4001217					
10030	4001308	4001309					
101401			25				
103401			25				
103601			25				
103201			25				
103402			26				
103901			26				
