最小等级	总索引	掉落ID	掉落次数	产出来源类型	类别
1	搜刮点解谜通用蒙德	20000000	1	24	搜刮点解谜
1	搜刮点解谜通用璃月	20000100	1	24	搜刮点解谜
1	搜刮点解谜通用稻妻	20000200	1	24	搜刮点解谜
1	搜刮点解谜通用瀑布	20000300	1	24	搜刮点解谜
1	搜刮点解谜通用须弥	20000400	1	24	搜刮点解谜
1	搜刮点解谜通用至冬	20000500	1	24	搜刮点解谜
1	搜刮点解谜通用坎瑞	20000600	1	24	搜刮点解谜
1	搜刮点解谜矿石蒙德	20001000	1	24	搜刮点解谜
1	搜刮点解谜矿石璃月	20001100	1	24	搜刮点解谜
1	搜刮点解谜矿石稻妻	20001200	1	24	搜刮点解谜
1	搜刮点解谜矿石瀑布	20001300	1	24	搜刮点解谜
1	搜刮点解谜矿石须弥	20001400	1	24	搜刮点解谜
1	搜刮点解谜矿石至冬	20001500	1	24	搜刮点解谜
1	搜刮点解谜矿石坎瑞	20001600	1	24	搜刮点解谜
1	搜刮点解谜破损蒙德	20002000	1	24	搜刮点解谜
1	搜刮点解谜破损璃月	20002100	1	24	搜刮点解谜
1	搜刮点解谜破损稻妻	20002200	1	24	搜刮点解谜
1	搜刮点解谜破损瀑布	20002300	1	24	搜刮点解谜
1	搜刮点解谜破损须弥	20002400	1	24	搜刮点解谜
1	搜刮点解谜破损至冬	20002500	1	24	搜刮点解谜
1	搜刮点解谜破损坎瑞	20002600	1	24	搜刮点解谜
1	搜刮点解谜人文蒙德	20003000	1	24	搜刮点解谜
1	搜刮点解谜人文璃月	20003100	1	24	搜刮点解谜
1	搜刮点解谜人文稻妻	20003200	1	24	搜刮点解谜
1	搜刮点解谜人文瀑布	20003300	1	24	搜刮点解谜
1	搜刮点解谜人文须弥	20003400	1	24	搜刮点解谜
1	搜刮点解谜人文至冬	20003500	1	24	搜刮点解谜
1	搜刮点解谜人文坎瑞	20003600	1	24	搜刮点解谜
1	搜刮点解谜果蔬蒙德	20004000	1	24	搜刮点解谜
1	搜刮点解谜果蔬璃月	20004100	1	24	搜刮点解谜
1	搜刮点解谜果蔬稻妻	20004200	1	24	搜刮点解谜
1	搜刮点解谜果蔬瀑布	20004300	1	24	搜刮点解谜
1	搜刮点解谜果蔬须弥	20004400	1	24	搜刮点解谜
1	搜刮点解谜果蔬至冬	20004500	1	24	搜刮点解谜
1	搜刮点解谜果蔬坎瑞	20004600	1	24	搜刮点解谜
1	搜刮点解谜武器蒙德	20005000	1	24	搜刮点解谜
1	搜刮点解谜武器璃月	20005100	1	24	搜刮点解谜
1	搜刮点解谜武器稻妻	20005200	1	24	搜刮点解谜
1	搜刮点解谜武器瀑布	20005300	1	24	搜刮点解谜
1	搜刮点解谜武器须弥	20005400	1	24	搜刮点解谜
1	搜刮点解谜武器至冬	20005500	1	24	搜刮点解谜
1	搜刮点解谜武器坎瑞	20005600	1	24	搜刮点解谜
1	搜刮点解谜遗物蒙德	20006000	1	24	搜刮点解谜
1	搜刮点解谜遗物璃月	20006100	1	24	搜刮点解谜
1	搜刮点解谜遗物稻妻	20006200	1	24	搜刮点解谜
1	搜刮点解谜遗物瀑布	20006300	1	24	搜刮点解谜
1	搜刮点解谜遗物须弥	20006400	1	24	搜刮点解谜
1	搜刮点解谜遗物至冬	20006500	1	24	搜刮点解谜
1	搜刮点解谜遗物坎瑞	20006600	1	24	搜刮点解谜
1	一次性搜刮点峭壁蒙德	19001000	1	17	一次性搜刮点
1	一次性搜刮点峭壁璃月	19001100	1	17	一次性搜刮点
1	一次性搜刮点峭壁稻妻	19001200	1	17	一次性搜刮点
1	一次性搜刮点峭壁瀑布	19001300	1	17	一次性搜刮点
1	一次性搜刮点峭壁须弥	19001400	1	17	一次性搜刮点
1	一次性搜刮点峭壁至冬	19001500	1	17	一次性搜刮点
1	一次性搜刮点峭壁坎瑞	19001600	1	17	一次性搜刮点
1	一次性搜刮点峭壁深色蒙德	19002000	1	17	一次性搜刮点
1	一次性搜刮点峭壁深色璃月	19002100	1	17	一次性搜刮点
1	一次性搜刮点峭壁深色稻妻	19002200	1	17	一次性搜刮点
1	一次性搜刮点峭壁深色瀑布	19002300	1	17	一次性搜刮点
1	一次性搜刮点峭壁深色须弥	19002400	1	17	一次性搜刮点
1	一次性搜刮点峭壁深色至冬	19002500	1	17	一次性搜刮点
1	一次性搜刮点峭壁深色坎瑞	19002600	1	17	一次性搜刮点
1	水上搜刮点蒙德	19000000	1	17	水上搜刮点
1	水上搜刮点璃月	19000100	1	17	水上搜刮点
1	水上搜刮点稻妻	19000200	1	17	水上搜刮点
1	水上搜刮点瀑布	19000300	1	17	水上搜刮点
1	水上搜刮点须弥	19000400	1	17	水上搜刮点
1	水上搜刮点至冬	19000500	1	17	水上搜刮点
1	水上搜刮点坎瑞	19000600	1	17	水上搜刮点
1	水上搜刮点群岛	19000610	1	17	水上搜刮点
1	灵龛蒙德	8000000	1	15	灵龛
1	灵龛璃月	8000100	1	15	灵龛
1	灵龛稻妻	8000200	1	15	灵龛
1	灵龛瀑布	8000300	1	15	灵龛
1	灵龛须弥	8000400	1	15	灵龛
1	灵龛至冬	8000500	1	15	灵龛
1	灵龛坎瑞	8000600	1	15	灵龛
1	战斗低级蒙德	51010000	1	19	战斗低级
6	战斗低级蒙德	51010100	1	19	战斗低级
11	战斗低级蒙德	51010200	1	19	战斗低级
16	战斗低级蒙德	51010300	1	19	战斗低级
21	战斗低级蒙德	51010400	1	19	战斗低级
26	战斗低级蒙德	51010500	1	19	战斗低级
1	战斗中级蒙德	51010500	1	19	战斗中级
6	战斗中级蒙德	51010500	1	19	战斗中级
11	战斗中级蒙德	51010500	1	19	战斗中级
16	战斗中级蒙德	51010500	1	19	战斗中级
21	战斗中级蒙德	51010600	1	19	战斗中级
26	战斗中级蒙德	51010700	1	19	战斗中级
1	战斗高级蒙德	51010700	1	19	战斗高级
6	战斗高级蒙德	51010700	1	19	战斗高级
11	战斗高级蒙德	51010700	1	19	战斗高级
16	战斗高级蒙德	51010700	1	19	战斗高级
