合成ID	解锁等级	默认显示	解锁方式	解锁参数1	解锁参数2	合成类型	合成产物	产物数量	摩拉消耗	随机产物1ID	随机产物1数量	随机产物1权重	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	配方类型
11001	1	1				1	112003	1	25		1	0	112002	3					1
11002	5	1				1	112004	1	50		1	0	112003	3					1
11003	5	1				1	112006	1	25		1	0	112005	3					1
11004	10	1				1	112007	1	50		1	0	112006	3					1
11005	5	1				1	112009	1	25		1	0	112008	3					1
11006	10	1				1	112010	1	50		1	0	112009	3					1
11007	5	1				1	112012	1	25		1	0	112011	3					1
11008	10	1				1	112013	1	50		1	0	112012	3					1
11021	15	1				1	112033	1	25		1	0	112032	3					1
11022	20	1				1	112034	1	50		1	0	112033	3					1
11023	5	1				1	112036	1	25		1	0	112035	3					1
11024	10	1				1	112037	1	50		1	0	112036	3					1
11025	5	1				1	112039	1	25		1	0	112038	3					1
11026	10	1				1	112040	1	50		1	0	112039	3					1
11009	10	1				1	112015	1	50		1	0	112014	3					1
11010	15	1				1	112016	1	125		1	0	112015	3					1
11013	10	1				1	112021	1	50		1	0	112020	3					1
11014	15	1				1	112022	1	125		1	0	112021	3					1
11015	15	1				1	112024	1	50		1	0	112023	3					1
11016	20	1				1	112025	1	125		1	0	112024	3					1
11017	15	1				1	112027	1	50		1	0	112026	3					1
11018	20	1				1	112028	1	125		1	0	112027	3					1
11019	15	1				1	112030	1	50		1	0	112029	3					1
11020	20	1				1	112031	1	125		1	0	112030	3					1
11027	5	1				1	112042	1	25		1	0	112041	3					1
11028	10	1				1	112043	1	50		1	0	112042	3					1
12001	25	1				2	114002	1	125		1	0	114001	3					1
12002	35	1				2	114003	1	350		1	0	114002	3					1
12003	45	1				2	114004	1	1075		1	0	114003	3					1
12004	25	1				2	114006	1	125		1	0	114005	3					1
12005	35	1				2	114007	1	350		1	0	114006	3					1
12006	45	1				2	114008	1	1075		1	0	114007	3					1
12007	25	1				2	114010	1	125		1	0	114009	3					1
12008	35	1				2	114011	1	350		1	0	114010	3					1
12009	45	1				2	114012	1	1075		1	0	114011	3					1
12010	25	1				2	114014	1	125		1	0	114013	3					1
12011	35	1				2	114015	1	350		1	0	114014	3					1
12012	45	1				2	114016	1	1075		1	0	114015	3					1
12013	25	1				2	114018	1	125		1	0	114017	3					1
12014	35	1				2	114019	1	350		1	0	114018	3					1
12015	45	1				2	114020	1	1075		1	0	114019	3					1
12016	25	1				2	114022	1	125		1	0	114021	3					1
12017	35	1				2	114023	1	350		1	0	114022	3					1
12018	45	1				2	114024	1	1075		1	0	114023	3					1
13001	30	1				3	104302	1	175		1	0	104301	3					1
13002	40	1				3	104303	1	550		1	0	104302	3					1
13003	30	1				3	104305	1	175		1	0	104304	3					1
13004	40	1				3	104306	1	550		1	0	104305	3					1
13005	30	1				3	104308	1	175		1	0	104307	3					1
13006	40	1				3	104309	1	550		1	0	104308	3					1
13007	30	1				3	104311	1	175		1	0	104310	3					1
13008	40	1				3	104312	1	550		1	0	104311	3					1
13009	30	1				3	104314	1	175		1	0	104313	3					1
13010	40	1				3	104315	1	550		1	0	104314	3					1
13011	30	1				3	104317	1	175		1	0	104316	3					1
13012	40	1				3	104318	1	550		1	0	104317	3					1
14001	5	1				4	111006	1	100				100072	1	100053	1			1
14002	5	1				4	111007	1	100				100072	1	100026	1			1
14003	5	1				4	111008	1	100				100085	1	100052	1			1
14004	5	1				4	111009	1	100				100085	1	100057	1			1
14005	5	1				4	111010	1	100				100072	1	100054	1			1
14006	5	1				4	111011	1	100				100072	1	100058	1			1
14008	5	1				4	111013	1	100				100081	1	100053	1			1
14009	5	1				4	111014	1	100				100081	1	100026	1			1
14010	5	1				4	111015	1	100				100083	1	100052	1			1
14011	5	1				4	111016	1	100				100083	1	100057	1			1
14012	5	1				4	111017	1	100				100081	1	100054	1			1
14013	5	1				4	111018	1	100				100081	1	100058	1			1
15001	25	1				5	104112	1	300				104111	3					1
15002	35	1				5	104113	1	900				104112	3					1
15003	45	1				5	104114	1	2700				104113	3					1
15004	25	1				5	104122	1	300				104121	3					1
15005	35	1				5	104123	1	900				104122	3					1
15006	45	1				5	104124	1	2700				104123	3					1
15010	25	1				5	104142	1	300				104141	3					1
15011	35	1				5	104143	1	900				104142	3					1
15012	45	1				5	104144	1	2700				104143	3					1
15013	25	1				5	104152	1	300				104151	3					1
15014	35	1				5	104153	1	900				104152	3					1
15015	45	1				5	104154	1	2700				104153	3					1
15016	25	1				5	104162	1	300				104161	3					1
15017	35	1				5	104163	1	900				104162	3					1
15018	45	1				5	104164	1	2700				104163	3					1
15019	25	1				5	104172	1	300				104171	3					1
15020	35	1				5	104173	1	900				104172	3					1
15021	45	1				5	104174	1	2700				104173	3					1
200004	23	0	3	4131112		99	200004	1	50				200001	1	200002	1	200003	1	1
220029	21	0	4	2005	2005041	99	220029	20	0				100053	1	100081	1			1
220030	21	0	4	2005	2005041	99	220030	20	0				100053	1	100082	1			1
220031	21	0	4	2005	2005041	99	220031	20	0				100053	1	100083	1			1
16003	1	0	1	101210	101215	99	100490	1	0				100487	1					1
16004	1	0	1	101210	101215	99	100491	1	0				100488	1					1
16005	1	0	1	101210	101215	99	100492	1	0				100489	1					1
16006	1	0	1	2250006	2250006	99	100546	1	0				100016	3					1
22007	10	0	2			6	220007	1	100				100085	1	106	40			1
22005	10	0	2			6	220005	1	500				112021	1	100082	2	101003	5	1
22001	10	0	2			6	220001	1	500				100057	5	100023	5	101003	1	1
22002	10	0	2			6	220002	1	500				100058	5	100030	5	101003	1	1
30001	35	1				7	101401	10	0				100029	1					1
30002	35	1				8	101402	1	0				100002	1					1
30003	35	1				8	101402	1	0				100013	1					1
30004	35	1				8	101402	1	0				100022	1					1
30005	35	1				8	101403	1	0				100051	1					1
30006	35	1				8	101403	1	0				100058	1					1
30007	35	1				8	101404	1	0				100016	1					1
30008	35	1				8	101404	1	0				100021	1					1
