ID	料理类型	烹饪方式	默认解锁	熟练度上限	品质1ID	品质1数量	品质2ID	品质2数量	品质3ID	品质3数量	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量	材料5ID	材料5数量	烹饪自动QTE权重
1001	1	4	1	5	108011	1	108012	1	108013	1	100011	1	100064	1	0	0	0	0	0	0	0,0,100
1003	1	4	1	5	108004	1	108005	1	108006	1	100062	1	0	0	0	0	0	0	0	0	0,0,100
1004	1	4	1	5	108007	1	108008	1	108009	1	100061	2	0	0	0	0	0	0	0	0	0,0,100
1005	1	2	1	5	108019	1	108020	1	108021	1	100014	1	100016	1	0	0	0	0	0	0	0,0,100
1006	1	4	1	5	108095	1	108096	1	108097	1	100084	1	100077	1	0	0	0	0	0	0	0,0,100
1007	1	4	0	5	108225	1	108226	1	108227	1	100016	1	110006	1	0	0	0	0	0	0	0,0,100
1101	1	4	0	5	108092	1	108093	1	108094	1	100061	1	110001	1	0	0	0	0	0	0	0,0,100
1102	1	3	0	5	108098	1	108099	1	108100	1	100061	1	100027	1	0	0	0	0	0	0	0,0,100
1103	1	4	0	5	108107	1	108108	1	108109	1	100084	1	100077	1	0	0	0	0	0	0	0,0,100
1104	1	1	0	5	108197	1	108198	1	108199	1	100092	1	100032	1	0	0	0	0	0	0	0,0,100
2001	1	2	0	10	108015	1	108016	1	108017	1	110001	2	100061	2	100079	1	0	0	0	0	0,0,100
2002	1	1	1	10	108031	1	108032	1	108033	1	100064	2	100012	2	0	0	0	0	0	0	0,0,100
2003	3	1	0	10	108034	1	108035	1	108036	1	110003	1	100076	1	100018	1	0	0	0	0	0,0,100
2004	3	2	0	10	108037	1	108038	1	108039	1	100061	2	110002	2	100015	1	0	0	0	0	0,0,100
2005	1	4	0	10	108022	1	108023	1	108024	1	100051	3	110001	2	100062	1	0	0	0	0	0,0,100
2006	2	4	1	10	108025	1	108026	1	108027	1	110001	3	100014	2	100077	1	0	0	0	0	0,0,100
2007	2	2	1	10	108028	1	108029	1	108030	1	100018	2	100001	2	100062	1	100080	1	0	0	0,0,100
2008	4	4	1	10	108001	1	108002	1	108003	1	110001	3	100079	2	100076	1	100078	1	0	0	0,0,100
2009	3	2	0	10	108204	1	108205	1	108206	1	100094	2	100013	2	100079	1	0	0	0	0	0,0,100
2010	2	2	0	15	108241	1	108242	1	108243	1	100080	6	110002	4	100077	3	0	0	0	0	0,0,100
2101	2	1	0	10	108080	1	108081	1	108082	1	100078	3	110006	1	100089	1	0	0	0	0	0,0,100
2102	2	3	0	10	108083	1	108084	1	108085	1	100064	2	100027	1	100077	1	0	0	0	0	0,0,100
2103	4	2	0	10	108086	1	108087	1	108088	1	100015	2	100088	2	100026	1	0	0	0	0	0,0,100
2104	1	1	0	10	108089	1	108090	1	108091	1	100063	2	100061	2	0	0	0	0	0	0	0,0,100
2105	1	1	0	10	108104	1	108105	1	108106	1	100092	3	100093	3	100013	2	0	0	0	0	0,0,100
2106	3	1	0	10	108119	1	108120	1	108121	1	100026	1	100062	1	110006	1	0	0	0	0	0,0,100
2107	1	1	0	15	108125	1	108126	1	108127	1	100093	5	100080	4	110001	3	0	0	0	0	0,0,100
2108	3	1	0	10	108141	1	108142	1	108143	1	100011	3	100061	2	110001	2	0	0	0	0	0,0,100
2109	1	2	0	10	108188	1	108189	1	108190	1	100063	2	100015	2	0	0	0	0	0	0	0,0,100
2110	2	3	0	10	108191	1	108192	1	108193	1	100080	2	100034	1	100063	1	0	0	0	0	0,0,100
2111	2	3	0	10	108228	1	108229	1	108230	1	100016	4	100027	1	0	0	0	0	0	0	0,0,100
2112	1	2	0	10	108176	1	108177	1	108178	1	100074	1	100088	1	0	0	0	0	0	0	0,0,100
2113	1	3	0	10	108185	1	108186	1	108187	1	100084	2	100092	2	100015	2	0	0	0	0	0,0,100
3001	4	2	0	15	108049	1	108050	1	108051	1	100073	4	100056	1	100016	2	0	0	0	0	0,0,100
3002	2	4	0	15	108052	1	108053	1	108054	1	100063	3	110001	3	100020	2	110004	2	0	0	0,0,100
3003	2	1	0	15	108059	1	108060	1	108061	1	110005	1	110010	1	110011	1	100016	1	0	0	0,0,100
3004	3	2	0	15	108062	1	108063	1	108064	1	100061	3	100013	2	110006	2	0	0	0	0	0,0,100
3005	1	1	0	15	108065	1	108066	1	108067	1	100074	1	110005	1	110002	1	100018	1	0	0	0,0,100
3006	1	4	0	15	108041	1	108042	1	108043	1	100011	4	110001	3	100018	2	110009	1	0	0	0,0,100
3007	1	4	0	15	108045	1	108046	1	108047	1	100020	2	100080	1	110008	1	0	0	0	0	0,0,100
3008	2	1	0	15	108055	1	108056	1	108057	1	100061	3	100080	3	100055	1	110009	1	0	0	0,0,100
3009	3	3	0	15	108110	1	108111	1	108112	1	100013	4	100080	4	100076	4	0	0	0	0	0,0,100
3010	2	3	0	15	108167	1	108168	1	108169	1	100062	4	110001	3	110005	1	0	0	0	0	0,0,100
3011	1	3	0	15	108170	1	108171	1	108172	1	100061	3	100001	3	110004	1	100077	1	0	0	0,0,100
3012	4	4	0	15	108207	1	108208	1	108209	1	110004	3	100084	3	100075	1	100055	1	0	0	0,0,100
3013	1	4	0	15	108222	1	108223	1	108224	1	100016	4	100093	4	100080	3	100051	2	0	0	0,0,100
3014	1	4	0	15	108238	1	108239	1	108240	1	100064	4	110001	2	100018	2	110004	2	0	0	0,0,100
3101	3	4	0	15	108071	1	108072	1	108073	1	100061	3	100084	3	110001	3	100075	2	0	0	0,0,100
3102	1	2	0	15	108074	1	108075	1	108076	1	100084	3	100027	1	100075	1	100034	1	0	0	0,0,100
3103	1	3	0	15	108077	1	108078	1	108079	1	100084	4	100079	2	110001	2	110006	1	0	0	0,0,100
3104	2	3	0	15	108128	1	108129	1	108130	1	100011	3	100026	2	100027	1	100018	1	0	0	0,0,100
3105	2	3	0	15	108131	1	108132	1	108133	1	100061	3	100084	3	100092	3	100088	1	0	0	0,0,100
3106	1	3	0	15	108152	1	108153	1	108154	1	100061	2	110005	2	100091	1	0	0	0	0	0,0,100
3107	4	3	0	15	108155	1	108156	1	108157	1	110005	2	100064	2	100091	1	100011	1	0	0	0,0,100
3108	4	3	0	15	108161	1	108162	1	108163	1	100089	4	110001	2	110004	2	110006	1	0	0	0,0,100
3109	1	3	0	15	108201	1	108202	1	108203	1	100092	4	100026	2	100013	2	100051	2	0	0	0,0,100
3110	2	4	0	15	108210	1	108211	1	108212	1	100032	2	100092	2	110005	1	100027	1	0	0	0,0,100
3111	1	1	0	15	108179	1	108180	1	108181	1	100084	4	100093	2	100062	2	110001	1	0	0	0,0,100
3112	3	1	0	15	108231	1	108232	1	108233	1	100016	4	100061	3	100027	1	0	0	0	0	0,0,100
3113	2	3	0	15	108182	1	108183	1	108184	1	110005	2	100063	2	100015	1	100077	1	0	0	0,0,100
3114	4	3	0	15	108194	1	108195	1	108196	1	100093	4	110001	3	100015	3	0	0	0	0	0,0,100
4001	4	1	0	20	108164	1	108165	1	108166	1	100061	4	100062	4	110004	3	110001	2	0	0	0,0,100
4002	2	1	0	20	108235	1	108236	1	108237	1	100064	4	110004	4	100077	3	110001	3	0	0	0,0,100
4101	2	1	0	20	108068	1	108069	1	108070	1	100026	3	100027	2	100018	2	110005	1	0	0	0,0,100
4102	4	1	0	20	108101	1	108102	1	108103	1	100062	5	110001	5	100073	4	100075	2	0	0	0,0,100
4103	2	1	0	20	108158	1	108159	1	108160	1	100061	4	110006	2	100031	1	100063	1	0	0	0,0,100
4104	2	1	0	20	108246	1	108247	1	108248	1	100064	4	110005	2	100062	2	100015	1	0	0	0,0,100
5101	2	2	0	25	108122	1	108123	1	108124	1	110005	4	100073	3	100093	3	100063	3	0	0	0,0,100
