ID	领取条件1类型	领取条件1参数1	领取条件1参数2	对应章节ID	奖励ID
10140101	6	101401	1	101401	4001411
10140102	6	101401	2	101401	4001412
10140103	6	101401	3	101401	4001413
10140104	6	101401	4	101401	4001414
10140105	6	101401	5	101401	4001415
10360101	6	103601	1	103601	4003611
10360102	6	103601	2	103601	4003612
10360103	6	103601	3	103601	4003613
10360104	6	103601	4	103601	4003614
10360105	6	103601	5	103601	4003615
10360106	6	103601	6	103601	4003616
10340101	6	103401	1	103401	4003411
10340102	6	103401	2	103401	4003412
10340103	6	103401	3	103401	4003413
10340104	6	103401	4	103401	4003414
10340105	6	103401	5	103401	4003415
10340106	6	103401	6	103401	4003416
10320101	6	103201	1	103201	4003211
10320102	6	103201	2	103201	4003212
10320103	6	103201	3	103201	4003213
10320104	6	103201	4	103201	4003214
10320105	6	103201	5	103201	4003215
10320106	6	103201	6	103201	4003216
10340201	6	103402	1	103402	4003421
10340202	6	103402	2	103402	4003422
10340203	6	103402	3	103402	4003423
10340204	6	103402	4	103402	4003424
10340205	6	103402	5	103402	4003425
10340206	6	103402	6	103402	4003426
10390101	6	103901	1	103901	4003911
10390102	6	103901	2	103901	4003912
10390103	6	103901	3	103901	4003913
10390104	6	103901	4	103901	4003914
10390105	6	103901	5	103901	4003915
