ID	城市ID	事件组id	事件tag1值	事件tag2值	事件权重	事件类型	事件稀有度	事件接取任务	事件对应旧group	事件对应新group	组合关系	[满足条件]1类型	[满足条件]1参数1	[满足条件]1参数2	[满足条件]1参数3	[满足条件]2类型	[满足条件]2参数1	[满足条件]2参数2	[满足条件]2参数3	[满足条件]3类型	[满足条件]3参数1	[满足条件]3参数2	[满足条件]3参数3	完成条件类型	完成条件参数1	完成条件参数2	完成进度	[完成执行]1条件类型	[完成执行]1条件参数1	[完成执行]1条件参数2	[完成执行]1条件参数3	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2	[完成执行]1参数3	[完成执行]2条件类型	[完成执行]2条件参数1	[完成执行]2条件参数2	[完成执行]2条件参数3	[完成执行]2类型	[完成执行]2参数1	[完成执行]2参数2	[完成执行]2参数3	[完成执行]3条件类型	[完成执行]3条件参数1	[完成执行]3条件参数2	[完成执行]3条件参数3	[完成执行]3类型	[完成执行]3参数1	[完成执行]3参数2	[完成执行]3参数3	事件奖励索引
10100	1	1001	0	0	80	1	2		133003170	133003474														5			8																									2
10101	1	1001	1006	0	80	1	2		133003136	133003477														5			8																									2
10102	1	1001	1002	0	80	1	2		133001034	133001306														5			8																									2
10103	1	1001	1002	0	80	1	2		133001158	133001307														5			8																									2
10104	1	1001	0	0	80	1	2			133002267														5			8																									2
10106	1	1001	0	0	80	1	2			133002318														5			6																									2
10107	1	1001	0	0	80	1	2		133003096	133003503														5			5																									2
10200	1	1002	0	0	80	1	2		133003102,133003291,133003295,133003297,133003298,133003296,133003314	133003478														5			5																									2
10201	1	1002	1011	0	80	1	2		133003124,133003129	133003479														5			5																									2
10202	1	1002	0	0	80	1	2		133001357	133001309		2	18											5			5																									2
10203	1	1002	1008	0	80	1	2		133004243,133004244	133004263		1	39602											5			5																									2
10204	1	1002	1007	0	80	1	2		133004101,133004102,133004103	133004264														5			5																									2
10205	1	1002	0	0	80	1	2		133007019,133007152,133007039,133007079,133007058	133007231		1	39602											5			5																									2
10206	1	1002	1001	0	80	1	2		133002224,133002223,133002231,133002235	133002268														5			5																									2
10500	1	1002	0	0	80	1	2		133004129,133004126,133004084,133004130,133004127,133004101	133004253														5			1																									2
10502	1	1002	0	0	80	1	2			133001295		2	60											5			1																									2
10503	1	1002	0	0	80	1	2		133001089,133001108	133001296		1	41803											5			1																									2
10504	1	1002	0	0	80	1	2		133001090	133001297		1	41803											5			1																									2
10505	1	1002	0	0	80	1	2			133007226		1	39602											5			1																									2
10506	1	1002	1008	0	80	1	2			133004254		1	39602											5			1																									2
10507	1	1002	0	0	80	1	2		133003095	133003467														5			1																									2
10300	1	1003	0	0	70	1	2		133001232,133001216,133001217,133001223	133001291														2	70300101		2																									2
10301	1	1003	0	0	80	1	2		133003001,133003378,133003367,133003005,133003358,133003399,133003438	133003455														2	70300101		2																									2
10302	1	1003	0	0	80	1	2			133001308														2	70300101		2																									2
10303	1	1003	0	0	80	1	2		133001234,133001235,133001211,133001210,133001067	133001310														2	70300101		2																									2
10304	1	1003	0	0	80	1	2		133001142,133001247,133001263,133001200,133001144,133001143	133001311														2	70300101		2																									2
10305	1	1003	0	0	70	1	2		133004120,133004076,133004065,133004125	133004250		1	45406											2	70300101		2																									2
10306	1	1003	0	0	80	1	2		133007211,133007212	133007232		1	38803											2	70300101		2																									2
10400	1	1003	1002	0	50	1	2		133001160,133001280,133001258,133001144,133001145,133001281,133001263,133001069	133001304														5			10																									2
10401	1	1003	1011	0	80	1	2		133003092,133003154,133003285	133003480														5			8																									2
10402	1	1003	1003	0	80	1	2		133002085,133002084	133002269														5			8																									2
10403	1	1003	1007	0	80	1	2		133002232,133002237	133002270														5			8																									2
10404	1	1003	0	0	80	1	2		133004242,133004193,133004043,133004240	133004265		2	15											5			8																									2
10405	1	1003	10102	0	0	1	2		133003324,133003269,133003222,133003221,133003337,133003218	133003481														5			8																									2
10700	1	1003	1002	0	30	1	2		133001034,133001158,133001371,133001160,133001145,133001404	133001379		8	25											8	203	133001379	1																									2
10701	1	1003	10102	0	30	1	2		133003322,133003318,133003269,133003272,133003214,133003212,133003211	133003521		8	25			1	1012009							8	203	133003521	1																									2
10702	1	1003	10102	0	30	1	2		133003530,133003315,133003596,133003533,133003217,133003593,133003221	133003597		8	25											8	203	133003597	1																									2
10800	1	1002	0	0	30	1	2		133002138,133002351,133002368,133002341	133002374	1	1	45406			7	3	3		8	25			8	207	133002374	1																									2
10801	1	1002	10102	0	0	1	2		133003218,133003272,133003214	133003539	1	7	3	11		8	25							8	207	133003539	1																									2
10900	1	1001	1011	0	30	1	2		133003528,133003176,133003214,133003092,133001404,133001403	133003534	1	1	48803			8	35							8	15	133003534	1																									2
11000	1	1003	0	0	30	1	2			133008488		7	3	204										5	10	133008488	10																									2
11001	1	1003	0	0	30	1	2			133008495		7	3	204										5	10	133008495	10																									2
11100	1	1002	0	0	30	1	2			133008493		7	3	204										5	1	133008493	1																									2
11200	1	1002	0	0	30	1	2			133008512	1	7	3	204		8	25							8	207	133008512	1																									2
11300	1	1001	0	0	30	1	2			133008492		7	3	204										8	14	133008492	1																									2
11301	1	1001	0	0	30	1	2			133008514		7	3	204										8	14	133008514	1																									2
11400	1	1001	0	0	30	1	2			133008513		7	3	204										5	15	133008513	3																									2
11401	1	1001	0	0	0	1	2			133008491		7	3	204		1	1012112							5	15	133003534	3																									2
20500	1	2003	1006	2004	30	0	2	2000101																																												2
20501	1	2003	0	0	30	0	2	2001101																																												2
20502	1	2003	1003	0	30	0	2	2001201																																												2
20503	1	2003	1004	0	30	0	2	2001301				1	48803																																							2
20400	1	2003	0	0	10	0	2	2000501																																												2
20401	1	2003	1005	0	10	0	2	2002501																																												2
20402	1	2003	1005	0	10	0	2	2003501																																												2
20403	1	2003	0	0	10	0	2	2001901																																												2
20300	1	2003	1003	0	30	0	2	2000601																								1	20300	0	1																	2
20301	1	2003	0	2003	30	0	2	2001601																																												2
20302	1	2003	0	0	30	0	2	2002601				3	20300	0	1																																					2
20100	1	2003	1001	0	30	0	2	2000709				1	48803																																							2
20101	1	2003	1001	0	30	0	2	2001709				1	48803																																							2
20102	1	2003	1001	0	30	0	2	2001809				1	48803																																							2
20200	1	2003	0	0	30	0	1	2000801																																												1
20201	1	2003	1005	0	30	0	2	2002701																																												2
20202	1	2003	1003	0	30	0	2	2002801																																												2
20700	1	2003	0	0	30	0	2	2000909																								2	20700	2		3	20700	2	2	5	23300	3										2
20701	1	2003	0	0	30	0	2	2001009																								2	20700	2		3	20700	2	2	5	23300	3										2
20702	1	2003	0	0	30	0	2	2001509				1	39403																			2	20700	2		3	20700	2	2	5	23300	3										2
21000	1	2003	0	0	10	0	2	2003601																								5	21100	3																		2
20900	1	2003	0	0	30	0	2	2003801																																												2
21100	1	2003	0	0	30	0	1	2003701				2	20																																							1
21200	1	2003	0	0	0	0	2	2003901																																												2
20600	1	2003	0	0	30	0	2	2004001				2	25																																							2
21300	1	2003	0	0	30	0	2	2004101																																												2
21600	1	2003	0	0	30	0	1	2004401			1	2	18			4	22400	2	2																																	1
21601	1	2003	0	0	30	0	1	2005001			1	2	20			4	22400	2	2																																	1
21602	1	2003	0	0	20	0	2	2005301			1	2	22			4	22400	2	2																																	2
21603	1	2003	0	0	0	0	2	2006501																				1	22400	2	2	1	22400	2	1																	2
21604	1	2003	0	0	0	0	2	2006601																				1	22400	2	2	1	22400	2	1																	2
21400	1	2003	10101	0	30	0	1	2004201																																												1
21500	1	2003	0	2004	30	0	1	2004301																																												1
21800	1	2003	0	0	0	0	1	2004701																																												1
21700	1	2003	0	0	30	0	1	2004801				6	21700	2	50													1	21700	0	1	4	23100			1	21700	0	1	1	21700	2	100									1
21900	1	2003	0	2004	10	0	1	2004901																																												1
22000	1	2003	0	0	0	0	1	2005101																																												1
22100	1	2003	0	0	30	0	1	2005401																																												1
22200	1	2003	0	0	0	0	1	2005801																																												1
22400	1	2003	0	0	30	0	1	2006201				4	22400	2	2													1	22400	1	1	4	21603			1	22400	1	2	4	21604			2	22400	1	0	1	22400	2	2	1
22500	1	2003	0	0	30	0	1	2006001																																												1
22600	1	2003	0	0	30	0	1	2002301				1	46618																																							1
22700	1	2003	1001	2005	30	0	1	2006101				1	48508																																							1
22800	1	2003	1009	0	30	0	1	2006301				1	48508																																							1
22900	1	2003	1009	0	0	0	1	2005901																																												1
24700	1	2003	1009	0	30	0	1	2051101				6	24700	0	1																	1	24700	0	2					1	24701	0	1									1
24701	1	2003	1009	0	30	0	1	2051201				3	24701	0	1																	1	24701	0	2					1	24702	0	1									1
24702	1	2003	1009	0	30	0	1	2051301				3	24702	0	1																	1	24702	0	2																	1
23000	1	2003	1001	2005	500	0	1	2010201			1	4	23000	2	1	3	22700	3	1	6	21700	2	50									1	23000	2	1																	1
24800	1	2003	1009	0	30	0	1	2051401				3	24702	0	2																	1	24800	1	1																	1
24801	1	2003	1009	0	30	0	1	2051501				3	24702	0	2																	1	24800	1	1																	1
24802	1	2003	1009	0	30	0	1	2051601				3	24702	0	2																	1	24800	1	1																	1
24900	1	2003	10101	0	30	0	1	2051701																																												1
24100	1	2003	10101	0	30	0	1	2051801				3	24900	2	1																																					1
24101	1	2003	10101	0	30	0	1	2051901				3	24900	2	1																																					1
23100	1	2003	0	0	1000	0	1	2006801				3	21700	0	1																	1	21700	2						1	21700	0	2									1
23300	1	2003	1011	2006	30	0	1	2010301				5	20700	2	3																	2	23300	2		4	23300	2	1	5	23300	3										1
24300	1	2003	0	0	30	0	1	2070001																																												1
23600	1	2003	1011	0	30	0	1	2060001				1	38905																			1	23600	1	1																	1
24000	1	2003	0	0	30	0	1	2070101				1	1100519																																							1
24500	1	2003	0	0	30	0	1	2070201				1	7080102																																							1
24600	1	2003	0	0	30	0	1	2070301																																												1
27700	1	2003	0	0	0	0	1	2070401																																												1
24200	1	2003	1005	0	30	0	1	2010401				1	7082404																																							1
28600	1	2003	1009		100	0	1	4112501				10	2001			1	4111309			6	28600	1	3									2	28600	1																		1
28900	1	2003	10101		30	0	1	2006901				7	3	204		3	28900	1	0																																	1
29000	1	2003	1012		1000	0	1	2007015				3	28900	1	1																	1	28900	1	0																	1
29001	1	2003	1012		1000	0	1	2007112				3	28900	1	1																	1	28900	1	0																	1
29002	1	2003	1012		1000	0	1	2007213				3	28900	1	1																	1	28900	1	0																	1
29100	1	2003	1012		30	0	1	2007301				7	3	204																																						1
28800	1	2003	1012		30	0	1	2052001				7	3	204																																						1
29200	1	2003	1012		0	0	1	2052101			1	1	7010232			1	7014112			1	7010701																															1
15000	2	1101	0	0	30	1			133105270	133105257		7	3	165										5			13																									2
15001	2	1101	0	0	30	1			133102145	133102552		7	3	72										5			13																									2
15002	2	1101	0	0	30	1			133108109	133108086	1	2	24			7	3	91						5			13																									2
15100	2	1102	0	0	30	1			133103315,133103336	133103270		7	3	74										8	189	133103270	1																									2
15101	2	1102	0	0	30	1			133101079	133101096		7	3	74										8	189	133101096	1																									2
15103	2	1102	0	0	30	1			133102577,133102590	133102565														8	189	133102565	1																									2
15104	2	1102	0	0	30	1			133108088	133108093	1	2	24			7	3	91						8	189	133108093	1																									2
15105	2	1102	0	0	30	1			133104231	133104421		7	3	73										8	189	133104421	1																									2
15200	2	1104	0	0	20	1			133103115	133103267		7	3	74										5			9																									2
15201	2	1104	0	0	20	1			133104294	133104511														5			9																									2
15202	2	1104	0	0	20	1			133101061	133101092		7	3	74										5			10																									2
15203	2	1104	0	0	20	1			133103245	133103295		7	3	74										5			9																									2
15204	2	1104	0	0	20	1			133102525,133102641	133102567		7	3	74										5			9																									2
15205	2	1104	0	0	20	1			133104266	133104402														5			9																									2
15206	2	1104	0	0	20	1			133104202,133104346	133104404		7	3	73										5			9																									2
15207	2	1104	0	0	20	1				133101104		7	3	74										5			8																									2
15208	2	1104	0	0	20	1			133105112	133105264														5			8																									2
15300	2	1103	3006	0	20	1	2		133103030,133103334	133103266		7	3	74										5			8																									2
15302	2	1103	0	0	20	1	2		133104188,133104005	133104406														5			9																									2
15303	2	1103	0	0	20	1	2		133101167	133101105		7	3	74										5			8																									2
15304	2	1103	0	0	20	1	2		133105010,133105144,133105215	133105262		7	3	165										5			9																									2
15400	2	1103	0	0	30	1	2		133101091	133101094		7	3	153										5			6																									2
15401	2	1103	0	0	30	1	2			133103310		7	3	74										5			6																									2
15403	2	1103	0	0	30	1	2		133105245,133105267	133102566		7	3	116										5			5																									2
15404	2	1103	3003	0	30	1	2			133104407														5			5																									2
15405	2	1103	0	0	30	1	2		133104334,133104435	133104410														5			5																									2
15501	2	1103	3004	0	30	1			133102193,133102020	133102550														2	70300101		2																									2
15502	2	1103	3009	0	30	1				133101098		7	3	74										2	70300101		2																									2
15503	2	1103	0	0	30	1			133102146	133102562														2	70300101		2																									2
15504	2	1103	0	0	30	1			133104129	133104408		7	3	73										2	70300101		2																									2
15505	2	1103	3003	0	30	1			133104183	133104409														2	70300101		2																									2
15600	2	1104	0	0	30	1			133102469,133102470,133102379	133102555		7	3	76										5			9																									2
15601	2	1104	0	0	30	1			133103029	133103292		7	3	74										5			11																									2
15602	2	1104	3006	0	30	1			133104040	133104405		7	3	79										5			10																									2
15603	2	1104	0	0	30	1			133105045	133105261		7	3	92										5			11																									2
15604	2	1104	3007	0	30	1			133108035,133108034,133108037	133108091	1	8	40			7	3	91						5			10																									2
