台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	情绪模组ID	动作ID	眼睛表情路径	是否眨眼
8000101			1	96				
8000301			1	96				
20000201	20000202,20000203		1	1005				
20000202	20000204	1	2					
20000203	20000204	1	2					
20000204	20000205		1	1005				
20000205	20000206		1	1005				
20000206	20000207,20000208		1	1005				
20000207	20000209	1	2					
20000208	20000209	1	2					
20000209	20000210		1	1005				
20000210	20000211,20000213		1	1005				
20000211	20000212	1	2					
20000212	20000215		1	1005				
20000213	20000214	1	2					
20000214	20000215		1	1005				
20000215	20000216		1	1005				
20000216	20000217	1	2					
20000217	20000218		1	1005				
20000218	20000219,20000221		1	1005				
20000219	20000220	1	2					
20000220	20000223		1	1005				
20000221	20000222	1	2					
20000222	20000223		1	1005				
20000223	20000224,20000225		1	1005				
20000224	20000226	1	2					
20000225	20000226	1	2					
20000226	20000227		1	1005				
20000227	20000228,20000229		1	1005				
20000228	20000230	1	2					
20000229	20000230	1	2					
20000230	20000231		1	1005				
20000231			1	1005				
20000301	20000302		1	207701				
20000302	20000303		1	207701				
20000303	20000304		1	1005				
20000304	20000305		1	207701				
20000305	20000306		1	1005				
20000306	20000307		1	207701				
20000307	20000308		1	1005				
20000308	20000309		1	207701				
20000309	20000310		1	207701				
20000310	20000311		1	207701				
20000311	20000312		1	207701				
20000312	20000313	1	2					
20000313	20000314		1	207701				
20000314	20000315		1	1005				
20000315	20000316		1	207701				
20000316	20000317		1	1005				
20000317	20000318		1	207701				
20000318	20000319		1	207701				
20000319	20000320		1	207701				
20000320	20000321		1	207701				
20000321	20000322,20000323		1	207701				
20000322	20000324	1	2					
20000323	20000324	1	2					
20000324	20000325		1	207701				
20000325	20000326		1	207701				
20000326	20000327,20000328		1	1005				
20000327	20000329	1	2					
20000328	20000329	1	2					
20000329	20000330		1	207701				
20000330	20000331		1	207701				
20000331	20000332		1	1005				
20000332	20000333		1	207701				
20000333	20000334		1	207701				
20000334	20000335		1	1005				
20000335	20000336,20000337		1	207701				
20000336	20000338	1	2					
20000337	20000338	1	2					
20000338	20000339		1	207701				
20000339			1	1005				
20000401	20000402,20000403		1	1031				
20000402	20000404	1	2					
20000403	20000404	1	2					
20000404	20000405		1	1031				
20000405	20000406		1	1031				
20000406	20000407		1	1031				
20000407	20000408		1	1005				
20000408	20000409		1	1032				
20000409	20000410		1	1005				
20000410	20000411,20000413		1	1032				
20000411	20000412	1	2					
20000412	20000414		1	1031				
20000413	20000415	1	2					
20000414	20000415		1	1031				
20000415	20000416		1	1031				
20000416	20000417		1	1032				
20000417	20000418		1	1031				
20000418	20000419		1	1032				
20000419	20000420		1	1031				
20000420	20000421		1	1005				
20000421	20000422		1	1031				
20000422	20000423		1	1031				
20000423	20000424		1	1031				
20000424	20000425		1	1031				
20000425	20000426		1	1031				
20000426	20000427	1	2					
20000427	20000428		1	1031				
20000428	20000429		1	1031				
20000429	20000430		1	1005				
20000430	20000431		1	1031				
20000431	20000432		1	1031				
20000432	20000433		1	1032				
20000433	20000434		1	1005				
20000434	20000435	1	2					
20000435	20000436		1	1032				
