ID	ChallengeType	存储类型	显示中断按钮	ActivitySkillID	AbilityGroup
1	1				
2	2				
3	3				
4	4				
5	5				
6	6				
7	7				
8	8				
9	9				
10	10				
11	8				
12	9				
13	2				
14	10				
15	8		1		
16	10				
50	8				
51	2				
52	2				
53	8				
54	8				
55	3				
56	3				
57	2				
58	1				Challenge_DragonSpine_Ability_01
59	1				Challenge_DragonSpine_Ability_02
60	1				Challenge_DragonSpine_Ability_03
61	1				Challenge_DragonSpine_Ability_04
62	1				
63	8		1		
100	2				
101	3				
102	7				
103	6				
104	4				
110	7				
111	8				
120	2				
121	8				
122	8				
123	2				
124	2				
125	2				
126	8				
127	8				
128	8				
129	2				
130	2				
131	2				
132	8				
133	2				
134	8				
135	8				
136	2				
137	2				
138	2				
139	8				
140	2				
141	8				
142	2				
143	8				
144	8				
145	7				
146	2				
147	1				
148	2				
149	8				
150	8				
151	2				
152	2				
153	6				
154	7				
155	8				
156	2				
157	7				
158	4				
159	2				
160	4				
161	2				
162	4				
163	7				
164	2				
165	8				
166	2				
167	8				
168	8	1	1		
169	8				
170	8				
171	3				
172	4				
173	7				
174	2				
175	2				
176	2				
177	2				
178	2				
179	2				
180	2				
181	8				
182	2				
183	2				
184	8		1		
185	2				
186	2				
187	9				
188	10				
189	11				
190	9				
191	2				
192	10				
193	5				
194	5				
195	4				
196	1				
197	2				
198	2				
199	7				
200	8				
201	8				
202	8				
203	12		1		
204	8				
205	11				
206	12				
207	11		1		
208	1				
209	8		1		
210	8		1		
211	10		1		
212	2		1		
213	8				
214	2				
215	2				
216	2				
217	2				
218	8				
219	10				
220	8				
221	8				
222	10				
223	8				Challenge_Eula_Plot1
224	8				Challenge_Eula_Plot2
225	8				Challenge_Eula_Plot3
226	13				
227	13				
228	13				
229	23				
230	23				
231	23				
232	1				
233	23				
234	23				
237	2				
238	2				
239	2				
240	2				
241	8		1		
1000	2				
1001	2				
1002	2				
1003	2				
1004	2				
1010	10				
1011	10				
1012	10				
1013	2				
1014	2				
1020	2				
1021	2				
1022	2				
1023	10				
1024	2				
1030	2				
1031	2				
1032	2				
1033	2				
1034	2				
1040	2				
1041	2				
1042	2				
1043	2				
1044	2				
1045	2				
2001	7				
2002	8				
2003	8				
3001	2				
3002	1				
2004	1				
2005	1				
2006	2				
2007	8				
10000	1				
10001	2				
10002	8			20003	Activity_Aster_Ability
2008	13				
2009	8		1		Challenge_Gliding_Ability
2010	8				
2011	13				
2012	8		1		
2013	8				
2014	2				
9001	13				
9002	8				
9003	8				
9004	6				
9011	13				
9012	8				
9013	1				
9014	1				
9015	1				HideSeek_Hider
9016	1				
9017	1				
9018	1				
9019	1				
110100	13				
110101	9				
110102	9				
110103	9				
110104	13				
110105	14				
110106	15				
110107	13				
110108	14				
110109	15				
110110	13				
110111	14				
110112	15				
110113	13				
110114	14				
110115	15				
110116	13				
110117	14				
110118	15				
110119	13				
110120	16				
110121	15				
110122	13				
110123	17				
110124	17				
110125	18				
110126	13				
110127	14				
110128	20				
110129	13				ActivityAbility_Challenge_AtkDefUpAfterULT
110130	1				
110131	8				
110132	13				
110133	1				
110134	8				
110135	13				
110136	1				
110137	8				
110138	13				
110139	1				
110140	8				
110141	13				ActivityAbility_Challenge_FallAnthem_AddHurt
110142	1				
110143	8				
110144	13				ActivityAbility_Challenge_AreaAttackOnEnemyKilled
110145	1				ActivityAbility_Challenge_AtkSpeed
110146	8				ActivityAbility_Challenge_EnhancExtraAttack
110147	13				
110148	3				
110149	8				
110150	21				
110151	13		1		
110152	2				
110153	8				
110154	21				
110155	13		1		ActivityAbility_Challenge_Shock
110156	2				
110157	5				
110158	21				
110159	13		1		ActivityAbility_Challenge_FallingAttack
110160	2				
110161	8				
110162	21				
110163	13		1		ActivityAbility_Challenge_Frozen
110164	2				
110165	5				
110166	21				
110167	13		1		ActivityAbility_Challenge_LowHp
110168	2				
110169	8				
110170	21				
110171	13		1		ActivityAbility_Challenge_ExtraAttack
110172	2				
110173	5				
110174	21				
110175	13		1		
110176	2				
110177	8				
110178	21				
110179	21				
110180	13				
110181	1				
110182	2				
110183	8				AbilityGroup_LudiHarpastum_Set_01
110184	1				
110185	8		1		
110186	8		1		
110187	13				
110188	1				
110189	2				
110190	1				
110191	2				
110192	23				
110193	8				
110194	1				
110195	2				
110196	8				
110197	23				
110198	23				
110199	23				
