ID	类型	动态难度	序列编号	玩法类型	场景ID	脚本定时事件间隔	联机类型	显示等级	是否限制角色等级	限制等级	等级修正	前置副本	需求角色	通关条件	通关跳转地城	复活间隔时间	复活次数上限	每天准入次数	[进入消耗]1ID	[进入消耗]1数量	首通奖励RewardID	结算倒计时	失败后退出等待时间	主动退出倒计时	结算显示1	结算显示2	结算显示3	结算显示4	禁止重新挑战	开启神像消耗道具	消耗数量	神像奖励	挑战因子组合	地城状态
1	1				20008		1	5	0	1	4			8			10	1			0	999	30	3				4		0	0	0		1
2	2				20008		1	20	11	1	19			2			5	10			0	60	30	3	1	2	3			0	0	0	1000:100,1001:100,1002:100	2
3	2				20008		1	30	21	1	29			2			5	10			0	60	30	3	1	2	3			0	0	0	1000:100,1001:100,1002:100	2
4	2				20007		1	15	6	1	14			21			5	10			0	60	30	3	1	2	3			0	0	0		2
5	2				20007		1	25	16	1	24			21			5	10			0	60	30	3	1	2	3			0	0	0		2
6	2				20007		1	35	26	1	34			21			5	10			0	60	30	3	1	2	3			0	0	0		2
7	1	1			20006		1	15	0	1	14			5			5	10			0	60	30	3	1					0	0	0		2
8	2				20006		1	20	11	1	19			21			5	10			0	60	30	3	1	2	3			0	0	0		2
9	2				20006		1	30	21	1	29			21			5	10			0	60	30	3	1	2	3			0	0	0		2
10	1	1			1006		1	18	0	1	17			22			10	1			0	999	30	3						0	0	0		1
11	1	1			1017		1	35		1	34			68			10	10			0	999	30	3					1	0	0	0		1
12	2				1019		1	5	1	1	4			21			10	10			0	60	30	3	1	2	3			0	0	0		2
13	2				1011		1	1	1	1	0			9			10	10			0	120	30	3						0	0	0		2
15	2				50002		1	9	1	1	8			9			10	10			0	120	30	3						0	0	0		2
16	2				1001		1	1	1	1	0			9			10	10			0	120	30	3						0	0	0		2
17	2				50003		1	10	1	1	9			21			10	99			0	120	30	3						0	0	0		2
18	2				50004		1	10	1	1	9			21			10	99			0	120	30	3						0	0	0		2
19	2				50027		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0		2
20	2				50025		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0	1070:100	2
21	2				50026		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0	1071:100	2
24	2				1024		1	5	1	1	4			33			10	99			0	120	30	3						0	0	0		2
25	2				50009		1	10	1	1	9			21			10	99			0	120	30	3						0	0	0		2
26	2				50010		1	10	1	1	9			21			10	99			0	120	30	3						0	0	0		2
27	2				50014		1	10	1	1	9			21			10	99			0	120	30	3						0	0	0		2
28	2				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0		2
29	2				50018		1	1	1	1	0			53			10	99			0	120	30	3						0	0	0		2
30	1	1			20031		1	30	0	1	29			55			10				230012	999	30	3						0	0	0		1
31	2				50019		1	1	1	1	0			52			10	99			0	120	30	3						0	0	0		2
32	2				50020		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0		2
33	2				1031		1	35	26	1	34			51			10	99			0	120	30	3						0	0	0		2
34	2				1032		1	35	26	1	34			51			10	99			0	120	30	3						0	0	0		2
35	2				50022		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0		2
36	2				50023		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0	1050:100	2
37	2				50024		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0	1051:100	2
38	2				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1161:100	2
39	2				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1162:100	2
40	2				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1163:100	2
41	2				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1164:100	2
42	2				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1165:100	2
43	2				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1166:100	2
44	2				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1052:100	2
45	2				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1053:100	2
46	2				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1369:100	2
47	2				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1387:100	2
48	2				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1388:100	2
49	2				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1389:100	2
50	2				1050		1	5	1	1	4			21			10	10			0	60	30	3	1	2	3			0	0	0		2
55	2				40016		1	5	1	1	4			21			10	10			0	60	30	3						0	0	0		2
56	2	1			50029		1	5	1	1	4			21			10	10			0	60	30	3						0	0	0		2
57	11	1			50030		1	5	1	1	4			99			10	10			0	60	30	3						0	0	0		2
58	2	1			50031		1	5	1	1	4			21			10	10			0	60	30	3						0	0	0		2
59	2				50043		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0		2
60	2				50044		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0		2
61	2				35800		2	1	1	1	0			0			10	99			0	120	30	3						0	0	0		2
62	2	1			50017		1	5	1	1	4			21			10	10			0	60	30	3						0	0	0		2
63	2				50050		1	1	1	1	0			21			10	10			0	60	30	3						0	0	0		2
64	2				50051		1	1	1	1	0			21			10	10			0	60	30	3						0	0	0		2
101	1	1			20101		1	30	0	1	29			0			0	0			0	999	30	3					1	0	0	0		1
102	1	1			1051		1	35	0	1	34			0			0	0			0	999	30	3					1	0	0	0		1
103	7		1003		20034		2	60	0	35	59			85			0	0			0	999	30	30						0	0	0		1
104	7		1003		20034		2	70	0	40	69			85			0	0			0	999	30	30						0	0	0		1
105	7		1003		20034		2	80	0	45	79			85			0	0			0	999	30	30						0	0	0		1
106	7		1003		20034		2	90	0	50	89			85			0	0			0	999	30	30						0	0	0		1
107	1	1			20107		1	35	0	1	34			150			0	0			230053	999	30	3					1	0	0	0		1
110	7		1004		20106		2	60	0	35	59			161			0	0			0	999	30	30						0	0	0	1386:100	1
