序号	地城入口ID	类型	是否在冒险之证显示	对应地城ID	是否默认开启	条件组合	[条件]1类型	[条件]1参数1	[条件]1参数2	[条件]2类型	[条件]2参数1	[条件]2参数2	系统开放界面ID	奖励ID
1	48	4	1		0	2	1	22		2	39604		4	220404
2	50	2	1		0	2	1	16		2	38406		8	220402
3	135	2	1		0	2	1	16		2	38406			220407
4	117	7	0		0									220406
6	42	4	1		0	2	1	22		2	39604			220405
7	137	4	1		0	2	1	22		2	39604			220409
8	107	4	1		0	2	1	22		2	39604			220410
9	139	4	1		0	2	1	22		2	39604			220411
10	44	3	1		0	2	1	27		2	101801		6	220403
11	131	3	1		0	2	1	27		2	101801			220408
12	221	4	1		0	2	1	22		2	39604			220414
13	282	4	1		0	2	1	22		2	39604			220415
1001	45	6	0		0		1	20					3	220412
1002	1	7	0		0									
1003	20	7	0		0									
1004	22	7	0		0									
1005	40	7	0		0									
1006	38	8	1	2020,2021,2022,2023,2024,2025	1									
1007	52	7	0		0									
1008	113	7	0		0									
1009	102	7	0		0									
1010	89	7	0		0									
1011	119	7	0		0									
1012	125	7	0		0									
1013	129	7	0		0									
1014	146	7	0		0									
1015	133	7	0		0									
1016	218	8	1	103,104,105,106	1									
1017	223	9	0		1									
1018	265	10	0	5310	1									
1019	274	12	0	7202	1									
1020	276	12	0	7203	1									
1021	278	12	0	7201	1									
1022	280	11	0	7204	1									
1023	271	8	1	110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125	1									
1024	294	9	0		1									
