环境动物编号	实体类型	获得物品ID	逃跑距离	逃跑时间	存活时间	不在指定天气下存在
70590006	19	100072	4	1	60	雨,雷雨,雪
28010101	2	100073				
28010102	2	100073				
28010103	2	100073				
70590007	19	100072	4	1	60	雨,雷雨,雪
70590008	19	100082	3	3	30	雨,雷雨,雪
28010201	2	100083				
28010202	2	100083				
28010203	2	100083				
28010301	2	100081				
28010302	2	100081				
28010303	2	100081				
28050101	2	100085				
28040101	2	100084				
28040102	2	100084				
28040103	2	100084				
28050102	2	100085				
28010204	2	100090				
28010205	2	100090				
28010206	2	100090				
28050103	2	100085				
28040104	2	100846				
28040105	2	100825				
28040106	2	100824				
28040107	2	100823				
