DisplayID	SeriesID	condType	[参数]1类型	[参数]1参数	[参数]2类型	[参数]2参数	[参数]3类型	[参数]3参数	[参数]4类型	[参数]4参数
1101001	10101	1	3	0	3	1				
1101002	10101	1	3	0	3	1				
1101003	10101	2	4	1101024	4	1101019				
1101004	10101	1	1	10101005	3	1				
1101005	10101	1	1	10101006	3	1				
1101006	10101	1	1	10101007	3	1				
1101007	10101	1	1	10101008	3	1				
1101008	10101	2	4	1101028	4	1101019				
1101009	10101	2	4	1101029	4	1101019				
1101010	10101	2	4	1101030	4	1101019				
1101011	10101	1	1	10101012	3	1				
1101012	10101	1	1	10101013	3	1				
1101013	10101	2	4	1101025	4	1101019				
1101014	10101	2	4	1101026	4	1101019				
1101015	10101	2	4	1101031	4	1101019				
1101016	10101	2	4	1101032	4	1101019				
1101017	10101	2	4	1101034	4	1101033				
1101018	10101	1	3	1	3	1				
1101019	10101	1	1	10101026	3	1				
1101020	10101	1	1	10101027	3	1				
1101021	10101	1	1	10101028	3	1				
1101022	10101	1	1	10101024	3	1				
1101023	10101	1	1	10101025	3	1				
1101024	10101	1	1	10101004	3	1				
1101025	10101	1	1	10101019	3	1				
1101026	10101	1	1	10101020	3	1				
1101027	10101	1	1	10101008	3	1				
1101028	10101	1	1	10101009	3	1				
1101029	10101	1	1	10101010	3	1				
1101030	10101	1	1	10101011	3	1				
1101031	10101	1	1	10101021	3	3				
1101032	10101	1	1	10101022	3	3				
1101033	10101	1	3	0	1	10101026				
1101034	10101	1	1	10101023	3	1				
10201001	10201	1	1	10201032	3	20				
10201002	10201	1	1	10201032	3	35				
10201003	10201	1	1	10201031	3	900				
10201004	10201	1	1	10201031	3	1300				
10201005	10201	1	3	0	1	10201033				
10201006	10201	1	1	10201034	3	5				
10201007	10201	1	1	10201036	3	1				
10201008	10201	1	1	10201037	3	5				
