ID	数据trigger类型	SceneID组	GroupID组
1	test1	3	133004471,133004004,133004002,133004005,133004009
2	uid	3	133004471,133004004,133004002,133004005,133004009
3	hunter_miss_none	3	133004471,133004004,133004002,133004005,133004009
4	hunter_miss_one	3	133004471,133004004,133004002,133004005,133004009
5	hunter_miss_two	3	133004471,133004004,133004002,133004005,133004009
6	hunter_miss_all	3	133004471,133004004,133004002,133004005,133004009
7	prey_alive_only	3	133004471,133004004,133004002,133004005,133004009
8	extra_skill_user	3	133004471,133004004,133004002,133004005,133004009
9	prey_alive_win	3	133004471,133004004,133004002,133004005,133004009
10	prey_dead_win	3	133004471,133004004,133004002,133004005,133004009
11	prey_dead_final	3	133004471,133004004,133004002,133004005,133004009
12	prey_dead_first	3	133004471,133004004,133004002,133004005,133004009
13	hunter_catch_by_guide	3	133004471,133004004,133004002,133004005,133004009
14	hunter_detect_prey	3	133004471,133004004,133004002,133004005,133004009
15	prey_win_without_skill	3	133004471,133004004,133004002,133004005,133004009
16	prey_cheat_hunter	3	133004471,133004004,133004002,133004005,133004009
17	player_get_energy	3	133004471,133004004,133004002,133004005,133004009
18	hunter_win_by_EX	3	133004471,133004004,133004002,133004005,133004009
19	hunter_win_in_time	3	133004471,133004004,133004002,133004005,133004009
20	prey_win_by_guide	3	133004471,133004004,133004002,133004005,133004009
21	prey_win_by_detect	3	133004471,133004004,133004002,133004005,133004009
22	prey_dead_second	3	133004471,133004004,133004002,133004005,133004009
23	hunter_catch_sum	3	133004471,133004004,133004002,133004005,133004009
24	Activity_BD_MaxScore	4	144003005
25	Activity_BD_ShooterDieCount	4	144003005
26	Activity_BD_PerfectCount7006	4	144003005
27	Activity_BD_SoilCount7006	4	144003005
28	Activity_BD_SpeedCount7006	4	144003005
29	Activity_BD_FeverCount	4	144003005
30	Activity_BD_PerfectCount7013	4	144003005
31	Activity_BD_IceCount7013	4	144003005
32	Activity_BD_NoFrozenCount7013	4	144003005
33	Activity_BD_AutoReturnCount	4	144003005
34	Activity_BD_PerfectCount7014	4	144003005
35	Activity_BD_CurveCount7014	4	144003005
36	Activity_BD_NoDirtyCount7014	4	144003005
37	Activity_BD_ShieldDieCount7014	4	144003005
38	Activity_BD_DamageValue	4	144003005
39	Activity_BD_PerfectValue	4	144003005
40	Activity_BD_NoSufferHit	4	144003005
41	Activity_BD_SpeedValue	4	144003005
42	Activity_BD_ShieldDestroy	4	144003005
43	Activity_BD_FeverDestroy	4	144003005
44	Activity_BD_FeverValue	4	144003005
45	Activity_BD_PepperCount	4	144003005
46	Activity_BD_SoilCount7013	4	144003005
47	Activity_BD_SoilCount7014	4	144003005
48	Activity_BD_SpeedCount7013	4	144003005
49	Activity_BD_SpeedCount7014	4	144003005
50	Activity_BD_IceCount7006	4	144003005
51	Activity_BD_IceCount7014	4	144003005
52	Activity_BD_NoFrozenCount7006	4	144003005
53	Activity_BD_NoFrozenCount7014	4	144003005
54	Activity_BD_CurveCount7006	4	144003005
55	Activity_BD_CurveCount7013	4	144003005
56	Activity_BD_NoDirtyCount7006	4	144003005
57	Activity_BD_NoDirtyCount7013	4	144003005
58	Activity_BD_ShieldDieCount7006	4	144003005
59	Activity_BD_ShieldDieCount7013	4	144003005
