ID	DisplayID	SeriesID	Display参数	计分类型	分数
1	1101001	10101		1	10
2	1101002	10101		1	10
3	1101019	10101		1	100
4	1101020	10101	1	2	80
5	1101021	10101	1	2	50
6	1101022	10101	1	2	1
7	1101023	10101	1	2	1
8	1101003	10101		1	100
9	1101004	10101		1	50
10	1101005	10101		1	50
11	1101006	10101		1	50
12	1101007	10101		1	100
13	1101008	10101		1	50
14	1101009	10101		1	100
15	1101010	10101		1	50
16	1101011	10101		1	50
17	1101012	10101		1	50
18	1101013	10101		1	50
19	1101014	10101		1	100
20	1101015	10101		1	50
21	1101016	10101		1	100
22	1101017	10101		1	50
