ID	难度ID	优势元素	基础奖励	大成功奖励
1	1	1;4	3007001	3007101
2	1	1;7	3007002	3007102
3	1	1;2	3007003	3007103
4	1	2;5	3007004	3007104
5	1	4;7	3007005	3007105
6	1	4;8	3007006	3007106
7	1	5;8	3007007	3007107
8	2	1;4	3007008	3007108
9	2	1;7	3007009	3007109
10	2	1;5	3007010	3007110
11	2	1;2	3007011	3007111
12	2	4;7	3007012	3007112
13	2	4;5	3007013	3007113
14	2	4;8	3007014	3007114
15	2	2;8	3007015	3007115
16	2	7;8	3007016	3007116
17	2	2;5	3007017	3007117
18	3	1;4;7	3007018	3007118
19	3	1;5;7	3007019	3007119
20	3	1;2;5	3007020	3007120
21	3	1;2;8	3007021	3007121
22	3	4;7;8	3007022	3007122
23	3	4;2;5	3007023	3007123
24	3	4;5;8	3007024	3007124
25	3	2;7;8	3007025	3007125
26	3	7;1;8	3007026	3007126
27	3	2;4;5	3007027	3007127
