ID	角色ID	完成条件1类型	完成条件1参数列表	生日[月]	生日[日]
102	10000003	10		3	14
103	10000005	10		0	0
104	10000006	10		6	9
105	10000007	10		0	0
106	10000014	10		7	5
107	10000015	10		11	30
108	10000016	10		4	30
109	10000020	10		9	9
110	10000021	10		8	10
111	10000022	6	39604	6	16
112	10000023	10		11	2
113	10000024	10		2	14
114	10000025	10		10	9
115	10000026	10		4	17
116	10000027	10		8	26
117	10000029	10		7	27
118	10000030	6	102510	12	31
119	10000031	10		5	27
120	10000032	10		2	29
121	10000033	10		7	20
122	10000034	10		3	21
123	10000035	10		3	3
124	10000036	10		9	7
125	10000037	10		12	2
126	10000038	10		9	13
127	10000039	10		1	18
128	10000041	10		8	31
129	10000042	10		11	20
130	10000043	10		11	26
131	10000044	10		10	16
132	10000046	10		7	15
133	10000045	10		1	24
134	10000048	10		7	28
135	10000051	10		10	25
136	10000047	10		10	29
