ID	角色ID	开启条件1类型	开启条件1参数列表	开启条件2类型	开启条件2参数列表
1002	10000005	4	3;10		
1003	10000005	4	3;10		
1004	10000005	4	3;10		
1005	10000005	6	1010115		
1006	10000005	6	38406		
1007	10000005	4	3;10		
1008	10000005	6	38406		
1009	10000005	4	3;10		
1010	10000005	6	30904		
1011	10000005	6	39604		
1012	10000005	6	38406		
1013	10000005	4	3;72		
1014	10000005	4	3;72		
1015	10000005	4	3;128		
1016	10000005	4	3;72		
1017	10000005	4	3;72		
1018	10000005	4	3;72		
1019	10000005	4	3;72		
1020	10000005	6	102510		
1021	10000005	6	101801		
1022	10000005	4	3;10		
1023	10000005	4	3;10		
1024	10000005	6	39604		
1025	10000005	6	30904		
1026	10000005	6	30904		
1027	10000005	6	46618		
1028	10000005	6	1020204		
1029	10000005	6	45406		
1030	10000005	6	1020204		
1031	10000005	4	3;10		
1032	10000005	6	38406		
1033	10000005	6	38406		
1034	10000005	4	3;128		
1035	10000005	6	101609		
1036	10000005	6	101609		
1037	10000005	6	30904		
1038	10000005	6	30904		
1039	10000005	6	30904		
1040	10000005	4	3;14		
1041	10000005	4	3;14		
1042	10000005	4	3;14		
1043	10000005	6	30904		
1044	10000005	6	30904		
1045	10000005	6	30904		
1046	10000005	4	3;114		
1047	10000005	6	30904		
1048	10000005	6	30904		
1049	10000005	4	3;128		
1050	10000005	6	38406		
1051	10000005	6	39604		
1052	10000005	6	38406		
1053	10000005	6	30904		
1054	10000005	6	30904		
1055	10000005	6	30904		
1056	10000005	6	30904		
1057	10000005	6	30904		
1058	10000005	6	30904		
1059	10000005	6	46308		
1060	10000005	6	46308		
1061	10000005	6	30904		
2001	10000007	4	3;10		
2002	10000007	4	3;10		
2003	10000007	4	3;10		
2004	10000007	6	1010115		
2005	10000007	6	38406		
2006	10000007	4	3;10		
2007	10000007	6	38406		
2008	10000007	4	3;10		
2009	10000007	6	30904		
2010	10000007	6	39604		
2011	10000007	6	38406		
2012	10000007	4	3;72		
2013	10000007	4	3;72		
2014	10000007	4	3;128		
2015	10000007	4	3;72		
2016	10000007	4	3;72		
2017	10000007	4	3;72		
2018	10000007	4	3;72		
2019	10000007	6	102510		
2020	10000007	6	101801		
2021	10000007	4	3;10		
2022	10000007	4	3;10		
2023	10000007	6	39604		
2024	10000007	6	30904		
2025	10000007	6	30904		
2026	10000007	6	46618		
2027	10000007	6	1020204		
2028	10000007	6	45406		
2029	10000007	6	1020204		
2030	10000007	4	3;10		
2031	10000007	6	38406		
2032	10000007	6	38406		
2033	10000007	4	3;128		
2034	10000007	6	101609		
2035	10000007	6	101609		
2036	10000007	6	30904		
2037	10000007	6	30904		
2038	10000007	6	30904		
2039	10000007	4	3;14		
2040	10000007	4	3;14		
2041	10000007	4	3;14		
2042	10000007	6	30904		
2043	10000007	6	30904		
2044	10000007	6	30904		
2045	10000007	4	3;114		
2046	10000007	6	30904		
2047	10000007	6	30904		
2048	10000007	4	3;128		
2049	10000007	6	38406		
2050	10000007	6	39604		
2051	10000007	6	38406		
2052	10000007	6	30904		
2053	10000007	6	30904		
2054	10000007	6	30904		
2055	10000007	6	30904		
2056	10000007	6	30904		
2057	10000007	6	30904		
2058	10000007	6	46308		
2059	10000007	6	46308		
2060	10000007	6	30904		
4100	10000003				
4101	10000003				
4102	10000003				
4103	10000003				
4104	10000003				
4105	10000003				
4106	10000003				
4107	10000003				
4108	10000003				
4109	10000003				
4110	10000003				
4111	10000003				
4112	10000003				
4113	10000003				
4114	10000003				
4115	10000003	1	6		
4116	10000003	1	6		
4117	10000003	1	4		
4118	10000003				
4119	10000003				
4120	10000003	1	4		
4121	10000003	1	4		
4122	10000003	1	4		
4123	10000003	1	4		
4124	10000003	1	4		
4125	10000003	1	4		
4126	10000003	1	4		
4127	10000003	1	4		
4128	10000003	1	4		
4129	10000003	1	4		
4130	10000003	1	4		
4131	10000003	1	4		
4132	10000003	1	4		
4133	10000003				
4134	10000003	1	3		
4135	10000003	1	4		
4136	10000003	1	5		
4137	10000003	1	6		
4138	10000003				
4139	10000003				
4140	10000003				
4141	10000003				
4142	10000003	8			
4143	10000003	7	1		
4144	10000003	7	2		
4145	10000003	7	4		
4146	10000003	7	6		
5100	10000006				
5101	10000006				
5102	10000006				
5103	10000006				
5104	10000006				
5105	10000006				
5106	10000006				
5107	10000006				
5108	10000006				
5109	10000006				
5110	10000006				
5111	10000006				
5112	10000006				
5113	10000006	1	6		
5114	10000006	1	6		
5115	10000006	1	4		
5116	10000006				
5117	10000006				
5118	10000006	1	4		
5119	10000006	1	4		
5120	10000006	1	4		
5121	10000006	1	4		
5122	10000006	1	4		
5123	10000006	1	4		
5124	10000006	1	4		
5125	10000006	1	4		
5126	10000006	1	4		
5127	10000006	1	4		
5128	10000006	1	4		
5129	10000006				
5130	10000006	1	3		
5131	10000006	1	4		
5132	10000006	1	5		
5133	10000006	1	6		
5134	10000006				
5135	10000006				
5136	10000006				
5137	10000006				
5138	10000006	8			
5139	10000006	7	1		
5140	10000006	7	2		
5141	10000006	7	4		
5142	10000006	7	6		
6100	10000014				
6101	10000014				
6102	10000014				
6103	10000014				
6104	10000014				
6105	10000014				
6106	10000014				
6107	10000014				
6108	10000014				
6109	10000014				
6110	10000014				
6111	10000014				
6112	10000014				
6113	10000014				
6114	10000014				
6115	10000014	1	6		
6116	10000014	1	4		
6117	10000014				
6118	10000014				
6119	10000014	1	4		
6120	10000014	1	4		
6121	10000014	1	4		
6122	10000014	1	4		
6123	10000014	1	4		
6124	10000014	1	4		
6125	10000014	1	4		
6126	10000014	1	4		
6127	10000014	1	4		
6128	10000014				
6129	10000014	1	3		
6130	10000014	1	4		
6131	10000014	1	5		
6132	10000014	1	6		
6133	10000014				
6134	10000014				
6135	10000014				
6136	10000014				
6137	10000014	8			
6138	10000014	7	1		
6139	10000014	7	2		
6140	10000014	7	4		
6141	10000014	7	6		
7100	10000015				
7101	10000015				
7102	10000015				
7103	10000015				
7104	10000015				
7105	10000015				
7106	10000015				
7107	10000015				
7108	10000015				
7109	10000015				
7110	10000015				
7111	10000015				
7112	10000015				
7113	10000015				
7114	10000015	1	6		
7115	10000015	1	4		
7116	10000015				
7117	10000015				
7118	10000015	1	4		
7119	10000015	1	4		
7120	10000015	1	4		
7121	10000015	1	4		
7122	10000015	1	4		
7123	10000015	1	4		
7124	10000015	1	4		
7125	10000015	1	4		
7126	10000015	1	4		
7127	10000015	1	4		
7128	10000015	1	4		
7129	10000015	1	4		
7130	10000015				
7131	10000015	1	3		
7132	10000015	1	4		
7133	10000015	1	5		
