ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	家具ID	名称$text_name_FurnitureName	类型ID1	类型ID2	可配置表面	室内场景ID	舒适度	堆叠上限	阶数
360001	6				0				200101	(test)墙面1			7		1	9999	1
360002	6				0				200102	(test)墙面2			7		1	9999	1
360003	6				0				200201	(test)地板1			6		1	9999	1
360004	6				0				200202	(test)地板2			6		1	9999	1
360005	6				0				200301	(test)天花板1			2		1	9999	1
360006	6				0				200302	(test)天花板2			2		1	9999	1
360007	6				0				200401	(test)吊灯1			5		1	9999	1
360008	6				0				200402	(test)吊灯2			5		1	9999	1
373100	6				0				700139	(test)测试用烧烤炉			0		1	9999	1
369101	6				0				900101	(test)家园翠目猫	9002	9001	12		100	9999	3
369102	6				0				900102	(test)家园北地犬	9002	9001	12		100	9999	3
369103	6				0				900103	(test)野猪1号	9002		12		100	9999	3
369104	6				0				900104	(test)仙鹤1号	9002		12		100	9999	3
369105	6				0				900105	(test)家园巡林犬	9002	9001	12		100	9999	3
369106	6				0				900106	(test)家园柴犬	9002	9001	12		100	9999	3
369107	6				0				900107	(test)家园黑背猎犬	9002	9001	12		100	9999	3
369108	6				0				900108	(test)家园北地猫	9002	9001	12		100	9999	3
369109	6				0				900109	(test)家园虎纹猫	9002	9001	12		100	9999	3
369110	6				0				900110	(test)家园警长猫	9002	9001	12		100	9999	3
368101	6				0				10000003	(test)枫原万叶	8001	8002	11		300	9999	1
368102	6				0				10000006	(test)烟绯	8001	8002	11		300	9999	1
368103	6				0				10000014	(test)优菈	8001	8002	11		300	9999	1
368104	6				0				10000015	(test)琴	8001	8002	11		300	9999	1
368105	6				0				10000016	(test)丽莎	8001	8002	11		300	9999	1
368106	6				0				10000020	(test)芭芭拉	8001	8002	11		300	9999	1
368107	6				0				10000021	(test)凯亚	8001	8002	11		300	9999	1
368108	6				0				10000022	(test)迪卢克	8001	8002	11		300	9999	1
368109	6				0				10000023	(test)雷泽	8001	8002	11		300	9999	1
368110	6				0				10000025	(test)安柏	8001	8002	11		300	9999	1
368111	6				0				10000026	(test)温迪	8001	8002	11		300	9999	1
368112	6				0				10000027	(test)香菱	8001	8002	11		300	9999	1
368113	6				0				10000029	(test)北斗	8001	8002	11		300	9999	1
368114	6				0				10000030	(test)行秋	8001	8002	11		300	9999	1
368115	6				0				10000031	(test)魈	8001	8002	11		300	9999	1
368116	6				0				10000032	(test)凝光	8001	8002	11		300	9999	1
368117	6				0				10000033	(test)可莉	8001	8002	11		300	9999	1
368118	6				0				10000035	(test)钟离	8001	8002	11		300	9999	1
368119	6				0				10000036	(test)菲谢尔	8001	8002	11		300	9999	1
368120	6				0				10000037	(test)班尼特	8001	8002	11		300	9999	1
368121	6				0				10000038	(test)达达利亚	8001	8002	11		300	9999	1
368122	6				0				10000041	(test)诺艾尔	8001	8002	11		300	9999	1
368123	6				0				10000042	(test)七七	8001	8002	11		300	9999	1
368124	6				0				10000043	(test)重云	8001	8002	11		300	9999	1
368125	6				0				10000044	(test)甘雨	8001	8002	11		300	9999	1
368126	6				0				10000045	(test)阿贝多	8001	8002	11		300	9999	1
368127	6				0				10000046	(test)迪奥娜	8001	8002	11		300	9999	1
368128	6				0				10000047	(test)莫娜	8001	8002	11		300	9999	1
368129	6				0				10000048	(test)刻晴	8001	8002	11		300	9999	1
368130	6				0				10000049	(test)砂糖	8001	8002	11		300	9999	1
368131	6				0				10000050	(test)辛焱	8001	8002	11		300	9999	1
368132	6				0				10000051	(test)罗莎莉亚	8001	8002	11		300	9999	1
368133	6				0				10000052	(test)胡桃	8001	8002	11		300	9999	1
360101	6				0			成品家具	100101	(test)璃月墙	1001		7		30	9999	3
360102	6				0			成品家具	100102	(test)蒙德墙	1001		7		30	9999	3
360201	6				0			成品家具	100201	(test)璃月地板	1002		6		30	9999	3
360202	6				0			成品家具	100202	(test)蒙德地板	1002		6		30	9999	3
360301	6				0			成品家具	100301	(test)璃月天花板	1003		2		30	9999	3
360302	6				0			成品家具	100302	(test)蒙德天花板	1003		2		30	9999	3
360401	6				0			成品家具	100401	(test)满是蜡烛的吊灯	1004		5		60	9999	3
360402	6				0			成品家具	100402	(test)中国风吊灯	1004		5		60	9999	3
360403	6				0			成品家具	100403	(test)中国风尖的吊灯	1004		5		60	9999	3
360404	6				0			成品家具	100404	(test)南瓜灯	1004		5		60	9999	3
360405	6				0			成品家具	100405	(test)中式华丽大吊灯	1004		5		90	9999	4
364301	6				0				500401	(test)璃月房间门01	1005		4		30	9999	3
364302	6				0				500402	(test)蒙德房间门01	1005		4		30	9999	3
364401	6				0				500403	(test)璃月房间楼梯	1006		10		30	9999	3
364402	6				0				500404	(test)蒙德房间楼梯	1006		10		30	9999	3
372101	6				0				1000101	(test)高大的乐高	10001		9		20	9999	3
372102	6				0				1000102	(test)高的长方形乐高	10001		9		20	9999	3
372103	6				0				1000103	(test)高的正方形乐高	10001		9		20	9999	3
372104	6				0				1000104	(test)矮的大型乐高	10001		9		20	9999	3
372105	6				0				1000105	(test)矮的长方形乐高	10001		9		20	9999	3
372106	6				0				1000106	(test)矮的正方形乐高	10001		9		20	9999	3
361301	6				0			成品家具	300301	(test)欧式木质桌子	3003		0		60	9999	3
361302	6				0			成品家具	300302	(test)骑士团的长桌子	3003		0		60	9999	3
361303	6				0			成品家具	300303	(test)骑士团的长桌子	3003		0		60	9999	3
361101	6				0			成品家具	300101	(test)货柜	3005		0		60	9999	3
361304	6				0			成品家具	300304	(test)大型炉灶	3003		0		90	9999	4
361305	6				0			成品家具	300305	(test)做饭的炉子	3003		0		60	9999	3
361306	6				0			成品家具	300306	(test)花花绿绿的桌子	3003		0		60	9999	3
361307	6				0			成品家具	300307	(test)室外的招待餐桌	3003		0		30	9999	2
361308	6				0			成品家具	300308	(test)中式书法桌	3003		0		60	9999	3
361309	6				0			成品家具	300309	(test)中式饮茶桌	3003		0		60	9999	3
361501	6				0			成品家具	300501	(test)中式掌柜台	3005		0		60	9999	3
361310	6				0			成品家具	300310	(test)红木桌子	3003		0		60	9999	3
362201	6				0			成品家具	400201	(test)欧式的火炉	4002		0		60	9999	3
363301	6				0			成品家具	1100201	(test)竖琴	11002		3		60	9999	3
364201	6				0			成品家具	500301	(test)餐厅招牌	4002		0		30	9999	2
362202	6				0			成品家具	400202	(test)乘风破浪屏风	4002		0		90	9999	4
362203	6				0			成品家具	400203	(test)很高的木质屏风	4002		0		90	9999	4
362101	6				0			成品家具	400101	(test)唯一一个沙发	4001		0		90	9999	4
362102	6				0			成品家具	400102	(test)蓝色的欧洲椅子	4001		0		60	9999	3
362103	6				0			成品家具	400103	(test)骑士团铁椅	4001		0		60	9999	3
362104	6				0			成品家具	400104	(test)室外餐桌的椅子	4001		0		30	9999	2
362105	6				0			成品家具	400105	(test)中式茶桌的椅子	4001		0		60	9999	3
362106	6				0			成品家具	400106	(test)红木桌子配套椅子	4001		0		60	9999	3
364202	6				0			成品家具	500302	(test)发光的烛灯	5005		1		60	9999	3
363101	6				0			成品家具	1100202	(test)放桌上发光的灯	11003		3		60	9999	3
363102	6				0			成品家具	1100203	(test)中式床头灯	11003		3		60	9999	3
363103	6				0			成品家具	1100204	(test)中式小摆灯	11003		3		60	9999	3
361311	6				0			成品家具	300311	(test)放着瓶瓶罐罐的梳妆台	3003		0		60	9999	3
361201	6				0			成品家具	300201	(test)放着很多书的书架	3002		0		90	9999	4
361202	6				0			成品家具	300202	(test)书有点少的书架	3002		0		90	9999	4
361203	6				0			成品家具	300203	(test)有些大的书柜	3002		0		90	9999	4
361204	6				0			成品家具	300204	(test)大时钟	3002		0		90	9999	4
361205	6				0			成品家具	300205	(test)放满了书的书柜	3002		0		90	9999	4
361102	6				0			成品家具	300102	(test)放着杂物的货架	3001		0		60	9999	3
361103	6				0			成品家具	300103	(test)放着食物的货架	3001		0		60	9999	3
361104	6				0			成品家具	300104	(test)放着瓶子的橱柜	3001		0		60	9999	3
361206	6				0			成品家具	300206	(test)中式卷轴书柜	3002		0		60	9999	3
361207	6				0			成品家具	300207	(test)卷轴花瓶大书柜	3002		0		60	9999	3
361208	6				0			成品家具	300208	(test)中式没那么大的书柜	3002		0		60	9999	3
362301	6				0			成品家具	400401	(test)骑士团样子的地毯	4004		8		60	9999	3
362302	6				0			成品家具	400402	(test)欧式地毯	4004		8		60	9999	3
362303	6				0			成品家具	400403	(test)圆形蓝色地毯	4004		8		60	9999	3
362304	6				0			成品家具	400404	(test)长方形红色地毯	4004		8		60	9999	3
364203	6				0			成品家具	500303	(test)圆形的木质盾牌	5005		1		30	9999	2
364204	6				0			成品家具	500304	(test)有棱角的木质盾牌	5005		1		30	9999	2
364205	6				0			成品家具	500305	(test)特制的宝剑	5005		1		30	9999	2
364101	6				0			成品家具	500306	(test)欧洲房子挂画	5003		1		90	9999	4
364102	6				0			成品家具	500307	(test)璀璨的天空	5003		1		90	9999	4
364103	6				0			成品家具	500308	(test)青青大草原挂画	5003		1		90	9999	4
364206	6				0			成品家具	500309	(test)红色旗子	5005		1		60	9999	3
364207	6				0			成品家具	500310	(test)蓝色的旗子	5005		1		60	9999	3
