configID	家具ID	单次建造数量	首次获得经验	所需材料1ID	所需材料1数量	所需材料2ID	所需材料2数量	所需材料3ID	所需材料3数量	建造时长	可被加速时长	瞬发道具消耗数
1	360001	1	30	101308	10	0	0	101402	5	14400	14400	1
2	360002	1	30	101308	10	0	0	101403	5	14400	14400	1
3	360003	1	30	101304	10	0	0	101404	5	14400	14400	1
4	360004	1	30	101304	10	0	0	101402	5	14400	14400	1
5	360005	1	30	101307	10	0	0	101403	5	14400	14400	1
6	360006	1	30	101307	10	0	0	101404	5	14400	14400	1
7	360007	1	60	101001	20	101301	10	101402	15	28800	14400	1
8	360008	1	60	101001	20	101301	10	101403	15	28800	14400	1
9	373100	1	60	101001	30	0	0	0	0	28800	14400	1
10	369101	1	40	101001	30	0	0	0	0	21600	14400	1
11	369102	1	40	101001	30	0	0	0	0	21600	14400	1
12	369103	1	40	101001	30	0	0	0	0	21600	14400	1
13	369104	1	40	101001	30	0	0	0	0	21600	14400	1
38	360101	1	60	101307	8	101002	4	0	0	50400	14400	1
39	360102	1	60	101308	4	101002	4	101402	4	50400	14400	1
40	360201	1	60	101307	4	101402	8	0	0	50400	14400	1
41	360202	1	60	101002	4	101404	4	101402	4	50400	14400	1
42	360301	1	60	101307	4	101404	4	101402	4	50400	14400	1
43	360302	1	60	101308	4	101404	4	101402	4	50400	14400	1
44	360401	1	60	101301	4	101001	8	0	0	50400	14400	1
45	360402	1	60	101304	4	101401	4	101402	4	50400	14400	1
46	360403	1	60	101304	8	101401	4	0	0	50400	14400	1
47	360404	1	60	101301	4	101401	4	101403	4	50400	14400	1
48	360405	1	90	101304	12	101401	3	101402	3	57600	14400	1
49	364301	1	40	101303	20	0	0			21600	14400	1
50	372101	1	40	101303	20	0	0	0	0	21600	14400	1
51	372102	1	40	101303	20	0	0	0	0	21600	14400	1
52	372103	1	40	101303	20	0	0	0	0	21600	14400	1
53	372104	1	40	101303	20	0	0	0	0	21600	14400	1
54	372105	1	40	101303	20	0	0	0	0	21600	14400	1
55	372106	1	40	101303	20	0	0	0	0	21600	14400	1
56	361301	1	60	101302	12	0	0	0	0	50400	14400	1
57	361302	1	60	101302	12	0	0	0	0	50400	14400	1
58	361303	1	60	101302	12	0	0	0	0	50400	14400	1
59	361101	1	60	101301	12	0	0	0	0	50400	14400	1
60	361304	1	90	101001	4	101002	4	0	0	57600	14400	1
61	361305	1	60	101001	12	0	0	0	0	50400	14400	1
62	361306	1	60	101303	8	101401	4	0	0	50400	14400	1
63	361307	1	30	101303	4	0	0	0	0	43200	14400	1
64	361308	1	60	101307	12	0	0	0	0	50400	14400	1
65	361309	1	60	101303	8	101403	2	101402	2	50400	14400	1
66	361501	1	60	101303	12	0	0	0	0	50400	14400	1
67	361310	1	60	101307	8	0	0	101402	4	50400	14400	1
68	362201	1	60	101002	12	0	0	0	0	50400	14400	1
69	363301	1	60	101302	12	0	0	0	0	50400	14400	1
70	364201	1	30	101308	4	0	0	101404	4	43200	14400	1
71	362202	1	90	101303	12	101401	3	101402	3	57600	14400	1
72	362203	1	90	101307	12	101401	6	0	0	57600	14400	1
73	362101	1	90	101303	12	101401	6	0	0	57600	14400	1
74	362102	1	60	101302	8	0	0	101404	4	50400	14400	1
75	362103	1	60	101301	8	0	0	101404	4	50400	14400	1
76	362104	1	30	101303	4	0	0	0	0	43200	14400	1
77	362105	1	60	101303	8	0	0	101402	4	50400	14400	1
78	362106	1	60	101303	8	0	0	101402	4	50400	14400	1
79	364202	1	60	101001	8	0	0	0	0	50400	14400	1
80	363101	1	60	101001	8	0	0	0	0	50400	14400	1
81	363102	1	60	101304	4	101401	4	101402	4	50400	14400	1
82	363103	1	60	101304	4	101401	4	101402	4	50400	14400	1
83	361311	1	60	101301	12	0	0	0	0	50400	14400	1
84	361201	1	90	101302	16	0	0	101402	8	57600	14400	1
85	361202	1	90	101302	16	0	0	101402	8	57600	14400	1
86	361203	1	90	101302	16	0	0	101402	8	57600	14400	1
87	361204	1	90	101301	16	101404	4	101402	4	57600	14400	1
88	361205	1	90	101301	16	0	0	101402	8	57600	14400	1
89	361102	1	60	101308	12	0	0	0	0	50400	14400	1
90	361103	1	60	101308	12	0	0	0	0	50400	14400	1
91	361104	1	60	101308	12	0	0	0	0	50400	14400	1
92	361206	1	60	101307	12	0	0	101402	6	50400	14400	1
93	361207	1	60	101307	12	0	0	101402	6	50400	14400	1
94	361208	1	60	101307	12	0	0	0	0	50400	14400	1
95	362301	1	60	101401	8	0	0	101402	4	50400	14400	1
96	362302	1	60	101401	8	0	0	101404	4	50400	14400	1
97	362303	1	60	101401	8	101403	2	101404	2	50400	14400	1
98	362304	1	60	101401	8	101402	2	101403	2	50400	14400	1
99	364203	1	30	101308	4	101001	4	0	0	43200	14400	1
100	364204	1	30	101308	4	101001	4	0	0	43200	14400	1
101	364205	1	30	101308	4	101001	4	0	0	43200	14400	1
102	364101	1	90	101303	8	101404	8	101403	8	57600	14400	1
103	364102	1	90	101303	8	101404	8	101403	8	57600	14400	1
104	364103	1	90	101303	8	101403	8	101402	8	57600	14400	1
105	364206	1	60	101301	4	101401	4	101402	4	50400	14400	1
106	364207	1	60	101301	4	101401	4	101403	4	50400	14400	1
107	364208	1	90	101002	12	101404	6	101403	6	57600	14400	1
108	364209	1	30	101308	4	0	0	101404	4	43200	14400	1
109	364210	1	30	101308	4	0	0	101404	4	43200	14400	1
110	364104	1	90	101305	8	101404	8	101403	8	57600	14400	1
111	364105	1	90	101305	8	101404	8	101402	8	57600	14400	1
112	364106	1	90	101305	8	101404	8	101403	8	57600	14400	1
113	363302	1	60	101303	4	0	0	101402	4	50400	14400	1
114	363303	1	60	101303	4	0	0	101404	4	50400	14400	1
115	363304	1	60	101303	4	0	0	0	0	50400	14400	1
116	363305	1	60	101002	4	0	0	101404	4	50400	14400	1
117	363201	1	60	101002	8	0	0	0	0	50400	14400	1
118	363202	1	60	101002	4	0	0	101404	4	50400	14400	1
119	363203	1	60	101303	4	0	0	101402	4	50400	14400	1
120	363204	1	60	101303	4	0	0	101404	4	50400	14400	1
121	363306	1	60	101002	4	0	0	101402	4	50400	14400	1
122	363307	1	60	101002	4	0	0	101402	4	50400	14400	1
123	363308	1	60	101305	4	101404	4	101002	4	50400	14400	1
124	363205	1	60	101303	4	0	0	101404	4	50400	14400	1
125	363309	1	60	101001	4	0	0	101403	4	50400	14400	1
126	361401	1	60	101307	12	101404	3	101402	3	50400	14400	1
127	361402	1	60	101304	12	101403	3	101402	3	50400	14400	1
128	361105	1	60	101301	12	0	0	0	0	50400	14400	1
129	362204	1	60	101301	8	0	0	0	0	50400	14400	1
130	362205	1	60	101304	8	101404	2	101402	2	50400	14400	1
131	361106	1	60	101304	12	101404	3	101402	3	50400	14400	1
132	364211	1	90	101401	12	0	0	101402	12	57600	14400	1
133	362206	1	90	101401	12	101403	6	101402	6	57600	14400	1
134	362207	1	90	101401	12	101403	6	101402	6	57600	14400	1
135	363104	1	60	101001	8	0	0	0	0	50400	14400	1
136	370301	1	60	101308	8	101401	2	101402	2	50400	14400	1
137	370302	1	60	101308	8	101401	2	101404	2	50400	14400	1
138	370303	1	60	101308	8	101401	4	0	0	50400	14400	1
139	370304	1	90	101308	12	101001	6	101002	6	57600	14400	1
140	370305	1	60	101308	4	101401	4	101402	4	50400	14400	1
141	370201	1	60	101308	12	101301	6	0	0	50400	14400	1
142	370202	1	60	101308	12	101301	6	0	0	50400	14400	1
143	370203	1	60	101308	12	101301	6	0	0	50400	14400	1
144	370204	1	60	101308	12	101301	6	0	0	50400	14400	1
145	371101	1	90	101002	12	101001	12	0	0	57600	14400	1
146	370205	1	60	101308	12	101301	6	0	0	50400	14400	1
147	370206	1	60	101308	12	101301	6	0	0	50400	14400	1
148	370207	1	60	101303	12	0	0	0	0	50400	14400	1
149	370306	1	60	101305	12	0	0	0	0	50400	14400	1
150	370501	1	60	101308	8	101401	2	101404	2	50400	14400	1
151	370307	1	60	101301	12	0	0	0	0	50400	14400	1
152	370101	1	30	101308	8	0	0	0	0	43200	14400	1
153	370102	1	30	101308	8	0	0	0	0	43200	14400	1
154	370502	1	30	101308	8	0	0	0	0	43200	14400	1
155	370103	1	60	101303	6	101304	6	101002	6	50400	14400	1
156	370104	1	60	101303	6	101304	6	101002	6	50400	14400	1
157	370105	1	60	101303	6	101304	6	101002	6	50400	14400	1
158	370106	1	60	101303	6	101304	6	101002	6	50400	14400	1
159	370107	1	60	101303	6	101304	6	101002	6	50400	14400	1
160	370108	1	60	101303	6	101304	6	101002	6	50400	14400	1
161	370208	1	60	101303	6	101304	6	101002	6	50400	14400	1
162	371201	1	90	101303	8	101304	8	101002	8	57600	14400	1
163	370401	1	60	101301	12	0	0	0	0	50400	14400	1
164	371102	1	60	101301	12	0	0	0	0	50400	14400	1
165	370402	1	90	101301	30	0	0	0	0	57600	14400	1
166	371103	1	30	101301	4	0	0	0	0	43200	14400	1
167	374301	1	60	101301	12	0	0	0	0	50400	14400	1
168	370503	1	60	101301	8	101401	4	0	0	50400	14400	1
169	370504	1	60	101301	8	101401	4	0	0	50400	14400	1
170	375101	1	80	101302	50					36000	14400	1
171	374302	1	30	101303	6	101401	2	0	0	43200	14400	1
172	374303	1	60	101308	12	101401	4	0	0	50400	14400	1
173	374304	1	30	101303	8	0	0	0	0	43200	14400	1
174	370308	1	60	101301	8	101401	4	0	0	50400	14400	1
175	374305	1	60	101308	4	101001	8	0	0	50400	14400	1
176	374306	1	90	101002	20	0	0	0	0	57600	14400	1
177	373301	1	30	101308	4	0	0	0	0	43200	14400	1
178	373302	1	30	101308	4	0	0	0	0	43200	14400	1
179	373303	1	60	101308	8	0	0	0	0	50400	14400	1
180	373101	1	30	101308	4	0	0	0	0	43200	14400	1
181	373102	1	30	101308	4	0	0	0	0	43200	14400	1
182	373304	1	30	101308	4	0	0	0	0	43200	14400	1
183	373103	1	30	101308	4	0	0	0	0	43200	14400	1
184	373305	1	60	101002	8	101308	4	0	0	50400	14400	1
185	373104	1	60	101305	12	0	0	0	0	50400	14400	1
186	373201	1	60	101002	4	101303	8	0	0	50400	14400	1
187	373105	1	60	101308	4	101305	4	101401	4	50400	14400	1
188	373106	1	60	101308	4	101305	4	101401	4	50400	14400	1
189	370309	1	60	101303	12	0	0	0	0	50400	14400	1
190	374401	1	60	101303	12	0	0	0	0	50400	14400	1
191	374402	1	60	101308	8	101401	4	101404	4	50400	14400	1
192	374307	1	60	101303	12	0	0	0	0	50400	14400	1
193	373306	1	60	101308	4	101401	4	101402	4	50400	14400	1
194	373107	1	30	101401	4	0	0	0	0	43200	14400	1
195	373307	1	30	101002	4	0	0	0	0	43200	14400	1
196	373308	1	60	101002	4	101308	8	0	0	50400	14400	1
197	373309	1	90	101002	12	0	0	0	0	57600	14400	1
198	373310	1	90	101002	12	0	0	0	0	57600	14400	1
199	373108	1	60	101401	12	0	0	0	0	50400	14400	1
200	373109	1	60	101401	12	0	0	0	0	50400	14400	1
201	373110	1	30	101001	4	0	0	0	0	43200	14400	1
202	374101	1	30	101305	4	0	0	0	0	43200	14400	1
203	374102	1	30	101303	4	0	0	0	0	43200	14400	1
204	374103	1	30	101308	4	0	0	0	0	43200	14400	1
205	374104	1	30	101308	4	0	0	0	0	43200	14400	1
206	373111	1	60	101308	8	0	0	0	0	50400	14400	1
207	373112	1	60	101001	12	0	0	0	0	50400	14400	1
208	373113	1	30	101308	4	0	0	0	0	43200	14400	1
209	374201	1	30	101308	4	0	0	0	0	43200	14400	1
210	374202	1	30	101002	4	0	0	0	0	43200	14400	1
211	374308	1	60	101305	12	0	0	0	0	50400	14400	1
212	374309	1	60	101308	12	0	0	0	0	50400	14400	1
213	373202	1	60	101308	12	0	0	0	0	50400	14400	1
214	374105	1	60	101308	12	0	0	0	0	50400	14400	1
215	373401	1	60	101001	4	101401	4	101404	4	50400	14400	1
216	373402	1	30	101303	4	0	0	0	0	43200	14400	1
217	373403	1	60	101303	4	101305	4	0	0	50400	14400	1
218	373404	1	60	101303	4	101305	4	0	0	50400	14400	1
219	373405	1	60	101304	4	101305	4	0	0	50400	14400	1
220	372401	1	30	101307	10					14400	14400	1
221	372402	1	30	101307	10					14400	14400	1
222	372403	1	30	101307	10					14400	14400	1
223	372404	1	30	101307	10					14400	14400	1
224	372405	1	30	101307	10					14400	14400	1
225	372406	1	30	101307	10					14400	14400	1
226	372407	1	30	101307	10					14400	14400	1
227	372408	1	30	101307	10					14400	14400	1
228	372409	1	30	101307	10					14400	14400	1
229	372301	1	40	101307	20					21600	14400	1
230	372302	1	40	101307	20					21600	14400	1
231	372303	1	40	101307	20					21600	14400	1
232	372304	1	40	101307	20					21600	14400	1
233	372305	1	40	101307	20					21600	14400	1
234	372306	1	40	101307	20					21600	14400	1
235	372201	1	30	101002	10					14400	14400	1
236	372202	1	30	101002	10					14400	14400	1
237	372203	1	30	101002	10					14400	14400	1
238	373114	1	60	101401	4	101303	4	0	0	50400	14400	1
239	371202	1	90	101301	12	101002	6	0	0	57600	14400	1
240	371203	1	90	101301	8	101002	4	0	0	57600	14400	1
241	371204	1	90	101301	8	101002	4	0	0	57600	14400	1
242	360406	1	90	101304	6	101401	6	101402	6	57600	14400	1
243	371104	1	90	101301	24	101002	6	0	0	57600	14400	1
244	371205	1	90	101304	12	0	0	101002	6	57600	14400	1
245	371206	1	90	101304	8	0	0	101002	4	57600	14400	1
246	371207	1	90	101304	8	0	0	101002	4	57600	14400	1
247	371208	1	90	101304	8	0	0	101002	4	57600	14400	1
248	371209	1	90	101304	8	0	0	101002	4	57600	14400	1
249	371210	1	90	101304	12	0	0	101002	6	57600	14400	1
250	371211	1	90	101304	12	0	0	101002	6	57600	14400	1
251	370110	1	90	101304	18	0	0	101002	6	57600	14400	1
252	370109	1	90	101304	12	101303	12	101002	6	57600	14400	1
253	362208	1	90	101304	12	101401	6	101403	6	57600	14400	1
254	362209	1	90	101307	6	101304	6	101402	6	57600	14400	1
255	373115	1	30	101308	4	0	0	0	0	43200	14400	1
256	373203	1	30	101308	4	0	0	0	0	43200	14400	1
257	374106	1	60	101308	8	0	0	0	0	50400	14400	1
258	374107	1	30	101308	4	0	0	0	0	43200	14400	1
259	374108	1	30	101308	4	0	0	0	0	43200	14400	1
260	373116	1	30	101308	4	0	0	0	0	43200	14400	1
261	371107	1	30	101308	8	0	0	0	0	43200	14400	1
262	373117	1	30	101308	4	0	0	0	0	43200	14400	1
263	373118	1	60	101308	4	101401	4	0	0	50400	14400	1
264	373311	1	60	101303	8	0	0	0	0	50400	14400	1
265	373312	1	60	101303	4	101401	4	0	0	50400	14400	1
266	373119	1	60	101002	8	0	0	0	0	50400	14400	1
267	363310	1	60	101002	4	0	0	0	0	50400	14400	1
268	374311	1	90	101302	8	101401	4	0	0	57600	14400	1
269	374403	1	90	101302	4	101301	4	101308	4	57600	14400	1
270	373120	1	90	101303	4	101401	8	0	0	57600	14400	1
271	374404	1	90	101303	4	101002	8	0	0	57600	14400	1
272	373313	1	90	101302	4	101001	4	101002	4	57600	14400	1
273	373121	1	60	101401	8	0	0	0	0	50400	14400	1
274	373122	1	60	101303	4	101301	4	0	0	50400	14400	1
275	373123	1	60	101308	8	0	0	0	0	50400	14400	1
276	373124	1	60	101303	4	101301	4	0	0	50400	14400	1
277	374203	1	90	101302	8	101401	4	0	0	57600	14400	1
279	371109	1	90	101002	6	101001	6	0	0	57600	14400	1
280	374310	1	90	101303	6	101301	6	0	0	57600	14400	1
