ID	名称$text_name_Name	Prefab路径	Prefab_Remote路径	Controller路径	Controller_Remote路径	默认阵营	类型	描述	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	联机动态属性ID	ChainID
50004001	木棍	ART/Equip/MonEquip/MonEquip_WoodenClub_01/MonEquip_WoodenClub_01				0	9	木棍	MonEquip_WoodenClub_01			1				Default_MonsterWeapon		
50004002	木盾	ART/Equip/MonEquip/MonEquip_Shield_01/MonEquip_Shield_01				0	9	木盾	MonEquip_Shield_01			1				Default_MonsterWeapon		
50004003	火木棍(代枪)	ART/Equip/MonEquip/MonEquip_WoodenClub_Fire/MonEquip_WoodenClub_Fire				0	9	火木棍(代枪)	MonEquip_WoodenClub_Fire_01			1				Default_MonsterWeapon		
50004004	怪的弩	ART/Equip/MonEquip/MonEquip_Crossbow_01/MonEquip_Crossbow_01				0	9	怪的弩	MonEquip_Crossbow_01			1				Default_MonsterWeapon		
50004006	深渊法杖-火	ART/Equip/MonEquip/MonEquip_Staff_Fire_01/MonEquip_Staff_Fire_01				0	9	深渊法杖-火	MonEquip_Staff_Fire_01			1				Default_MonsterWeapon		
50004007	深渊法杖-冰	ART/Equip/MonEquip/MonEquip_Staff_Ice_01/MonEquip_Staff_Ice_01				0	9	深渊法杖-冰	MonEquip_Staff_Ice_01			1				Default_MonsterWeapon		
50004008	深渊法杖-水	ART/Equip/MonEquip/MonEquip_Staff_Water_01/MonEquip_Staff_Water_01				0	9	深渊法杖-水	MonEquip_Staff_Water_01			1				Default_MonsterWeapon		
50004009	萨满法杖-水	ART/Equip/MonEquip/MonEquip_Wand_Water_01/MonEquip_Wand_Water_01				0	9	萨满法杖-水	MonEquip_Wand_Water_01			1				Default_MonsterWeapon		
50004010	萨满法杖-草	ART/Equip/MonEquip/MonEquip_Wand_Grass_01/MonEquip_Wand_Grass_01				0	9	萨满法杖-草	MonEquip_Wand_Grass_01			1				Default_MonsterWeapon		
50004011	长木棍	ART/Equip/MonEquip/MonEquip_WoodenClub_02/MonEquip_WoodenClub_02				0	9	长木棍	MonEquip_WoodenClub_02			1				Default_MonsterWeapon		
50004012	木大盾	ART/Equip/MonEquip/MonEquip_Shield_02/MonEquip_Shield_02				0	9	木大盾	MonEquip_Shield_02			1				Default_MonsterWeapon		
50004013	巨斧	ART/Equip/MonEquip/MonEquip_Axe_01/MonEquip_Axe_01				0	9	巨斧	MonEquip_Axe_01			1				Default_MonsterWeapon		
50004014	萨满法杖-风	ART/Equip/MonEquip/MonEquip_Wand_Wind_01/MonEquip_Wand_Wind_01				0	9	萨满法杖-风	MonEquip_Wand_Wind_01			1				Default_MonsterWeapon		
50004015	火丘丘-小火把	ART/Equip/MonEquip/MonEquip_Torch_01/MonEquip_Torch_01				0	9	火丘丘-小火把	MonEquip_Torch_01			1				Default_MonsterWeapon		
50004016	草丘丘-毒棍	ART/Equip/MonEquip/MonEquip_WoodenClub_01/MonEquip_WoodenClub_01				0	9	草丘丘-毒棍	MonEquip_WoodenClub_Grass_01			1				Default_MonsterWeapon		
50004017	火丘丘-弩	ART/Equip/MonEquip/MonEquip_Crossbow_Fire_01/MonEquip_Crossbow_Fire_01				0	9	火丘丘-弩	MonEquip_Crossbow_Fire_01			1				Default_MonsterWeapon		
50004018	冰丘丘-弩	ART/Equip/MonEquip/MonEquip_Crossbow_Ice_01/MonEquip_Crossbow_Ice_01				0	9	冰丘丘-弩	MonEquip_Crossbow_Ice_01			1				Default_MonsterWeapon		
50004019	电丘丘-弩	ART/Equip/MonEquip/MonEquip_Crossbow_Thunder_01/MonEquip_Crossbow_Thunder_01				0	9	电丘丘-弩	MonEquip_Crossbow_Thunder_01			1				Default_MonsterWeapon		
50004020	火丘丘-大火把	ART/Equip/MonEquip/MonEquip_Torch_02/MonEquip_Torch_02				0	9	火丘丘-大火把	MonEquip_Torch_02			1				Default_MonsterWeapon		
50004021	债务处理人-战刃	ART/Equip/MonEquip/MonEquip_Warglaive_Fire_01/MonEquip_Warglaive_Fire_01				0	9	债务处理人-战刃	MonEquip_Warglaive_Fire_01			1				Default_MonsterWeapon		
50004022	暴徒-岩盾	ART/Equip/MonEquip/MonEquip_Shield_02_Rock/MonEquip_Shield_02_Rock				0	9	暴徒-岩盾	MonEquip_Shield_02_Rock			1				Default_MonsterWeapon		
50004023	丘丘人-岩盾	ART/Equip/MonEquip/MonEquip_Shield_01_Rock/MonEquip_Shield_01_Rock				0	9	丘丘人-岩盾	MonEquip_Shield_01_Rock			1				Default_MonsterWeapon		
50004024	丘丘人-岩棒	ART/Equip/MonEquip/MonEquip_RockClub_01/MonEquip_RockClub_01				0	9	丘丘人-岩棒	MonEquip_RockClub_01			1				Default_MonsterWeapon		
50004025	盗宝团-弩	ART/Equip/MonEquip/MonEquip_Crossbow_02/MonEquip_Crossbow_02				0	9	盗宝团-弩	MonEquip_Crossbow_02			1				Default_MonsterWeapon		
50004026	盗宝团-手斧	ART/Equip/MonEquip/MonEquip_Hatchet_01/MonEquip_Hatchet_01				0	9	盗宝团-手斧	MonEquip_Hatchet_01			1				Default_MonsterWeapon		
50004027	盗宝团-铲子	ART/Equip/MonEquip/MonEquip_LongShovel_01/MonEquip_LongShovel_01				0	9	盗宝团-铲子	MonEquip_Shovel_01			1				Default_MonsterWeapon		
50004028	千岩军-枪	ART/Equip/MonEquip/MonEquip_Pole_01/MonEquip_Pole_01				0	9	千岩军-枪	MonEquip_Pole_01			1				Default_MonsterWeapon		
50004029	萨满法杖-岩	ART/Equip/MonEquip/MonEquip_Wand_Rock_01/MonEquip_Wand_Rock_01				0	9	萨满法杖-岩	MonEquip_Wand_Rock_01			1				Default_MonsterWeapon		
50004030	千岩军-队长枪	ART/Equip/MonEquip/MonEquip_Pole_02/MonEquip_Pole_02				0	9	千岩军-队长枪	MonEquip_Pole_02			1				Default_MonsterWeapon		
50004031	雪山暴徒核心	ART/Equip/MonEquip/MonEquip_Core_Ice_01/MonEquip_Core_Ice_01				0	9	雪山暴徒核心	MonEquip_Core_Ice			1				Default_MonsterWeapon		
50004032	公子-弓	ART/Equip/MonEquip/MonEquip_Tartaglia_Bow/MonEquip_Tartaglia_Bow				0	9	公子-弓	MonEquip_Tartaglia_Bow			1				Default_MonsterWeapon		
50004033	公子-剑-雷-右	ART/Equip/MonEquip/MonEquip_Tartaglia_Blade_Electric/MonEquip_Tartaglia_Blade_Electric				0	9	公子-剑-雷-右	MonEquip_Tartaglia_Blade_Electric_R			1				Default_MonsterWeapon		
50004034	公子-剑-雷-左	ART/Equip/MonEquip/MonEquip_Tartaglia_Blade_Electric/MonEquip_Tartaglia_Blade_Electric				0	9	公子-剑-雷-左	MonEquip_Tartaglia_Blade_Electric_L			1				Default_MonsterWeapon		
50004035	公子-剑-水-右	ART/Equip/MonEquip/MonEquip_Tartaglia_Blade_Water/MonEquip_Tartaglia_Blade_Water				0	9	公子-剑-水-右	MonEquip_Tartaglia_Blade_Water_R			1				Default_MonsterWeapon		
50004036	公子-剑-水-左	ART/Equip/MonEquip/MonEquip_Tartaglia_Blade_Water/MonEquip_Tartaglia_Blade_Water				0	9	公子-剑-水-左	MonEquip_Tartaglia_Blade_Water_L			1				Default_MonsterWeapon		
50004037	公子-枪	ART/Equip/MonEquip/MonEquip_Tartaglia_DualBlade/MonEquip_Tartaglia_DualBlade				0	9	公子-枪	MonEquip_Tartaglia_DualBlade			1				Default_MonsterWeapon		
50004038	盗宝团-单手锤	ART/Equip/MonEquip/MonEquip_Hammer_01/MonEquip_Hammer_01				0	9	盗宝团-单手锤	MonEquip_Hammer_01			1				Default_MonsterWeapon		
50004039	盗宝团-船橹	ART/Equip/MonEquip/MonEquip_Paddle_01/MonEquip_Paddle_01				0	9	盗宝团-船橹	MonEquip_Paddle_01			1				Default_MonsterWeapon		
50004040	先遣队-胖男-喷枪-冰	ART/Equip/MonEquip/MonEquip_Skirmisher_Spraygun_Ice_01/MonEquip_Skirmisher_Spraygun_Ice_01				0	9	先遣队-胖男-喷枪-冰	MonEquip_Skirmisher_Spraygun_Ice_01			1				Default_MonsterWeapon		
50004041	先遣队-胖男-背包-冰	ART/Equip/MonEquip/MonEquip_Skirmisher_Backpack_Ice_01/MonEquip_Skirmisher_Backpack_Ice_01				0	9	先遣队-胖男-背包-冰	MonEquip_Skirmisher_Backpack_Ice_01			1				Default_MonsterWeapon		
50004042	先遣队-胖男-喷枪-水	ART/Equip/MonEquip/MonEquip_Skirmisher_Spraygun_Water_01/MonEquip_Skirmisher_Spraygun_Water_01				0	9	先遣队-胖男-喷枪-冰	MonEquip_Skirmisher_Spraygun_Water_01			1				Default_MonsterWeapon		
50004043	先遣队-胖男-背包-水	ART/Equip/MonEquip/MonEquip_Skirmisher_Backpack_Water_01/MonEquip_Skirmisher_Backpack_Water_01				0	9	先遣队-胖男-背包-冰	MonEquip_Skirmisher_Backpack_Water_01			1				Default_MonsterWeapon		
50004044	先遣队-壮男-大锤-雷	ART/Equip/MonEquip/MonEquip_Skirmisher_GreatHammer_Electric_01/MonEquip_Skirmisher_GreatHammer_Electric_01				0	9	先遣队-壮男-大锤-雷	MonEquip_Skirmisher_GreatHammer_Electric_01			1				Default_MonsterWeapon		
50004045	先遣队—标准—双手杖-岩	ART/Equip/MonEquip/MonEquip_Skirmisher_Staff_Rock_01/MonEquip_Skirmisher_Staff_Rock_01				0	9	先遣队—标准—双手杖-岩	MonEquip_Skirmisher_Staff_Rock_01			1				Default_MonsterWeapon		
50004046	先遣队—壮男-拳套-风-左手	ART/Equip/MonEquip/MonEquip_Skirmisher_Gloves_Wind_01/MonEquip_Skirmisher_Gloves_Wind_01_Left				0	9	先遣队—壮男-拳套-风-左手	MonEquip_Skirmisher_Gloves_01_Left			1				Default_MonsterWeapon		
50004047	先遣队—壮男-拳套-风-右手	ART/Equip/MonEquip/MonEquip_Skirmisher_Gloves_Wind_01/MonEquip_Skirmisher_Gloves_Wind_01_Right				0	9	先遣队—壮男-拳套-风-右手	MonEquip_Skirmisher_Gloves_01_Right			1				Default_MonsterWeapon		
50004048	先遣队-标准-火枪	ART/Equip/MonEquip/MonEquip_Skirmisher_Rifle_Fire_01/MonEquip_Skirmisher_Rifle_Fire_01				0	9	先遣队-标准-火枪	MonEquip_Skirmisher_Rifle_Fire_01			1				Default_MonsterWeapon		
50004049	冰丘丘萨满法杖	ART/Equip/MonEquip/MonEquip_Wand_Ice_01/MonEquip_Wand_Ice_01				0	9	冰丘丘萨满法杖	MonEquip_Wand_Ice_01			1				Default_MonsterWeapon		
50004050	公子-装甲-弓	ART/Equip/MonEquip/MonEquip_Tartaglia_Harbinger_Bow/MonEquip_Tartaglia_Harbinger_Bow				0	9	公子-装甲-弓	MonEquip_Tartaglia_Harbinger_Bow			1				Default_MonsterWeapon		
50004051	公子-装甲-剑-右	ART/Equip/MonEquip/MonEquip_Tartaglia_Harbinger_Blade/MonEquip_Tartaglia_Harbinger_Blade				0	9	公子-装甲-剑-右	MonEquip_Tartaglia_Harbinger_Blade_R			1				Default_MonsterWeapon		
50004052	公子-装甲-剑-左	ART/Equip/MonEquip/MonEquip_Tartaglia_Harbinger_Blade/MonEquip_Tartaglia_Harbinger_Blade				0	9	公子-装甲-剑-左	MonEquip_Tartaglia_Harbinger_Blade_L			1				Default_MonsterWeapon		
50004053	公子-装甲-枪-右	ART/Equip/MonEquip/MonEquip_Tartaglia_Harbinger_DualBlade/MonEquip_Tartaglia_Harbinger_DualBlade				0	9	公子-装甲-枪-右	MonEquip_Tartaglia_Harbinger_DualBlade_R			1				Default_MonsterWeapon		
50004054	冰盾暴徒-单手盾	ART/Equip/MonEquip/MonEquip_Brute_Shield_02_Ice/MonEquip_Brute_Shield_02_Ice				0	9	冰盾暴徒-单手盾	MonEquip_Shield_02_Ice			1				Default_MonsterWeapon		
50004055	丘丘人-冰盾	ART/Equip/MonEquip/MonEquip_Shield_01_Ice/MonEquip_Shield_01_Ice				0	9	丘丘人-冰盾	MonEquip_Shield_01_Ice			1				Default_MonsterWeapon		
50004056	公子-装甲-枪-左	ART/Equip/MonEquip/MonEquip_Tartaglia_Harbinger_DualBlade/MonEquip_Tartaglia_Harbinger_DualBlade				0	9	公子-装甲-枪-左	MonEquip_Tartaglia_Harbinger_DualBlade_L			1				Default_MonsterWeapon		
50004057	丘丘人-冰棒	ART/Equip/MonEquip/MonEquip_IceClub_01/MonEquip_IceClub_01				0	9	丘丘人-冰棒	MonEquip_IceClub_01			1				Default_MonsterWeapon		
50004060	傀儡将军风刀	ART/Equip/MonEquip/MonEquip_Tachi_02/MonEquip_Tachi_02				0	9	傀儡将军风刀	MonEquip_Tachi_02			1				Default_MonsterWeapon		
50004061	傀儡将军冰刀	ART/Equip/MonEquip/MonEquip_Tachi_03/MonEquip_Tachi_03				0	9	傀儡将军冰刀	MonEquip_Tachi_03			1				Default_MonsterWeapon		
50010007	木剑	ART/Equip/AvatarEquip/Equip_Sword_Wooden/Equip_Sword_Wooden				0	8	木剑	Weapon_Sword_Wood_Normal		1	1				Default_Weapon		
50011101	无锋剑	ART/Equip/AvatarEquip/Equip_Sword_Blunt/Equip_Sword_Blunt				0	8	Equip_Sword_Blunt	Weapon_Sword_Metal		1	1				Lv1_Weapon		
50011201	银剑	ART/Equip/AvatarEquip/Equip_Sword_Silver/Equip_Sword_Silver				0	8	Equip_Sword_Silver	Weapon_Sword_Metal		1	1				Lv2_Weapon		
50011301	冷刃	ART/Equip/AvatarEquip/Equip_Sword_Steel/Equip_Sword_Steel				0	8	Equip_Sword_Steel	Weapon_Sword_Metal		1	1				Lv3_Weapon		
50011302	黎明神剑	ART/Equip/AvatarEquip/Equip_Sword_Dawn/Equip_Sword_Dawn				0	8	Equip_Sword_Dawn	Weapon_Sword_Metal		1	1				Lv3_Weapon		
50011303	旅行剑	ART/Equip/AvatarEquip/Equip_Sword_Traveler/Equip_Sword_Traveler				0	8	Equip_Sword_Traveler	Weapon_Sword_Metal		1	1				Lv3_Weapon		
50011304	暗铁剑	ART/Equip/AvatarEquip/Equip_Sword_Darker/Equip_Sword_Darker				0	8	Equip_Sword_Darker	Weapon_Sword_Metal		1	1				Lv3_Weapon		
50011305	吃虎鱼刀	ART/Equip/AvatarEquip/Equip_Sword_Sashimi/Equip_Sword_Sashimi				0	8	Equip_Sword_Sashimi	Weapon_Sword_Metal		1	1				Lv3_Weapon		
50011306	飞天御剑	ART/Equip/AvatarEquip/Equip_Sword_Mitsurugi/Equip_Sword_Mitsurugi				0	8	Equip_Sword_Mitsurugi	Weapon_Sword_Metal		1	1				Lv3_Weapon		
50011401	西风剑	ART/Equip/AvatarEquip/Equip_Sword_Zephyrus/Equip_Sword_Zephyrus				0	8	Equip_Sword_Zephyrus	Weapon_Sword_Metal		1	1				Lv4_Weapon		
50011402	笛剑	ART/Equip/AvatarEquip/Equip_Sword_Troupe/Equip_Sword_Troupe				0	8	Equip_Sword_Troupe	Weapon_Sword_Metal		1	1				Lv4_Weapon		
50011403	祭礼剑	ART/Equip/AvatarEquip/Equip_Sword_Fossil/Equip_Sword_Fossil				0	8	Equip_Sword_Fossil	Weapon_Sword_Metal		1	1				Lv4_Weapon		
50011404	宗室长剑	ART/Equip/AvatarEquip/Equip_Sword_Theocrat/Equip_Sword_Theocrat				0	8	Equip_Sword_Theocrat	Weapon_Sword_Metal		1	1				Lv4_Weapon		
50011405	匣里龙吟	ART/Equip/AvatarEquip/Equip_Sword_Rockkiller/Equip_Sword_Rockkiller				0	8	Equip_Sword_Rockkiller	Weapon_Sword_Metal		1	1				Lv4_Weapon		
50011406	试作斩岩	ART/Equip/AvatarEquip/Equip_Sword_Proto/Equip_Sword_Proto				0	8	Equip_Sword_Proto	Weapon_Sword_Metal		1	1				Lv4_Weapon		
50011407	铁蜂刺	ART/Equip/AvatarEquip/Equip_Sword_Exotic/Equip_Sword_Exotic				0	8	Equip_Sword_Exotic	Weapon_Sword_Metal		1	1				Lv4_Weapon		
50011408	黑岩长剑	ART/Equip/AvatarEquip/Equip_Sword_Blackrock/Equip_Sword_Blackrock				0	8	Equip_Sword_Blackrock	Weapon_Sword_Metal		1	1				Lv4_Weapon		
50011409	黑剑	ART/Equip/AvatarEquip/Equip_Sword_Bloodstained/Equip_Sword_Bloodstained				0	8	Equip_Sword_Bloodstained	Weapon_Sword_Metal		1	1				Lv4_Weapon		
50011410	暗巷闪光	ART/Equip/AvatarEquip/Equip_Sword_Outlaw/Equip_Sword_Outlaw				0	8	Equip_Sword_Outlaw	Weapon_Sword_Metal		1	1				Lv4_Weapon		
50011411	碎星	ART/Equip/AvatarEquip/Equip_Sword_Heartseeker/Equip_Sword_Heartseeker				0	8	Equip_Sword_Heartseeker	Weapon_Sword_Metal		1	1				Lv4_Weapon		
50011412	降临之剑	ART/Equip/AvatarEquip/Equip_Sword_Psalmus/Equip_Sword_Psalmus				0	8	Equip_Sword_Psalmus	Weapon_Sword_Metal		1	1				Lv4_Weapon		
50011413	腐殖之剑	ART/Equip/AvatarEquip/Equip_Sword_Magnum/Equip_Sword_Magnum				0	8	Equip_Sword_Magnum	Weapon_Sword_Metal		1	1				Lv4_Weapon		
