ID	名称$text_name_Name	Prefab路径	Prefab_Remote路径	Controller路径	Controller_Remote路径	默认阵营	类型	描述	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	联机动态属性ID	ChainID
77002001	乐高1	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_01				5001	19	乐高1								Default_Item		
77002002	乐高2	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_02				5001	19	乐高2								Default_Item		
77002003	乐高3	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_03				5001	19	乐高3								Default_Item		
77002004	乐高4	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_04				5001	19	乐高4								Default_Item		
77002005	乐高5	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_05				5001	19	乐高5								Default_Item		
77002006	乐高6	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_06				5001	19	乐高6								Default_Item		
77015001	常驻壶灵Lv1	ART/Others/Homeworld/SceneObject/NPC/SceneObj_Homeworld_NPCObj_Ani_Djinn_01_01				5001	19	常驻壶灵Lv1	SceneObj_Homeworld_NPCObj_Ani_Djinn_01_01	1	1		1			Default_Item		
77015002	常驻壶灵Lv2	ART/Others/Homeworld/SceneObject/NPC/SceneObj_Homeworld_NPCObj_Ani_Djinn_01_02				5001	19	常驻壶灵Lv2	SceneObj_Homeworld_NPCObj_Ani_Djinn_01_02	1	1		1			Default_Item		
77015003	常驻壶灵Lv3	ART/Others/Homeworld/SceneObject/NPC/SceneObj_Homeworld_NPCObj_Ani_Djinn_01_03				5001	19	常驻壶灵Lv3	SceneObj_Homeworld_NPCObj_Ani_Djinn_01_03	1	1		1			Default_Item		
77015004	常驻壶灵Lv4	ART/Others/Homeworld/SceneObject/NPC/SceneObj_Homeworld_NPCObj_Ani_Djinn_01_04				5001	19	常驻壶灵Lv4	SceneObj_Homeworld_NPCObj_Ani_Djinn_01_04	1	1		1			Default_Item		
77015005	周末壶灵	ART/Others/Homeworld/SceneObject/NPC/SceneObj_Homeworld_NPCObj_Ani_Djinn_02				5001	19	周末壶灵	SceneObj_Homeworld_NPCObj_Ani_Djinn_02	1	1		1			Default_Item		
77015006	家园室外进入室内点					0	13						1			Default_Item		
77015007	家园室内进入室外点					0	13						1			Default_Item		
77015008	套装用Prefab	ART/Others/Homeworld/SceneObject/Thing/SceneObj_Homeworld_General_Common_Thing_Bundle_01				5001	19	套装用Prefab	SceneObj_Homeworld_Standard_Bundle				1			Default_Item		
77015009	NPC摆放用Prefab	ART/Others/Homeworld/SceneObject/NPC/SceneObj_Homeworld_NPCObj_PlacePoint_01				5001	19	NPC摆放用Prefab								Default_Item		
77015010	灌木用Prefab					9001	37	灌木用Prefab	SceneObj_Homeworld_Standard_Bush		1					Default_Item		
77089001	占位	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_06				5001	19	占位								Default_Item		
77090001	占位	ART/Others/Homeworld/SceneObject/Rockery/SceneObj_Homeworld_Exterior_Common_Rockery_06				5001	19	占位								Default_Item		
77091001	家园测试用门	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Ani_Interior_Common_Room_Door_01_WhiteBox				5001	19	家园测试用门	SceneObj_Homeworld_Ani_Interior_Common_Room_Door_01_WhiteBox							Default_Item		
77101001	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_A_Ceiling_01				5001	19	家园物件								Default_Item		
77101002	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_A_Floor_01				5001	19	家园物件								Default_Item		
77101003	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_A_Wall_01				5001	19	家园物件								Default_Item		
77101004	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_H_Wall_01				5001	19	家园物件								Default_Item		
77101005	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_C_Ceiling_01				5001	19	家园物件								Default_Item		
77101006	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_C_Floor_01				5001	19	家园物件								Default_Item		
77101007	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_C_Wall_01				5001	19	家园物件								Default_Item		
77101008	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_D_Ceiling_01				5001	19	家园物件								Default_Item		
77101009	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_D_Floor_01				5001	19	家园物件								Default_Item		
77101010	房间楼梯	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_D_Stair_01				5001	19	家园物件								Default_Item		
77101011	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_D_Wall_01				5001	19	家园物件								Default_Item		
77101012	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_B_Ceiling_01				5001	19	家园物件								Default_Item		
77101013	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_B_Floor_01				5001	19	家园物件								Default_Item		
77101014	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_B_Wall_01				5001	19	家园物件								Default_Item		
77101015	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_E_Ceiling_01				5001	19	家园物件								Default_Item		
77101016	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_E_Floor_01				5001	19	家园物件								Default_Item		
77101017	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_E_Wall_01				5001	19	家园物件								Default_Item		
77101018	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_F_Ceiling_01				5001	19	家园物件								Default_Item		
77101019	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_F_Floor_01				5001	19	家园物件								Default_Item		
77101020	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_F_Wall_01				5001	19	家园物件								Default_Item		
77101021	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_G_Ceiling_01				5001	19	家园物件								Default_Item		
77101022	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_G_Floor_01				5001	19	家园物件								Default_Item		
77101023	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_G_Wall_01				5001	19	家园物件								Default_Item		
77101024	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_A_Ceiling_01				5001	19	家园物件								Default_Item		
77101025	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_A_Floor_01				5001	19	家园物件								Default_Item		
77101026	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_A_Wall_01				5001	19	家园物件								Default_Item		
77101027	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_H_Wall_01				5001	19	家园物件								Default_Item		
77101028	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_B_Ceiling_01				5001	19	家园物件								Default_Item		
77101029	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_B_Floor_01				5001	19	家园物件								Default_Item		
77101030	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_B_Wall_01				5001	19	家园物件								Default_Item		
77101031	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_C_Ceiling_01				5001	19	家园物件								Default_Item		
77101032	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_C_Floor_01				5001	19	家园物件								Default_Item		
77101033	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_C_Wall_01				5001	19	家园物件								Default_Item		
77101034	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_D_Ceiling_01				5001	19	家园物件								Default_Item		
