ID	名称$text_name_Name	Prefab路径	Prefab_Remote路径	Controller路径	Controller_Remote路径	默认阵营	类型	描述	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	联机动态属性ID	ChainID
70000001	Grass					9001	10	草	Grass01		1					Default_Item		
70000002	Water01					9002	20	水	Water01		1					Default_Item		
70000003	Tree01					9001	36	树	Tree01		1					Default_Item		
70000004	Bush01					9001	37	矮灌木	Bush01		1					Default_Item		
70000005	Bush02					9001	37	高灌木	Bush02		1					Default_Item		
70000006	Foxtail_Grass01					9001	37	白色狗尾草	Foxtail_Grass01		1					Default_Item		
70000007	Foxtail_Grass02					9001	37	黄色狗尾草	Foxtail_Grass02		1							
70000008	Bush_Yellow					9001	37	黄色灌木	Bush_Yellow		1							
70000009	Storm_Lightning	ART/Others/SkillObj/SkillObj_EmptyGadget				9001	39	雷雨天的闪电	Storm_Lightning		1							
70000010	雪山灌木					9001	37	雪山灌木	Bush_NoFire01		1					Default_Item		
70010001	Tower					0	13	塔								Default_Item		
70010002	Transport					0	15	传送点								Default_Item		
70010003	DungeonEntry	ART/Others/SceneObj/SceneObj_DungeonEntry				0	15	副本入口								Default_Item		
70010004	DungeonWayPoint	ART/Others/SceneObj/SceneObj_DungeonEntry				0	15	副本路点								Default_Item		
70010005	DungeonQuitPoint	ART/Others/SceneObj/SceneObj_DungeonQuitPoint				0	15	副本内部的离开点								Default_Item		
70010006	LocalTrigger					0	18	本地触发器	LocalTrigger							Default_Item		
70020001	蒙德城天气					4001	19	蒙德城天气	Enviro01					3		Default_Item		
70020002	风魔龙天气					4001	19	风魔龙天气	Enviro02					3		Default_Item		
70020003	蒙德一阶段天气					4001	19	蒙德一阶段天气	Enviro03					3		Default_Item		
70110001	蒙德神像	ART/Others/SceneObj/SceneObj_NPC_Goddess				0	13	蒙德神像	SceneObj_Resident_Goddess		1							
70110002	传送石碑	ART/Others/SceneObj/SceneObj_Gear_Property_Prop_Teleport				0	15	传送石碑	SceneObj_Resident_Teleport		1							
70110003	空中传送门	ART/Effect/SceneInteractive/Eff_WormHoleGate01				0	15	空中传送门										
70110004	璃月神像	ART/Others/SceneObj/SceneObj_NPC_Goddess_LY				0	13	璃月神像	SceneObj_Resident_Goddess_LY		1							
70110005	空中传送门X90度	ART/Others/SceneObj/SceneObj_Gear_WormHoleGate02				0	15	空中传送门	SceneObj_Resident_WormHoleGate02									
70110006	稻妻神像	ART/Others/Gadget/SceneObject/Build/SceneObj_Property_Ani_Build_DQGoddess				0	13	稻妻神像	SceneObj_Resident_Goddess_DQ		1							
70120001	蒙德地城入口01	ART/Others/SceneObj/SceneObj_Gear_Property_Build_DungeonEntery_03				5001	15	蒙德常规地城	SceneObj_Resident_DungeonEntry_MengDe01		1			2				
70120002	蒙德地城入口02	ART/Others/Gadget/SceneObject/Build/SceneObj_Area_Common_Property_Ani_Build_DungeonEntery_01				5001	15	蒙德隐藏地城	SceneObj_Resident_DungeonEntry_MengDe02		1			2				
70120003	地城复活点	ART/Others/Gadget/SceneObject/Gear/SceneObj_Gear_Property_Prop_CheckPoint_01				0	15	复活点	SceneObj_Resident_CheckPoint		1			1				
70120004	地城退出点	ART/Effect/SceneInteractive/Eff_Dungeon_Exit				0	15	地城退出点						1				
