配置ID	消耗品ID	消耗品数量	执行类型	执行参数1	执行参数2	消耗道具1ID	消耗道具1数量	消耗道具2ID	消耗道具2数量	消耗道具3ID	消耗道具3数量	消耗道具4ID	消耗道具4数量	消耗道具5ID	消耗道具5数量
1	100001	1	1	201		100001	1								
2	107006	1	1	201		107006	1								
3	107007	1	1	201		107007	1								
4	100526	1	1	901		100526	1								
5	100527	1	1	201		100527	1								
6	100528	1	1	201		100528	1								
7	100533	1	1	201		100533	1								
8	108088	1	1	201		108088	1								
9	108094	1	1	201		108094	1								
10	108091	1	1	201		108091	1								
11	100604	1	1	201		100604	1								
12	100064	1	1	201		100064	1								
13	100630	1	1	201		100630	1								
14	100620	1	1	201		100620	1	100621	1	100622	1				
15	100051	2	1	201		100051	2								
16	100057	1	1	201		100057	1								
17	100024	1	1	201		100024	1								
18	100023	1	1	201		100023	1								
19	100055	1	1	201		100055	1								
20	100012	1	1	201		100012	1								
21	100021	1	1	201		100021	1								
32	100820	1	1	201		100820	1	100821	1	100822	1				
38	100823	1	1	201		100823	1								
39	100824	1	1	201		100824	1								
40	100825	1	1	201		100825	1								
41	100819	1	1	201		100819	1								
