挂节点类型	ID	区域ID	采集物ID	获得物品ID	额外获得物品ID	挂接位置	刷新CD	刷新优先级	刷新ID	[区块]1ID	[区块]1数量	初始不可交互	禁止客机交互
1001	3003001	998	70520001	101001		0	10	10	999930	3003	35	1	
1002	3003003	998	70520002	101002		0	10	20	999931	3003	5	1	
1003	3003004	998	70520003	101003		0	10	30	999932	3003	4	1	
1004	3003005	002	70520018	100028		0	10	30	999921	3003	4	1	
1005	3003006	998	70520019	101004		0	10	30	0	3003	4	1	
1006	3003007	998	70590027	101006		0	10	30	999931	3003	4	1	
2001	3003009	999	70520009	100016		0	10	10	999900	3003	60		
2002	3003010	999	70520004	100011		0	10	5	999900	3003	40		
2003	3003015	999	70520006	100013		0	10	5	999900	3003	5		
2019	3003016	999	70520007	100014		0	10	5	999900	3003	5		
2004	3003017	999	70520005	100012		0	10	10	999900	3003	60		
2005	3003019	999	70520008	100015		0	10	10	999900	3003	40		
2006	3003021	999	70540003	100001		0	5	20	999900	3003	30		
2007	3003022	999	70540005	100020		0	10	10	999900	3003	50		
2008	3003034	001	70590013	100056		0	10	10	999921	3003	20		
2009	3003036	999	70520013	100063		0	10	10	999900	3003	20		
3001	3003023	999	70540003	100001		1	5	20	999900	3003	80		
3002	3003024	999	70540001	100051		1	10	10	999900	3003	70		
3003	3003025	999	70540004	100062		1	10	10	999900	3003	20		
3005	3003031	999	70510006	100053		0	10	10	999920	3003	20	1	
3006	3003032	999	70510005	100054		0	10	10	999920	3003	20	1	
3007	3003033	001	70510004	100055		0	10	10	999921	3003	80		
3008	3003035	999	70510007	100052		0	10	10	999920	3003	20	1	
3009	3003037	001	70510009	100057		0	10	10	999921	3003	20	1	
3010	3003038	002	70510012	100058		0	10	10	999921	3003	20	1	
3011	3003039	999	70540021	100002		1	10	10	999900	3003	20		
2010	3003100	001	70540013	100021		1	10	10	999921	3003	20		
2011	3003101	001	70540022	100022		0	10	10	999921	3003	20		
2012	3003102	001	70540018	100023		0	10	10	999921	3003	20		
2013	3003103	001	70540019	100024		0	10	10	999921	3003	20		
2014	3003104	001	70540020	100025		0	10	10	999921	3003	20		
2015	3003105	999	70540014	100026		0	10	10	999900	3003	20		
2016	3003106	002	70540008	100027		0	10	10	999921	3003	20		
2023	3003112	002	70540015	100029		0	10	10	999921	3003	20		
2025	3003114	002	70540012	100030		0	10	10	999921	3003	20		
2026	3003115	002	70540026	100034		1	10	10	999921	3003	20		
2027	3003116	999	70540027	100032		0	10	10	999900	3003	20		
2028	3003117	002	70540029	100031		0	10	10	999921	3003	20		
2029	3003118	002	70540028	100033		0	10	10	999921	3003	20		
2030	3003120	999	70590024	100091		0	10	10	999900	3003	20		
1007	3003121	998	70590025	101005		0	10	20	999920	3003	5	1	
2031	3003122	999	70520024	100016		0	10	10	999900	3003	60		
2032	3003123	999	70590030	100618		0	10	10	999920	3003	60		1
2033	3003124	003	70520025	101206		0	10	10	999921	3003	20		
4001001	3003026		70590004	107001		0	1	10	0	3003	100		1
4002	3003026		70590021	107003		0	1	10	0	3003	100		1
4001003	3003028		70600064	100151		1	10	10	0	3003	1		
4003	3003029		70590031	107010		0	1	10	0	3003	100		1
4004	3003032		70590034	107011		0	1	10	0	3003	100		
9001	1004001		71700002	100178		1	1	10	0	1004	1		1
9002	1004002		71700003	100179		1	1	10	0	1004	1		1
9003	1004003		71700004	100180		1	1	10	0	1004	1		1
9004	1004004		71700005	100181		1	1	10	0	1004	1		1
9005	1004005		71700006	100182		1	1	10	0	1004	1		1
9006	1004006		71700007	100183		1	1	10	0	1004	1		1
9007	1004007		71700009	100188		1	1	10	0	1004	1		1
9008	1004008		71700010	100189		1	1	10	0	1004	1		1
9009	1004009		71700011	100190		1	1	10	0	1004	1		1
9010	1004010		71700012	100191		1	1	10	0	1004	1		1
9011	1004011		71700013	100192		1	1	10	0	1004	1		1
9012	1004012		71700014	100193		1	1	10	0	1004	1		1
9013	1004013		71700015	100194		1	1	10	0	1004	1		1
9014	1004014		71700016	100195		1	1	10	0	1004	1		1
9015	1004015		71700017	100196		1	1	10	0	1004	1		1
9016	1004016		71700018	100197		1	1	10	0	1004	1		1
9017	1004017		71700019	100198		1	1	10	0	1004	1		1
9018	1004018		71700020	100199		1	1	10	0	1004	1		1
9019	1004019		71700021	100200		1	1	10	0	1004	1		1
9020	1004020		71700023	100202		1	1	10	0	1004	1		1
9021	1004021		71700024	100203		1	1	10	0	1004	1		1
9022	1004022		71700025	100204		1	1	10	0	1004	1		1
9023	1004023		71700026	100205		1	1	10	0	1004	1		1
9024	1004024		71700027	100206		1	1	10	0	1004	1		1
9025	1004025		71700028	100207		1	1	10	0	1004	1		1
9026	1004026		71700029	100208		1	1	10	0	1004	1		1
9027	1004027		71700022	100201		1	1	10	0	1004	1		1
9028	1004028		71700039	100223		1	1	10	0	1004	1		1
9029	1004029		71700042	100226		1	1	10	0	1004	1		1
9030	1004030		71700043	100227		1	1	10	0	1004	1		1
9031	1004031		71700044	100228		1	1	10	0	1004	1		1
9032	1004032		71700048	100229		1	1	10	0	1004	1		1
9033	1004033		71700049	100230		1	1	10	0	1004	1		1
9034	1004034		71700050	100239		1	1	10	0	1004	1		1
