ID	道具ID	交付完台词	错误交付吐槽
1	100001,100011,100012,100013,100014,100015	614230402	614230404
2	100016,100017,100018,100019,100020	614230403	614230405
3	108032	4890003	4890004
4	108033	4890005	4890004
5	108063	4890003	4890004
6	108064	4890005	4890004
7	108031,108032,108033	210092006	210092008
8	100072,100083,112002,100081	110051309	110051307
200512401	100001	200511804	200511807
200512402	100057	200511804	200511807
200512403	100051	200511804	200511807
200512404	100012	200511804	200511807
200512405	100023	200511806	200511807
200512406	100011,100013,100056,100018	200511805	200511807
200512407	100064,100083,112002,100061,100081,100086,100087	200511806	200511807
10	200001,200002,200003	614230402	614230404
11	200001,200002,200003	614230402	614230404
12	200001,200002,200003	614230402	614230404
13	200001,200002,200003	614230402	614230404
200592001	112005	2005904020	2005904010
200592002	112011	2005904020	2005904010
200592003	112014	2005904020	2005904010
223000201	101001,100058,101003,100028,100054,101002	223000203	223000204
223000202	100053,100015,100026,100034,100016,100011,100012,100020,100063,100027,100031,100051,100062,100052,100002,100032,100013,100001,100014,100029	223000203	223000204
223000203	100030	223000203	223000204
223000204	108068,108069,108070,108071,108072,108073,108074,108075,108076,108077,108078,108079,108080,108081,108082,108083,108084,108085,108086,108087,108088,108031,108090,108091,108092,108093,108094,108098,108099,108100	223000203	223000204
223010301	100370	223010204	223010205
223010302	100371	223010204	223010205
223010303	100372	223010204	223010205
223010304	100373	223010204	223010205
223010305	100374	223010204	223010205
223010306	100375	223010204	223010205
2200802	108080,108081,108082	220080202	220080203
105010501	108102		
105010502	108103		
207010301	108070		
207010302	108069		
207010303	108068		
2102408	100028	210240802	210240804
2074002	100012,100024,100055,100057,100023	207404201	
206040501	108028		
206040502	108029		
206040503	108030		
222000101	108049,108031		
222000102	108050,108051,108032,108033		
222000103	108001,108095		
222000104	108002,108003,108096,108097		
222000201	108074,108022		
222000202	108075,108076,108023,108024		
222000203	108119,108011		
222000204	108120,108121,108012,108013		
222000301	108077,108083		
222000302	108078,108079,108084,108085		
222000303	108037,108004		
222000304	108038,108039,108005,108006		
222000401	108007,108031		
222000402	108008,108009,108090,108091		
222000403	108004,108125		
222000404	108005,108006,108126,108127		
710060101	100540		
710060201	100563		
710060102	100540		
710060202	100563		
710180201	100061		
710180202	100064		
710180203	100084		
411131101	108128,108129,108130		
7070901	108012,108013		
7071001	108008,108009		
7071101	108096,108097		
7170901	108032,108033		
7171001	108020,108021		
7171101	108023,108024		
7171201	108016,108017		
7171401	108081,108082		
718040601	100635		
718040602	100633		
718040603	100634		
718040701	100634		
718040702	100633		
110441401	108208		
110441402	108209		
701061001	108205,108206		
4133301	108080		
4133302	108081		
4133303	108082		
190680201	108095		
190680202	108096		
190680203	108097		
7181710	108013		
190840501	112023		
190840502	112024		
190840503	112025		
190860301	108009		
190860302	108008		
190860401	108006		
190860402	108005		
190860501	108009		
190860502	108097		
700060201	100084,100073,100093,100081		
700060202	100011,100012,100013,100014,100015,100016,100017,100018,100019,100020,100021,100022,100023,100024,100025,100026,100027,100028,100029,100030,100031,100032,100033,100034,100051,100052,100053,100054,100055,100056,100057,100058,100061,100062,100063,100064,100072,100074,100075,100076,100077,100078,100079,100080,100082,100083,100085,100086,100087,100088,100089,100090,100091,100092,100094,101001,101002,101003,101004,101006,110000,110001,110002,110003,110004,110005,110006,110008,110009,110010,110011		
700120201	101003,101004,101006,100028,100033,100090		
700120202	100011,100012,100013,100014,100015,100016,100017,100018,100019,100020,100021,100022,100023,100024,100025,100026,100027,100029,100030,100031,100032,100034,100051,100052,100053,100054,100055,100056,100057,100058,100061,100062,100063,100064,100072,100073,100074,100075,100076,100077,100078,100079,100080,100081,100082,100083,100084,100085,100086,100087,100088,100089,100091,100092,100093,100094,101001,101002,110000,110001,110002,110003,110004,110005,110006,110008,110009,110010,110011		
700150201	100082,100055,100028,100085,100054,101003,101004,100090,100058		
700150202	100011,100012,100013,100014,100015,100016,100017,100018,100019,100020,100021,100022,100023,100024,100025,100026,100027,100029,100030,100031,100032,100033,100034,100051,100052,100053,100056,100057,100061,100062,100063,100064,100072,100073,100074,100075,100076,100077,100078,100079,100080,100081,100083,100084,100086,100087,100088,100089,100091,100092,100093,100094,101001,101002,101006,110000,110001,110002,110003,110004,110005,110006,110008,110009,110010,110011		
700180201	100013,100079,100022,100027,100024,100029,100053,100015,100056		
700180202	100011,100012,100014,100016,100017,100018,100019,100020,100021,100023,100025,100026,100028,100030,100031,100032,100033,100034,100051,100052,100054,100055,100057,100058,100061,100062,100063,100064,100072,100073,100074,100075,100076,100077,100078,100080,100081,100082,100083,100084,100085,100086,100087,100088,100089,100090,100091,100092,100093,100094,101001,101002,101003,101004,101006,110000,110001,110002,110003,110004,110005,110006,110008,110009,110010,110011		
700190201	100020,100017,100089,100057,100092		
700190202	100011,100012,100013,100014,100015,100016,100018,100019,100021,100022,100023,100024,100025,100026,100027,100028,100029,100030,100031,100032,100033,100034,100051,100052,100053,100054,100055,100056,100058,100061,100062,100063,100064,100072,100073,100074,100075,100076,100077,100078,100079,100080,100081,100082,100083,100084,100085,100086,100087,100088,100090,100091,100093,100094,101001,101002,101003,101004,101006,110000,110001,110002,110003,110004,110005,110006,110008,110009,110010,110011		
700210201	100057,100072,100082,100085,100064		
700210202	100011,100012,100013,100014,100015,100016,100017,100018,100019,100020,100021,100022,100023,100024,100025,100026,100027,100028,100029,100030,100031,100032,100033,100034,100051,100052,100053,100054,100055,100056,100058,100061,100062,100063,100073,100074,100075,100076,100077,100078,100079,100080,100081,100083,100084,100086,100087,100088,100089,100090,100091,100092,100093,100094,101001,101002,101003,101004,101006,110000,110001,110002,110003,110004,110005,110006,110008,110009,110010,110011		
700230201	100012,100051,100080,100011,100015,100017		
700230202	100013,100014,100016,100018,100019,100020,100021,100022,100023,100024,100025,100026,100027,100028,100029,100030,100031,100032,100033,100034,100052,100053,100054,100055,100056,100057,100058,100061,100062,100063,100064,100072,100073,100074,100075,100076,100077,100078,100079,100081,100082,100083,100084,100085,100086,100087,100088,100089,100090,100091,100092,100093,100094,101001,101002,101003,101004,101006,110000,110001,110002,110003,110004,110005,110006,110008,110009,110010,110011		
700080801	100779		
700080802	100780		
700081001	100781		
700081002	100782		
