ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	进度	已废弃	[断言条件]1类型	[断言条件]1参数1	[断言条件]1参数2	[断言条件]2类型	[断言条件]2参数1
1001	1	LevelAbility_Combat_Watcher:watcher_test_modifier		1		1	35101			
1002	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Wet		1		1	35403			
1003	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Ice		1						
1004	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Fire		1		1	35403			
1005	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_StickRock		1						
1006	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Frozen		1		1	35403			
1007	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_FreezeWater		1						
1008	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Stream_ByModifierAdd		1		1	35403			
1009	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Stream_ByHit		1		1	35403			
1010	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Shock		1		1	35403			
1011	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_ConductShock		1		1	35403			
1012	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Electrified_Water		1		1	35403			
1013	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Explode		1		1	35403			
1014	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Superconductor		1		1	35403			
1015	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Burning		1		1	35403			
1016	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Swirl		2		1	35403			
1018	1	LevelAbility_Combat_Watcher:Watcher_Avatar_Use_ElementalBurst		1		1	35311			
1019	101			1		1	35311			
1020	1	LevelAbility_Combat_Watcher:Watcher_Avatar_Hit_Ore		1						
1021	1	LevelAbility_Combat_Watcher:Watcher_Avatar_AddShield		1						
1022	1	LevelAbility_Combat_Watcher:Watcher_Avatar_HitHead		1		2	2	12		
1023	1	LevelAbility_Combat_Watcher:Watcher_Avatar_Weakness		1		2	2	12		
1025	1	LevelAbility_Combat_Watcher:Watcher_Avatar_Use_ElementalArt		1		2	1	10000021		
1026	5			1		1	35725			
1027	1	LevelAbility_Combat_Watcher:Watcher_Avatar_HP_Change		1						
1028	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Melt_ByModifierAdd		1		1	35403			
1029	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Melt_ByHit		1		1	35403			
1030	1	LevelAbility_Combat_Watcher:Watcher_GetFirstWindBullet		1						
1031	1	LevelAbility_Combat_Watcher:Watcher_GetSecondWindBullet		1						
1032	1	LevelAbility_Combat_Watcher:Watcher_SpawnWindFieldByWindBullet		1						
1033	110	70710010		1						
1034	1	LevelAbility_Combat_Watcher:Watcher_EleReaction_Crystallize		1		1	35403			
1035	1	LevelAbility_Combat_Watcher:Watcher_Avatar_FallingAnthem		1						
1036	1	LevelAbility_Combat_Watcher:Watcher_WeaponElementOverride		1						
1100	110	70720214		1						
1101	504	101005		1						
1102	1	LevelAbility_Combat_Watcher:Watcher_SnowMountain_1102		1						
1103	1	LevelAbility_Combat_Watcher:Watcher_SnowMountain_1103		1						
1104	504	100671		1						
2009	6	20010901		1						
2015	6	20011501		1						
2016	6	20020101		1						
2019	6	21010301		1						
2027	6	21020101		1						
2032	6	22010101		1						
2033	6	22010201		1						
2034	6	22010301		1						
2035	6	24010101		1						
2036	6	20040101		1						
2039	6	24010201		1						
2042	6	21011201		1						
2043	6	21020301		1						
2044	6	20040201		1						
2045	6	20040301		1						
2046	6	21030401		1						
2047	6	23010101		1						
2048	6	23010201		1						
2049	6	23010301		1						
2050	6	23010401		1						
2051	6	23010501		1						
2052	6	23010601		1						
2053	6	26020101		1						
2054	6	26020201		1						
2055	6	26030101		1						
2056	6	20050101		1						
2057	6	21020601		1						
2058	6	24010301		1						
2059	6	26040101,26040102,26040103,26040104		1						
2060	6	26050101,26050201,26050301,26050401		1						
2061	6	22020101,22020102		1						
2062	6	22030101,22030102		1						
2063	6	20040501		1						
3001	102	1		1						
3002	102	2		1						
3003	102	3		1						
3004	102	4		1						
3005	102	5		1						
3006	102	6		1						
3007	102	7		1						
3008	102	8		1						
3009	103	48		1						
3010	9	2		1		1	35311			
3011	202	60		1						
3012	102	5		1						
3101	701	7165403,7165408,7165411		1						
3102	212	101301;101302;101303;101304;101305;101306;101307;101308		1						
4001	8	1028		1						
4002	8	1029		1						
4003	8	1027		1						
4004	8	1026		1						
5001	502	106		1						
5002	202	8		1						
7001	212	220008		1						
7002	212	220005		1						
7003	212	220004		1						
7004	935			1						
7005	212	220021		1						
