configid	场景ID	子区域	区域类型	区域名称$text_name_name	区域舒适度上限	安全点
1	2001	1	1	镇风岛	999999999	800,316,190,160
2	2001	2	1	枕云岛	999999999	715,342,347,70
3	2001	3	1	济烟岛	999999999	454,439,555,70
4	2001	4	1	燎雾岛	999999999	150,525,800,70
5	2002	1	1	数春峰	999999999	332,396,701,0
6	2002	2	1	捉夏峰	999999999	376,411,572,-200
7	2002	3	1	抱秋峰	999999999	565,443,544,-266
8	2002	4	1	扫冬峰	999999999	540,460,475,-86
9	2003	1	1	珠玑岛	999999999	555,228,600,-60
10	2003	2	1	贝阙岛	999999999	266,201,487,60
11	2003	3	1	蜃云岛	999999999	732,209,647,100
12	2003	4	1	鱼笺岛	999999999	736,200,405,135
13	2201	1	0	大厅	999999999	-11,2.48,1.25,45
14	2201	2	0	东南侧内房	999999999	-11,2.48,1.25,45
15	2201	3	0	西南侧内房	999999999	-11,2.48,1.25,45
16	2201	4	0	北侧内房	999999999	-11,2.48,1.25,45
17	2201	5	0	走廊	999999999	-11,2.48,1.25,45
18	2201	6	0	二层东南侧内房	999999999	-11,2.48,1.25,45
19	2201	7	0	二层西北侧内房	999999999	-11,2.48,1.25,45
20	2202	1	0	大厅	999999999	-6.57,3.47,14,135
21	2202	2	0	东南侧内房	999999999	-6.57,3.47,14,135
22	2202	3	0	南侧内房	999999999	-6.57,3.47,14,135
23	2202	4	0	北侧内房	999999999	-6.57,3.47,14,135
24	2202	5	0	走廊	999999999	-6.57,3.47,14,135
25	2202	6	0	二层南侧内房	999999999	-6.57,3.47,14,135
26	2202	7	0	二层北侧内房	999999999	-6.57,3.47,14,135
