ID	类型	对应角色	对话ID	事件奖励	对应家具套装ID	持续时间	顺序	解锁条件类型1	条件详细值1	解锁条件类型2	条件详细值2
1	1	10000003	6900312	990002	31		1				
2	1	10000020		990002	32		2				
3	1	10000020		990002	31		3				
4	1	10000043		990002	32		4				
5	2	10000003	6900313		31	300					
6	2	10000020			32	300					
7	2	10000020			31	300					
8	2	10000043			32	300					
1001	1	10000003	6900350	4110031	33		5				
1002	1	10000003	6900351	4110032	41		6				
1011	2	10000003	6900350	0	33	300					
1012	2	10000003	6900351	0	41	300					
1101	1	10000006	6900650	4110051	33		7				
1102	1	10000006	6900651	4110052	37		8				
1111	2	10000006	6900650	0	33	300					
1112	2	10000006	6900651	0	37	300					
1201	1	10000014	6901450	4110061	34		9				
1202	1	10000014	6901451	4110062	41		10				
1211	2	10000014	6901450	0	34	300					
1212	2	10000014	6901451	0	41	300					
1301	1	10000015	6901551	4110071	41		11				
1302	1	10000015	6901550	4110072	47		12				
1311	2	10000015	6901551	0	41	300					
1312	2	10000015	6901550	0	47	300					
1401	1	10000016	6901651	4110081	39		13				
1402	1	10000016	6901650	4110082	47		14				
1411	2	10000016	6901651	0	39	300					
1412	2	10000016	6901650	0	47	300					
1501	1	10000020	6902051	4110091	38		15				
1502	1	10000020	6902050	4110092	40		16				
1511	2	10000020	6902051	0	38	300					
1512	2	10000020	6902050	0	40	300					
1601	1	10000021	6902151	4110101	40		17				
1602	1	10000021	6902150	4110102	45		18				
1611	2	10000021	6902151	0	40	300					
1612	2	10000021	6902150	0	45	300					
1701	1	10000022	6902250	4110111	41		19				
1702	1	10000022	6902251	4110112	47		20				
1711	2	10000022	6902250	0	41	300					
1712	2	10000022	6902251	0	47	300					
1801	1	10000023	6902351	4110121	38		21				
1802	1	10000023	6902350	4110122	42		22				
1811	2	10000023	6902351	0	38	300					
1812	2	10000023	6902350	0	42	300					
1901	1	10000024	6902450	4110131	42		23				
1902	1	10000024	6902451	4110132	45		24				
1911	2	10000024	6902450	0	42	300					
1912	2	10000024	6902451	0	45	300					
2001	1	10000025	6902550	4110141	35		25				
2002	1	10000025	6902551	4110142	43		26				
2011	2	10000025	6902550	0	35	300					
2012	2	10000025	6902551	0	43	300					
2101	1	10000026	6902651	4110151	38		27				
2102	1	10000026	6902650	4110152	44		28				
2111	2	10000026	6902651	0	38	300					
2112	2	10000026	6902650	0	44	300					
2201	1	10000027	6902751	4110161	35		29				
2202	1	10000027	6902750	4110162	43		30				
2211	2	10000027	6902751	0	35	300					
2212	2	10000027	6902750	0	43	300					
2301	1	10000029	6902950	4110171	37		31				
2302	1	10000029	6902951	4110172	45		32				
2311	2	10000029	6902950	0	37	300					
2312	2	10000029	6902951	0	45	300					
2401	1	10000030	6903050	4110181	35		33				
2402	1	10000030	6903051	4110182	43		34				
2411	2	10000030	6903050	0	35	300					
2412	2	10000030	6903051	0	43	300					
2501	1	10000031	6903150	4110191	33		35				
2502	1	10000031	6903151	4110192	46		36				
2511	2	10000031	6903150	0	33	300					
2512	2	10000031	6903151	0	46	300					
2601	1	10000032	6903251	4110201	39		37				
2602	1	10000032	6903250	4110202	46		38				
2611	2	10000032	6903251	0	39	300					
2612	2	10000032	6903250	0	46	300					
2701	1	10000033	6903350	4110211	38		39				
2702	1	10000033	6903351	4110212	42		40				
2711	2	10000033	6903350	0	38	300					
2712	2	10000033	6903351	0	42	300					
2801	1	10000034	6903451	4110221	34		41				
2802	1	10000034	6903450	4110222	39		42				
2811	2	10000034	6903451	0	34	300					
2812	2	10000034	6903450	0	39	300					
2901	1	10000035	6903551	4110231	44		43				
2902	1	10000035	6903550	4110232	46		44				
2911	2	10000035	6903551	0	44	300					
2912	2	10000035	6903550	0	46	300					
3001	1	10000036	6903651	4110241	36		45				
3002	1	10000036	6903650	4110242	46		46				
3011	2	10000036	6903651	0	36	300					
3012	2	10000036	6903650	0	46	300					
3101	1	10000037	6903751	4110251	36		47				
3102	1	10000037	6903750	4110252	42		48				
3111	2	10000037	6903751	0	36	300					
3112	2	10000037	6903750	0	42	300					
3201	1	10000038	6903850	4110261	37		49				
3202	1	10000038	6903851	4110262	46		50				
3211	2	10000038	6903850	0	37	300					
3212	2	10000038	6903851	0	46	300					
3301	1	10000039	6903951	4110271	40		51				
3302	1	10000039	6903950	4110272	39		52				
3311	2	10000039	6903951	0	40	300					
3312	2	10000039	6903950	0	39	300					
3401	1	10000042	6904251	4110291	36		53				
3402	1	10000042	6904250	4110292	43		54				
3411	2	10000042	6904251	0	36	300					
3412	2	10000042	6904250	0	43	300					
3501	1	10000043	6904350	4110301	37		55				
3502	1	10000043	6904351	4110302	45		56				
3511	2	10000043	6904350	0	37	300					
3512	2	10000043	6904351	0	45	300					
3601	1	10000044	6904451	4110311	42		57				
3602	1	10000044	6904450	4110312	44		58				
3611	2	10000044	6904451	0	42	300					
3612	2	10000044	6904450	0	44	300					
3701	1	10000045	6904550	4110321	41		59				
3702	1	10000045	6904551	4110322	47		60				
3711	2	10000045	6904550	0	41	300					
3712	2	10000045	6904551	0	47	300					
3801	1	10000046	6904650	4110331	36		61				
3802	1	10000046	6904651	4110332	44		62				
3811	2	10000046	6904650	0	36	300					
3812	2	10000046	6904651	0	44	300					
3901	1	10000048	6904850	4110351	36		63				
3902	1	10000048	6904851	4110352	43		64				
3911	2	10000048	6904850	0	36	300					
3912	2	10000048	6904851	0	43	300					
4001	1	10000051	6905151	4110381	33		65				
4002	1	10000051	6905150	4110382	34		66				
4011	2	10000051	6905151	0	33	300					
4012	2	10000051	6905150	0	34	300					
4101	1	10000041	6904150	4110281	33		67				
4102	1	10000041	6904151	4110282	38		68				
4111	2	10000041	6904150	0	33	300					
4112	2	10000041	6904151	0	38	300					
