商品ID	物品ID	所属池ID	条件类型	条件参数	限购数量	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	权重
214101	369101	1			1	204	100					1
214102	369102	1			1	204	100					1
214103	369103	1			1	204	100					1
214104	369104	1			1	204	100					1
214105	369105	1			1	204	100					1
214106	369106	1			1	204	100					1
214107	369107	1			1	204	100					1
214108	369108	1			1	204	100					1
214109	369109	1			1	204	100					1
214110	369110	1			1	204	100					1
214111	372101	2			6	204	40					1
214112	372102	2			6	204	40					1
214113	372103	2			6	204	40					1
214114	372104	2			6	204	40					1
214115	372105	2			6	204	40					1
214116	372106	2			6	204	40					1
