商品ID	商店类型	对应物品ID	轮替商品ID	对应物品数量	消耗金币	消耗水晶	消耗创世结晶	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	限购数量	刷新类型	刷新参数	提前预览天数	上架时间	下架时间	是否终身限购	前置条件	前置条件参数	最小可见等级	最小队伍等级	最大队伍等级	排序等级	二级页签ID	n选1组ID	显示平台
213101	1048	101401		5				204	10			50	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	2	1	1	99	1			
213102	1048	107012		1				204	1200			1	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	6	1	1	99	1			
213103	1048	104003		1				204	120			20	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	8	1	1	99	1			
213104	1048	104013		1				204	60			40	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	8	1	1	99	1			
213105	1048	202		10000				204	120			20	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	8	1	1	99	1			
213106	1048	105003		1				204	360			5	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	8	1	1	99	1			
213107	1048	105002		1				204	90			20	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	8	1	1	99	1			
213201	1048	107013		1				204	10			5	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213202	1048	372401		1				204	60			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213203	1048	372402		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213204	1048	372403		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213205	1048	372404		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213206	1048	372405		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213207	1048	372406		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213208	1048	372407		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213209	1048	372408		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213210	1048	372409		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213211	1048	372301		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213212	1048	372302		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213213	1048	372303		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213214	1048	372304		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213215	1048	372305		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213216	1048	372306		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213217	1048	372201		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213218	1048	372202		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213219	1048	372203		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213220	1048	372214		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213221	1048	372215		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213222	1048	372216		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213223	1048	372217		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213224	1048	372218		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213225	1048	372219		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213226	1048	372307		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213227	1048	372308		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213228	1048	372309		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213229	1048	372310		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213230	1048	372311		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213231	1048	372312		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213232	1048	372313		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213233	1048	372314		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213234	1048	372315		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213235	1048	372316		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213236	1048	372317		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213237	1048	372318		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213238	1048	372319		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213239	1048	372410		1				204	40			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213240	1048	372411		1				204	40			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213241	1048	372412		1				204	40			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213242	1048	372204		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213243	1048	372205		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213244	1048	372206		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213245	1048	372207		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213246	1048	372208		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213247	1048	372209		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213248	1048	372210		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213249	1048	372211		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213250	1048	372212		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213251	1048	372213		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213252	1048	372415		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213253	1048	372416		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213254	1048	372417		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213255	1048	372418		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213256	1048	372419		1				204	40			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213257	1048	372420		1				204	40			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213258	1048	372421		1				204	40			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213259	1048	372422		1				204	40			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213260	1048	372423		1				204	40			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213261	1048	372424		1				204	40			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213262	1048	372425		1				204	40			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213263	1048	372426		1				204	40			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213264	1048	372427		1				204	40			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213265	1048	372428		1				204	40			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213266	1048	372429		1				204	40			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213267	1048	372430		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213268	1048	372431		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213269	1048	372432		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213270	1048	372413		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213271	1048	372414		1				204	80			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213272	1048	372220		1				204	120			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213273	1048	372221		1				204	120			3	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213601	1048	381307		1				204	80			1				2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213602	1048	384201		1				204	80			1				2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213603	1048	382104		1				204	80			1				2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
213606	1048	384205		1				204	80			1				2019-12-01 00:00:00	2035-01-01 00:00:00		5	1	1	1	99	1			
