avatarID	ID	家具ID	npcID	对话ID
10000047	1	368101	9047	6904702,6904703,6904704
10000048	2	368102	9048	6904802,6904803,6904804
10000051	3	368103	9051	6905102,6905103,6905104
10000003	4	368104	9003	6900302,6900303,6900304
10000006	5	368105	9006	6900602,6900603,6900604
10000014	6	368106	9014	6901402,6901403,6901404
10000015	7	368107	9015	6901502,6901503,6901504
10000016	8	368108	9016	6901602,6901603,6901604
10000020	9	368109	9020	6902002,6902003,6902004
10000021	10	368110	9021	6902102,6902103,6902104
10000022	11	368111	9022	6902202,6902203,6902204
10000023	12	368112	9023	6902302,6902303,6902304
10000024	13	368113	9024	6902402,6902403,6902404
10000025	14	368114	9025	6902502,6902503,6902504
10000026	15	368115	9026	6902602,6902603,6902604
10000027	16	368116	9027	6902702,6902703,6902704
10000029	17	368117	9029	6902902,6902903,6902904
10000030	18	368118	9030	6903002,6903003,6903004
10000031	19	368119	9031	6903102,6903103,6903104
10000032	20	368120	9032	6903202,6903203,6903204
10000033	21	368121	9033	6903302,6903303,6903304
10000034	22	368122	9034	6903402,6903403,6903404
10000035	23	368123	9035	6903502,6903503,6903504
10000036	24	368124	9036	6903602,6903603,6903604
10000037	25	368125	9037	6903702,6903703,6903704
10000038	26	368126	9038	6903802,6903803,6903804
10000039	27	368127	9039	6903902,6903903,6903904
10000041	28	368128	9041	6904102,6904103,6904104
10000042	29	368129	9042	6904202,6904203,6904204
10000043	30	368130	9043	6904302,6904303,6904304
10000044	31	368131	9044	6904402,6904403,6904404
10000045	32	368132	9045	6904502,6904503,6904504
10000046	33	368133	9046	6904602,6904603,6904604
