ID	所属城市ID	怪物ID列表	所属GroupID列表	指示存活Group变量	解锁父任务	关联活动ID	奖励展示ID
1	1	23030101,23040101	133001229,133002243,133003412,133004217,133102520,133103376,133105009,133105223,133106094,133008640				15503
2	1	22010101,22010201,22010301	133004369,133102573,133103031,133103326,133103327,133103331,133104441,133105113,133001090,133001430,133106234,133106084,133103342,133103424,133106113				15501
3	1	24010101,24010301	133003317,133004131,133007059,133104031,133105049,133106088,133104490,133008584	boss_exist			15504
4	1	21020101,21020201,21020301,21020601,21020601	133007239,133102337,133102619,133102729,133102734,133103328,133003097,133004018,133007201,133104363,133008209				15500
5	1	23010101,23010201,23010301,23010401,23010501,23010601	133001233,133001406,133002297,133102676,133106124,133106249,133107116				16007
6	1	20040101	133001313				15100
7	1	20040201	133003482				15110
8	1	26020101	133003543				15130
9	1	29020102	133002259	boss_exist	454		15010
10	1	23020101	133104268,133105259,133106110,133106135,133106143,133106147				15502
11	1	24010201	133103325,133105219,133106087,133106148,133107040				15504
12	1	26010101,26010201	133002398,133102643,133104322,133104338,133105222,133107062				16008
13	1	20040301	133108020				15120
14	1	20050101	133102769	boss_exist			15150
15	1	26020201	133104394				15140
16	1	26030101	133102504,133102056,133106215,133103542,133103541,133106305,133106306				15505
17	1	21010401,21010501,21010901,21011001	133001021,133001359,133001369,133002296,133002327,133004289,133004299,133004308,133007020,133007022				16005
18	1	21010101,21010201,21010301,21010601,21010701,21011201,21011301,21011401	133001097,133001254,133002346,133102540,133102512,133105153,133105131,133105145,133106108,133108043,133107054,133002426,133008517,133105327				16004
19	1	21030101,21030201,21030301,21030401,21030501	133002342,133004289,133007021,133007022,133007134,133007144,133007145,133007164,133007197,133007198,133007238,133008435				16006
20	1	20010101,20010201,20010301,20010401,20010501,20010601,20010701,20010801,20010901,20011001,20011101,20011201,20011301,20011401,20011501	133001358,133001369,133002316,133003524,133004026,133004246,133004308,133102643,133102669,133102740,133103382,133003326,133102670,133103421,133106216,133106242,133108097				16000
21	1	25010201,25010301,25010401,25010501,25010601,25010701,25020201,25030201,25030301,25060101,25070101	133102652,133102672,133102721,133103349,133103383,133103384,133106223,133104552,133106044				16003
22	1	21020501,21020401	133104304				15506
23	1	26050101,26050201,26050301,26050401	133103640	boss_exist			15160
24	1	26040101,26040102,26040103,26040104	133101249,133101250,133103645,133103646,133103647,133103648,133103649,133104150				15509
25	1	20040501	133008657	boss_exist	70141		15170
26	1	25090101	144002061		40012	2005	15171
