道具类型	道具索引	产出来源	产出上限	超出1倍上限是否不报警	超出2倍上限是否禁止产出
1	201	14	5000		
1	201	16	5000		
1	201	19	10000		
1	201	15	5000		
1	201	28	100		
1	201	29	100		
1	201	3	10000		
1	201	8	2000		
1	201	7	2000		
1	201	4	1000		
1	201	5	2000		
1	201	6	1000		
1	201	74	5000		
1	201	44	1500		
1	201	71	3000		
1	201	9	1000		
1	201	10	5000		
1	201	45	2000		
1	201	46	1000		
1	201	65	3000		
1	201	61	999999999		
1	201	41	999999999		
1	201	1513	20000		
1	201	48	999999999		
1	201	72	100		
1	201	68	3500		
1	201	1403	3000		
1	201	92	700		
1	201	12	5000		
1	201	84	1000		
1	201	86	1000		
1	201	1407	1000		
1	201	1503	1000		
1	201	1601	1000		
1	201	62	100		
1	201	63	1000		
1	201	94	1000		
1	201	60	1000		
1	201	76	1000		
1	201	83	1000		
1	201	91	1000		
1	201	95	1000		
1	201	99	1000		
1	201	1402	1000		
1	201	1404	1000		
1	201	97	1000		
1	201	1502	1000		
1	201	1504	1000		
1	201	1505	1000		
1	201	1602	1000		
1	201	1606	1000		
1	201	1507	600		
1	201	1605	1500		
1	201	1607	1000		
1	203	64	999999999		
1	203	65	3000		
1	204	1512	10000		1
1	204	7	100		1
4	4	47	10000		
4	4	3	20		
4	4	14	5		
4	4	8	5		
4	4	86	1		
4	4	41	10		
4	4	54	10		
4	4	52	100		
4	4	48	15		
4	4	92	1		
4	5	47	1000		
3	5	14	100		
3	5	7	10		
3	5	8	10		
3	5	53	10000		
3	5	34	10000		
3	5	35	10000		
3	5	33	10000		
3	5	27	10000		
2	101101	48	1		
2	101101	35	14		
2	101101	54	20		
2	101102	48	1		
2	101102	35	10		
2	101102	54	20		
2	101103	48	1		
2	101103	35	10		
2	101103	14	1		
2	101103	54	20		
2	101104	48	1		
2	101104	35	10		
2	101104	7	1		
2	101104	54	20		
2	101105	48	1		
2	101105	35	10		
2	101105	71	1		
2	101105	89	1		
2	101105	54	20		
2	1006	3	1		
2	1015	3	1		
2	1021	42	1		
2	1106	3	1		
2	1115	3	1		
2	1121	42	1		
2	1023	43	1		
2	1123	43	1		
2	1014	43	1		
2	1114	43	1		
2	1014	41	1		
2	1114	41	1		
2	1031	84	1		
2	1131	84	1		
2	1023	101	1		
2	1123	101	1		
2	1024	101	1		
2	1124	101	1		
2	1025	101	1		
2	1125	101	1		
2	1027	101	1		
2	1127	101	1		
2	1036	101	1		
2	1136	101	1		
2	1044	101	1		
2	1144	101	1		
2	1039	1511	1		
2	1139	1511	1		
2	1002	47	10000		
2	1003	47	10000		
2	1006	47	10000		
2	1014	47	10000		
2	1015	47	10000		
2	1016	47	10000		
2	1020	47	10000		
2	1021	47	10000		
2	1022	47	10000		
2	1023	47	10000		
2	1024	47	10000		
2	1025	47	10000		
2	1026	47	10000		
2	1027	47	10000		
2	1029	47	10000		
2	1030	47	10000		
2	1031	47	10000		
2	1032	47	10000		
2	1033	47	10000		
2	1034	47	10000		
2	1035	47	10000		
2	1036	47	10000		
2	1037	47	10000		
2	1038	47	10000		
2	1039	47	10000		
2	1041	47	10000		
2	1042	47	10000		
2	1043	47	10000		
2	1044	47	10000		
2	1045	47	10000		
2	1046	47	10000		
2	1047	47	10000		
2	1048	47	10000		
2	1051	47	10000		
2	1102	47	10000		
2	1103	47	10000		
2	1106	47	10000		
2	1114	47	10000		
2	1115	47	10000		
2	1116	47	10000		
2	1120	47	10000		
2	1121	47	10000		
2	1122	47	10000		
2	1123	47	10000		
2	1124	47	10000		
2	1125	47	10000		
2	1126	47	10000		
2	1127	47	10000		
2	1129	47	10000		
2	1130	47	10000		
2	1131	47	10000		
2	1132	47	10000		
2	1133	47	10000		
2	1134	47	10000		
2	1135	47	10000		
2	1136	47	10000		
2	1137	47	10000		
2	1138	47	10000		
2	1139	47	10000		
2	1141	47	10000		
2	1142	47	10000		
2	1143	47	10000		
2	1144	47	10000		
2	1145	47	10000		
2	1146	47	10000		
2	1147	47	10000		
2	1148	47	10000		
2	1151	47	10000		
