白名单类型	白名单子类型	白名单索引
3	每日产出上限	1050122
3	每日产出上限	1010400
3	每日产出上限	21010000
3	每日产出上限	21010200
3	每日产出上限	21010300
3	历史产出上限	21003000
3	历史产出上限	21003100
3	历史产出上限	21003200
3	历史产出上限	21003300
3	每日产出上限	22000000
3	每日产出上限	22000100
3	每日产出上限	22000200
3	每日产出上限	22001000
3	每日产出上限	22001100
3	每日产出上限	22001200
3	每日产出上限	22002000
3	每日产出上限	22002100
3	每日产出上限	22002200
3	每日产出上限	22003000
3	每日产出上限	22003100
3	每日产出上限	21300001
3	每日产出上限	21300002
3	每日产出上限	21300003
3	每日产出上限	21300004
3	每日产出上限	21300005
3	每日产出上限	21300006
3	每日产出上限	21300007
3	每日产出上限	21300008
