ID	stageID	开始时间	结束时间	minLevel	maxLevel	前置openstate	前置父任务	权重
1001	1,2							10
1003	1,2							10
1002	3,4							10
1004	3,4							10
1006	1,2,3,4,12			7				10
1007	1			7				10
1008	3			7				10
1009	1,2,3,4,12			8				10
1010	1,3			8				10
1011	1,2,3,4,12			15		OPEN_STATE_COMBINE		10
1012	1,2,3,4,12			15		OPEN_STATE_COMBINE		10
1013	1,2,3,4,12			15		OPEN_STATE_COMBINE		10
1014	1,2,3,4,12							10
1015	1,2,3,4,12							10
1016	1,2,3,4,12							10
1017	1,2,3,4,12							10
1018	1,2,3,4,12			4				10
1019	1,2,3,4,12			4				10
1020	1,2,3,4,12			4				10
1021	1,2,3,4,12			4				10
1022	2,4,12			4				10
1023	1			4				10
1024	3							10
1025	1,2,3,4			9				10
1026	1,2			9				10
1027	3,4			15				10
1028								7
1029	5							10
1030	2,4,12							10
1031	1,2,12							10
1032	1,2,3,4,12						463	10
1033						OPEN_STATE_GACHA		10
1034	2,4			5				10
1035	2,4			5				10
1036	2,4,12			5				10
1037	6,12							10
1038	2,4,6,12					OPEN_STATE_GUIDE_BLOSSOM		10
1039	6							10
1040	6,12							10
1041	2,4,6,7,12					OPEN_STATE_GUIDE_BLOSSOM		10
1042	2,4,12					OPEN_STATE_GUIDE_BLOSSOM		10
1043								10
1044	1,2,3,4,8,12							10
1045								10
1046	1,2,3,4,12			5				10
1047								10
1048	2,4,5,6,12			5				10
1049	2,4,5,6,12			5				10
1050	2,4			5				10
1051	2,4,12							10
1052	2,4,12							10
1053	2,4,12							10
1054	2,4,12							10
1055	2,4,12			5				10
1056	2,4,12							10
1057	2,4,12							10
1058	2			3				10
1059	11							10
1060	11							10
1061	6							10
1062	6							10
1063	6							10
1064	6							10
1065	6							10
1066	6							10
1067	1,2,3,4			9				10
1068								10
1069								10
1070								10
1071				5				10
1072				5				10
1073				5				10
1074				5				10
1075				5				10
1076				5				10
1077				5				10
1078				5				10
1079				5				10
1080				5				10
1081				5				10
1082				5				10
1083				5				10
1084				5				10
1085				5				10
1086				5				10
1087				10				10
1088				15				10
1089				3				10
1090				3				10
1091				5				10
1092				7				10
1093				7				10
1094				7				10
1095				7				10
1096				7				10
1097								10
1098								10
1099	7							10
1100	7							10
1101	7							10
1102	7							10
1103	7							10
1104	7							10
1105	7							10
1106	7							10
1107	7							10
1108	7							10
1109	3,4			12				10
1110	2,4,12			5				10
1111	1,2,3,4,12			8				10
1113	1,2,3,4,6,12			10				10
1114				15				10
1115	1,2,3,4,12			5				10
1116	1,2,3,4,12			5				10
1117	1,2,3,4,12			15				10
1118	1,2,3,4,5,6,12			4				10
1119				7				10
1120	2,4			7				10
1121	4			15				10
1122	6			15				10
1123	1,2,3,4,6,12			10				10
1124	1,2,3,4,6,12			16				10
1125	1,2,3,4,6,12			16				10
1126	1,2,3,4,12			16				10
1127	1,2,3,4,12			3				10
1128	1,2,3,4,6,12						20031	10
1129	1,2,3,4,12			3				10
1130	1,2,3,4,12							10
1131	1,2,3,4,12						357	10
1132	1,2,3,4,12							10
1133	1,2,3,4,12							10
1134	1,2,3,4,12							10
1135	1,2,3,4,12			10				10
1136	1,2,3,4,12			10				10
1137	1,2			18			70650	10
1138	1,2						70650	10
1139	1,2						70650	10
1140	1,2						70650	10
1141	1,2,3,4			8				10
1142	3,4			35			71650	10
1143	3,4						71650	10
1144	3,4						71650	10
1145	3,4						71650	10
1146	1,2,3,4,12			8				10
1147	1,2,3,4,12						20030	10
1148	1,2						454	10
1149	1,2						454	10
1150	1,2						398	10
1151	1,2,3,4,12						371	10
1152	1,2,3,4,12						485	10
1153	3,4						1003	10
1154	1,2,3,4,12						1010	10
1155	3,4						1015	10
1156	1,2,3,4,12						10113	10
1157	1,2,3,4,12						11005	10
1158	3,4						1018	10
1159	3,4						1016	10
1160	3,4						1016	10
1161								10
1162	1,2,3,4,12						379	10
1163	1,2,3,4,12						397	10
1164	1,2,3,4,12						397	10
1165	3,4						1003	10
1166	1,2						10113	10
1167	1,2,3,4,12						396	10
1168	1,2,3,4,12						11012	10
1169	3,4						1021	10
1170	1,2,3,4,12						1022	10
1171	12						70141	10
1172	1,2,3,4,6,7,12			6				10
1173	1,2,3,4,12						70123	10
1174	12							10
1175	12							10
1176	12							10
1177	12							10
1178	12						70102	10
1179	12							10
1180	12							10
1181	12						70104	10
1182	12						70101	10
1183	12							10
1184	12							10
1185	12							10
1186	12						70141	10
1187	12							10
1188	12							10
1189	12							10
1190	12							10
1191	12						70106	10
1192	12						70121	10
1193	12						70141	10
1194	12						70142	10
1195	12						70124	10
1196	1,2,3,4,6,7,12			12				10
1197	1,2,3,4,6,7,12			16				10
1198	12							10
1199	12						70141	10
1200	1,2,3,4,12						11045	10
1201	1,2,3,4,6,7,12							10
1202	3,4						71022	10
1203	3,4						71022	10
1204	3						11113	10
1205	4						11103	10
1206	4						11103	10
1207	1,2,3,4,12						18000	10
1208	1,2,3,4,6,7,12			7				10
1209	1,2,3,4,6,7,12							10
1210	1,2,3,4,12							10
1211	1,2,3,4,6,7,12							10
1213	13							30
1214	13							30
1215	13							30
1216	13							30
1217	13,3,4						11008	30
1218	3,4						11123	10
1219	14						79010	30
1220	14						40010	30
1222	14							30
1223	14						79011	30
1224	14							30
1225	14						79001	30
1226	13							30
1227	13							30
1228	14						40010	30
1229	14						40010	30
1230	14						40011	30
1231	14						40010	30
1236	1,2,3,4						2002	10
1237	1,2,3,4						2002	10
1238	1,2,3,4						2002	10
