父任务ID	父任务组	任务类型	启用模式	Lua脚本路径	推荐等级	可重复	任务奖励RewardID	章节ID	事件ID	活动类型
800		7	1	Actor/Quest/WQ800						
2000	1201		1	Actor/Quest/AQ2000			102000	1201		
2001	1201		1	Actor/Quest/AQ2001			102001	1201		
2002	1201		1	Actor/Quest/AQ2002			102002	1201		
8000	1104		1	Actor/Quest/AQ8000			108000	1104		
8001	1104		1	Actor/Quest/AQ8001			108001	1104		
8002	1104		1	Actor/Quest/AQ8002			108002	1104		
8003	1104		1	Actor/Quest/AQ8003			108003	1104		
10120	2019	2	1	Actor/Quest/LQ10120			110120	2019		
10121	2019	2	1	Actor/Quest/LQ10121			110121	2019		
10122	2019	2	1	Actor/Quest/LQ10122			110122	2019		
10500	2010	2	1	Actor/Quest/LQ10500			110500	2010		
10501	2010	2	1	Actor/Quest/LQ10501			110501	2010		
10502	2010	2	1	Actor/Quest/LQ10502			110502	2010		
10503	2010	2	1					2010		
11008		7	1	Actor/Quest/WQ11008			111008			
11010	2012	2	1	Actor/Quest/LQ11010			111010	2012		
11011	2012	2	1	Actor/Quest/LQ11011			111011	2012		
11012	2012	2	1	Actor/Quest/LQ11012			111012	2012		
11020	2014	2	1	Actor/Quest/LQ11020			111020	2014		
11021	2014	2	1	Actor/Quest/LQ11021			111021	2014		
11022	2014	2	1	Actor/Quest/LQ11022			111022	2014		
11023	2014	2	1	Actor/Quest/LQ11023			111023	2014		
11024	2014	2	1	Actor/Quest/LQ11024			111024	2014		
11025	2014	2	1	Actor/Quest/LQ11025						
11030	2016	2	1	Actor/Quest/LQ11030			111030	2016		
11031	2016	2	1	Actor/Quest/LQ11031			111031	2016		
11032	2016	2	1	Actor/Quest/LQ11032			111032	2016		
11040	2017	2	1	Actor/Quest/LQ11040			111040	2017		
11041	2017	2	1	Actor/Quest/LQ11041			111041	2017		
11042	2017	2	1	Actor/Quest/LQ11042			111042	2017		
11043	2017	2	1	Actor/Quest/LQ11043			111043	2017		
11044	2017	2	1	Actor/Quest/LQ11044			111044	2017		
11045	2017	2	1	Actor/Quest/LQ11045			111045	2017		
11110	11110	2	1	Actor/Quest/LQ11110			111110	2018		
11111	11110	2	1	Actor/Quest/LQ11111			111111	2018		
