图鉴ID	类型	物品ID	序号	名称$text_name_Title	描述$text_name_Desc	图标	已废弃	解锁才显示
40100001	0	101001	1		铁的矿石原石，在拥有相应技能的工匠手中能绽放光采。通常来说，地表上的矿石昭示着此地深处丰富的矿脉。			
40100002	0	101002	2		白铁的矿石原石，在拥有相应技能的工匠手中能大放异彩。矿石当中寄宿着大地中流淌的战斗的记忆，正是这种记忆让它们成为武器的良材。			
40100003	0	101003	3		未经削切的晶体。在专门处理后，才能真正展现价值。这种通称为「水晶」的清澈物体是大地析出的珍贵结晶，能成为制造武器的宝贵材料。			
40100004	0	101004	4		受地脉的能量侵蚀的水晶，无法通过寻常手段处理。但通过原粹树脂提纯的话，可以转化为十分珍贵的材料。			
40100005	0	101006	5					
40101001	0	100001	101		爽脆可口的酸甜果实，无论生食或是酿酒都很是美味。也可以制成清爽的无酒精饮料。			
40101002	0	100002	102					
40101003	0	100011	103					
40101004	0	100012	104		香气浓郁的植株。即便在黑暗中，也能循着芬芳的气息找到的花朵。在提瓦特大陆上，是制糖的常用材料。			
40101005	0	100013	105					
40101006	0	100014	106					
40101007	0	100015	107					
40101008	0	100016	108		饱含清凉成分的植物叶子。清爽冰凉的滋味能将暑气荡涤一空。薄荷广袤分布在大陆各处，拥有旺盛的生命力。			
40101009	0	100020	109					
40101010	0	100051	110					
40101011	0	100063	111					
40101012	0	100062	112					
40102001	0	100021	201		带着勾刺的莓果，会挂在狼的毛皮上来迁徙。看见它时，仿佛能听见狼的凄嚎在林间回荡…勾勾果能入药，可以治疗病痛。虽然本身也会为不小心的人或走兽带来伤痛就是了…			
40102002	0	100022	202					
40102003	0	100023	203					
40102004	0	100024	204					
40102005	0	100025	205					
40102006	0	100055	206		在夜间会隐隐散发辉光的野花。与其他食材一同烹饪能提升鲜味。正如野花的芬芳不会吸引脚步笃定的人，即使在夜里，小灯草黯淡的光辉也无法吸引心无旁骛的行者。			
40102007	0	100056	207		生长在水边的花。花瓣经过烹制口感爽脆，清甜微苦。现代医学认为嘟嘟莲具有一定的解毒功效，但生吃的涩味让很多人难以接受。			
40102008	0	100618	208				1	1
40102009	0	100619	209		汲取了生命之力的龙牙，散发着令人感到不安的微弱暖意。过去，龙陨落在银色的山谷中，将惨白的雪地涂成了不详的绯红。这种绯红象征着这头龙的力量。\n包裹在这种「绯红」之中的龙牙，或许能成为可怖的凶器…			1
40103001	0	100026	301					
40103002	0	100027	302		璃月地方特产的辛辣植物。只要闻到它的味道，身体就会变得炽热，渴求水分。虽然名字中有「绝云」二字，但其实并不仅仅生长在绝云间。\n名字似乎来自能将人辣得直奔绝云巅峰，渴求清凉空气的辣度。			
40103003	0	100028	303					
40103004	0	100029	304		在璃月如霓云般盛放的妖红之花，能制成如水般顺滑的织物。璃月的「飞云商会」是制丝、纺织的巨头。坊间传说飞云商会在大陆某处有着隐秘的霓裳花苗圃，仰仗特殊花种的产量与质感，在行业内无人能敌。			
40103005	0	100030	305		极为古老的花卉。据说曾经遍布璃月大地，能将大地的记忆积攒成花期时的芬芳。传说会在无比清澈美丽的歌声中开放，在过去是某人十分青睐的花朵。但如今，野地上已经难以再见到琉璃百合的怒放了。			
40103006	0	100031	306					
40103007	0	100032	307					
40103008	0	100033	308					
40103009	0	100034	309					
40103010	0	100091	310					
40109001	0	100052	1801		封闭在坚冰当中的花芯。即使离开了植株，也持续散发着寒气。通俗文学中，曾有人描绘了被冰雾花冻住，无法脱身的狐狸。对于力量较小的生物而言，应该是非常危险的植物吧。			
40109002	0	100053	1802		火辣辣的花芯。熊熊燃烧的炙热花朵，即使被水浇熄了也隐隐地放出热量。据说这类植物会在长久的元素力积累中逐渐发展出智能与特殊的行为模式。			
40109003	0	100054	1803		富含电力的晶石，由逸散在大气与大地中的电气积聚而成。摸起来酥酥麻麻的。如果有对应的设施，或许可以通过这里面蕴含的雷元素做些什么事情吧…？			
40109004	0	100058	1804					
40109005	0	100057	1805		随风而行的细小种子。即使拔去了旅行的羽絮，其中也寄宿着远方的希望吧。蒲公英在某种意义上代表着自由、放浪的无羁精神。在盛产蒲公英的风之国土，人们会用蒲公英制酒。另外有民俗学者认为，在古代，蒲公英酿成的酒有强烈的象征意味…			
40110001	0	100072	1901					
40110002	0	100081	1902					
40110003	0	100082	1903					
40110004	0	100083	1904					
40110005	0	100085	1905					
40110008	0	100090	1908		鳅鳅吐出的闪亮珍珠，有神奇的药用效果。鳅鳅会将摄入的矿物质和元素凝结成带有微弱魔力的珠子，在紧急情况下，会将这些珠子吐出来迷惑狩猎者，以保全性命。			
40200001	1	108010	2001					
