ID	说明	AbilityName	是否通用	最先加载	图标	group用途
1001	提升单体50%攻击力	MonsterAffix_Bash			Skill_E_PlayerWind_01	
1002	提升单体50%防御力	MonsterAffix_IronDefense			Skill_S_Qin_01	
1003	7秒内没有受到攻击，则每秒回复5%生命值	MonsterAffix_Indomitable			Skill_E_Ambor	
1004	提升全元素20%抗性	MonsterAffix_Rainbow_01			Skill_E_Ayaka	
1005	遭受电击后会降低防御	MonsterAffix_ElementHit_BreakDefence			Skill_E_Ayaka	
1006	提升单体血量20%	MonsterAffix_Property_HpImprove_02	1	1	Skill_E_Ayaka	
1007	提升单体血量50%	MonsterAffix_Property_HpImprove_03	1	1	Skill_E_Ayaka	
1008	提升单体血量100%	MonsterAffix_Property_HpImprove_04	1	1	Skill_E_Ayaka	
1009	提升单体攻击20%	MonsterAffix_Property_AtkImprove_02	1	1	Skill_E_Ayaka	
1010	提升单体攻击50%	MonsterAffix_Property_AtkImprove_03	1	1	Skill_E_Ayaka	
1011	提升单体攻击100%	MonsterAffix_Property_AtkImprove_04	1	1	Skill_E_Ayaka	
1012	提升单体元素盾含量20%	MonsterAffix_ElementShield_DurabilityImprove_01	1	1	Skill_E_Ayaka	
1013	提升单体元素盾含量50%	MonsterAffix_ElementShield_DurabilityImprove_02	1	1	Skill_E_Ayaka	
1014	提升单体元素盾含量100%	MonsterAffix_ElementShield_DurabilityImprove_03	1	1	Skill_E_Ayaka	
1015	提升单体元素盾恢复速率20%	MonsterAffix_ElementShield_GapReduce_01		1	Skill_E_Ayaka	
1016	提升单体元素盾恢复速率50%	MonsterAffix_ElementShield_GapReduce_02		1	Skill_E_Ayaka	
1017	提升单体元素盾恢复速率100%	MonsterAffix_ElementShield_GapReduce_03		1	Skill_E_Ayaka	
1018	单个怪物AI出手频率变为1.5倍	MonsterAffix_AISkillCD_Revise01	1	1	Skill_E_Ayaka	
1019	单个怪物AI出手频率变为2倍	MonsterAffix_AISkillCD_Revise02	1	1	Skill_E_Ayaka	
1020	提升怪物火伤	MonsterAffix_FireAddHurtDelta_Improve		1	Skill_E_Ayaka	
1021	降低单体40%攻击力	MonsterAffix_Weak	1		Skill_E_PlayerWind_01	
1022	提升单体100%防御力	MonsterAffix_Slime_Ice_IronDefence_Father			Skill_S_Qin_01	
1023	辅助判断是否满足条件	MonsterAffix_Slime_Ice_IronDefence_Child			Skill_S_Qin_01	
1024	提升单体100%防御力	MonsterAffix_Property_IronDefence_Father			Skill_S_Qin_01	
1025	辅助判断是否满足条件	MonsterAffix_Property_IronDefence_Child			Skill_S_Qin_01	
1026	详见通用技能设计相关文档	MonsterAffix_WaterDebuff_CoolDownIncrement	1		Skill_S_Qin_01	
1027	详见通用技能设计相关文档	MonsterAffix_ElecDebuff_LoseEnergy	1		Skill_S_Qin_01	
1028	详见通用技能设计相关文档	MonsterAffix_FireDebuff_LoseHP	1		Skill_S_Qin_01	
1029	详见通用技能设计相关文档	MonsterAffix_IceDebuff_ExtraStaminaCost	1		Skill_S_Qin_01	
1030	降低单体血量60%	MonsterAffix_Property_HpDecrease_01	1	1	Skill_E_Ayaka	
1031	抵抗lv2及以下等级嘲讽	MonsterAffix_TauntLevel_3	1		Skill_E_Ayaka	
1032	最大生命提升10%	MonsterAffix_Property_HpImprove_01	1			
1033	最大生命提升200%	MonsterAffix_Property_HpImprove_05	1			
1034	攻击力提升10%	MonsterAffix_Property_AtkImprove_01	1			
1035	判断怪物是否入战	MonsterAffix_MonsterState_IsInBattle	1			
1036	对守护目标造成额外伤害	MonsterAffix_ExtraDamageToProtectTarget	1			
1101	魔化特效表现	MonsterAffix_DemonizeEff_XiaoQuest	1			
1102	岩抗降低40%	MonsterAffix_RockVulnerable_NoelCoop	1			
1103	物抗降低20%	MonsterAffix_PhiscVulnerable_NoelCoop	1			
1104	血量降低80%	MonsterAffix_Property_HpDown_NoelCoop	1			
1105	攻击削弱50%	MonsterAffix_Property_AtkDown_NoelCoop	1			
1106	霸体提升4倍	MonsterAffix_Property_EndureUp_InazumaPrequest	1			
1201	提升单体血量10%	MonsterAffix_Property_HpImproveForAbyssus_01		1	Skill_E_Ayaka	
1211	提升单体血量50%	MonsterAffix_Property_HpImproveForAbyssus_02		1	Skill_E_Ayaka	
1221	提升单体血量100%	MonsterAffix_Property_HpImproveForAbyssus_03		1	Skill_E_Ayaka	
1231	提升单体血量150%	MonsterAffix_Property_HpImproveForAbyssus_04		1	Skill_E_Ayaka	
1241	提升单体血量200%	MonsterAffix_Property_HpImproveForAbyssus_05		1	Skill_E_Ayaka	
1401	提升单体血量50%	MonsterAffix_Property_HpImproveForEvent_01	1	1	Skill_E_Ayaka	
1402	提升单体血量100%	MonsterAffix_Property_HpImproveForEvent_02	1	1	Skill_E_Ayaka	
1403	提升单体血量200%	MonsterAffix_Property_HpImproveForEvent_03	1	1	Skill_E_Ayaka	
1404	提升单体100%防御力	MonsterAffix_Property_DefImproveForEvent_01	1		Skill_E_Ayaka	
1405	提升单体200%防御力	MonsterAffix_Property_DefImproveForEvent_02	1		Skill_E_Ayaka	
1406	提升单体20%攻击力	MonsterAffix_Property_AtkImproveForEvent_01	1		Skill_E_Ayaka	
1407	提升单体50%攻击力	MonsterAffix_Property_AtkImproveForEvent_02	1		Skill_E_Ayaka	
1408	单个怪物AI出手频率提升1.5	MonsterAffix_AISkillCDForEvent_Revise01	1	1	Skill_E_Ayaka	
1409	单个怪物AI出手频率提升2	MonsterAffix_AISkillCDForEvent_Revise02	1	1	Skill_E_Ayaka	
1410	降低单体血量60%	MonsterAffix_Property_HpDecreaseForEvent_01	1	1	Skill_E_Ayaka	
1411	降低单体40%攻击力	MonsterAffix_Property_AtkDecreaseForEvent_01	1		Skill_E_Ayaka	
1901	任务目标对象特效	MonsterAffix_Crystal_Wind	1		Skill_E_Ayaka	
2001	免疫点燃伤害	MonsterAffix_BurningResist			Skill_E_Diluc_01	
2002	免疫感电伤害和效果	MonsterAffix_ShockResist			Skill_E_Kate	
2003	免疫冰冻和寒元素的减速效果	MonsterAffix_IceAllResist			Skill_E_Ayaka	
3001	同系伤害抵抗-水-50%	MonsterAffix_ElementResist_Water_01			Skill_S_Diluc_01_01	
3002	同系伤害抵抗-水-70%	MonsterAffix_ElementResist_Water_02			Skill_S_Diluc_01_02	
3003	同系伤害抵抗-水-100%	MonsterAffix_ElementResist_Water_03			Skill_S_Diluc_01_03	
3004	同系伤害抵抗-火-50%	MonsterAffix_ElementResist_Fire_01			Skill_S_Diluc_01_01	
3005	同系伤害抵抗-火-70%	MonsterAffix_ElementResist_Fire_02			Skill_S_Diluc_01_02	
3006	同系伤害抵抗-火-100%	MonsterAffix_ElementResist_Fire_03			Skill_S_Diluc_01_03	
3007	同系伤害抵抗-冰-50%	MonsterAffix_ElementResist_Ice_01			Skill_S_Diluc_01_01	
3008	同系伤害抵抗-冰-70%	MonsterAffix_ElementResist_Ice_02			Skill_S_Diluc_01_02	
3009	同系伤害抵抗-冰-100%	MonsterAffix_ElementResist_Ice_03			Skill_S_Diluc_01_03	
3010	同系伤害抵抗-电-50%	MonsterAffix_ElementResist_Electric_01			Skill_S_Diluc_01_01	
3011	同系伤害抵抗-电-70%	MonsterAffix_ElementResist_Electric_02			Skill_S_Diluc_01_02	
3012	同系伤害抵抗-电-100%	MonsterAffix_ElementResist_Electric_03			Skill_S_Diluc_01_03	
3013	同系伤害抵抗-风-50%	MonsterAffix_ElementResist_Wind_01			Skill_S_Diluc_01_01	
3014	同系伤害抵抗-风-70%	MonsterAffix_ElementResist_Wind_02			Skill_S_Diluc_01_02	
3015	同系伤害抵抗-风-100%	MonsterAffix_ElementResist_Wind_03			Skill_S_Diluc_01_03	
3016	同系伤害抵抗-草-50%	MonsterAffix_ElementResist_Grass_01			Skill_S_Diluc_01_01	
3017	同系伤害抵抗-草-70%	MonsterAffix_ElementResist_Grass_02			Skill_S_Diluc_01_02	
3018	同系伤害抵抗-草-100%	MonsterAffix_ElementResist_Grass_03			Skill_S_Diluc_01_03	
3019	同系伤害抵抗-岩-50%	MonsterAffix_ElementResist_Rock_01			Skill_S_Diluc_01_01	
3020	同系伤害抵抗-岩-70%	MonsterAffix_ElementResist_Rock_02			Skill_S_Diluc_01_02	
3021	同系伤害抵抗-岩-100%	MonsterAffix_ElementResist_Rock_03			Skill_S_Diluc_01_03	
4001	关闭怪物受击、嘲讽、广播入战	MonsterAffix_NeverCombat			Skill_E_Ayaka	
4002	免疫物理伤害	MonsterAffix_PhysicalMuteHurt	1		Skill_E_Ayaka	
4003	免疫法器伤害-需要角色对应	MonsterAffix_CatalystMuteHurt_ForHunting	1		Skill_E_Ayaka	
4004	免疫单手剑伤害-需要角色对应	MonsterAffix_SwordMuteHurt_ForHunting	1		Skill_E_Ayaka	
4005	免疫双手剑伤害-需要角色对应	MonsterAffix_ClaymoreMuteHurt_ForHunting	1		Skill_E_Ayaka	
4006	免疫长柄武器伤害-需要角色对应	MonsterAffix_PoleMuteHurt_ForHunting	1		Skill_E_Ayaka	
4007	免疫弓伤害-需要角色对应	MonsterAffix_BowMuteHurt_ForHunting	1		Skill_E_Ayaka	
4008	免疫火元素伤害	MonsterAffix_FireMuteHurt	1		Skill_E_Ayaka	
4009	免疫水元素伤害	MonsterAffix_WaterMuteHurt	1		Skill_E_Ayaka	
4010	免疫冰元素伤害	MonsterAffix_IceMuteHurt	1		Skill_E_Ayaka	
