等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值	[曲线]7类型	[曲线]7运算	[曲线]7值	[曲线]8类型	[曲线]8运算	[曲线]8值	[曲线]9类型	[曲线]9运算	[曲线]9值	[曲线]10类型	[曲线]10运算	[曲线]10值
1	1	2	5.367859	2	2	2.02052	12	2	1.01	4	1	0	9	1	0	10	1	0	11	2	1	14	2	1	18	2	1	19	2	1
2	1	2	6.818905	2	2	2.32577	12	2	1.02	4	1	0	9	1	0	10	1	0	11	2	1.011236	14	2	1	18	2	4.3771	19	2	1.648215
3	1	2	8.421231	2	2	2.65371	12	2	1.03	4	1	0	9	1	0	10	1	0	11	2	1.022472	14	2	1	18	2	7.7542	19	2	2.296429
4	1	2	10.17484	2	2	3.00456	12	2	1.04	4	1	0	9	1	0	10	1	0	11	2	1.033708	14	2	1	18	2	11.1313	19	2	2.944644
5	1	2	12.07987	2	2	3.37863	12	2	1.05	4	1	0	9	1	0	10	1	0	11	2	1.044944	14	2	1	18	2	14.5084	19	2	3.592859
6	1	2	14.13796	2	2	3.77619	12	2	1.06	4	1	0	9	1	0	10	1	0	11	2	1.05618	14	2	1	18	2	17.8855	19	2	4.241074
7	1	2	16.34828	2	2	4.19745	12	2	1.07	4	1	0	9	1	0	10	1	0	11	2	1.067416	14	2	1	18	2	21.2626	19	2	4.889288
8	1	2	17.50736	2	2	4.58077	12	2	1.08	4	1	0	9	1	0	10	1	0	11	2	1.078652	14	2	1	18	2	24.6397	19	2	5.537503
9	1	2	19.26782	2	2	4.98102	12	2	1.09	4	1	0	9	1	0	10	1	0	11	2	1.089888	14	2	1	18	2	28.0168	19	2	6.185718
10	1	2	21.09865	2	2	5.39831	12	2	1.1	4	1	0	9	1	0	10	1	0	11	2	1.101124	14	2	1	18	2	31.3939	19	2	6.833933
11	1	2	24.06383	2	2	5.95895	12	2	1.11	4	1	0	9	1	0	10	1	0	11	2	1.11236	14	2	1	18	2	34.771	19	2	7.482147
12	1	2	27.14657	2	2	6.54609	12	2	1.12	4	1	0	9	1	0	10	1	0	11	2	1.123596	14	2	1	18	2	38.1481	19	2	8.130362
13	1	2	30.34872	2	2	7.16003	12	2	1.13	4	1	0	9	1	0	10	1	0	11	2	1.134831	14	2	1	18	2	41.5252	19	2	8.778577
14	1	2	33.90172	2	2	7.829	12	2	1.14	4	1	0	9	1	0	10	1	0	11	2	1.146067	14	2	1	18	2	44.9023	19	2	9.426792
15	1	2	37.58709	2	2	8.5272	12	2	1.15	4	1	0	9	1	0	10	1	0	11	2	1.157303	14	2	1	18	2	48.2794	19	2	10.075006
16	1	2	41.4068	2	2	9.255	12	2	1.16	4	1	0	9	1	0	10	1	0	11	2	1.168539	14	2	1	18	2	51.6565	19	2	10.723221
17	1	2	46.00103	2	2	10.24456	12	2	1.17	4	1	0	9	1	0	10	1	0	11	2	1.179775	14	2	1	18	2	55.0336	19	2	11.371436
18	1	2	50.05359	2	2	11.26446	12	2	1.18	4	1	0	9	1	0	10	1	0	11	2	1.191011	14	2	1	18	2	58.4107	19	2	12.019651
19	1	2	54.18154	2	2	12.31476	12	2	1.19	4	1	0	9	1	0	10	1	0	11	2	1.202247	14	2	1	18	2	61.7878	19	2	12.667865
20	1	2	65.1649	2	2	13.31608	12	2	1.2	4	1	0	9	1	0	10	1	0	11	2	1.213483	14	2	1	18	2	65.1649	19	2	13.31608
21	1	2	68.61109	2	2	14.26676	12	2	1.21	4	1	0	9	1	0	10	1	0	11	2	1.224719	14	2	1	18	2	74.801622	19	2	14.276127
22	1	2	72.10564	2	2	15.24058	12	2	1.22	4	1	0	9	1	0	10	1	0	11	2	1.235955	14	2	1	18	2	84.438343	19	2	15.236175
23	1	2	75.35814	2	2	16.20382	12	2	1.23	4	1	0	9	1	0	10	1	0	11	2	1.247191	14	2	1	18	2	94.075065	19	2	16.196222
24	1	2	79.78938	2	2	17.18874	12	2	1.24	4	1	0	9	1	0	10	1	0	11	2	1.258427	14	2	1	18	2	103.711786	19	2	17.15627
25	1	2	84.30028	2	2	18.19528	12	2	1.25	4	1	0	9	1	0	10	1	0	11	2	1.269663	14	2	1	18	2	113.348508	19	2	18.116318
26	1	2	88.9361	2	2	18.885	12	2	1.26	4	1	0	9	1	0	10	1	0	11	2	1.280899	14	2	1	18	2	122.985229	19	2	19.076365
