编号	称号编号	名字库编号
00101	1001	1001
00102	1011	1001
00103	1002	1001
00104	1021	1001
00105	1003	1001
00106	1031	1001
00107	1032	1001
00108	1004	1001
00109	1041	1001
00110	1005	1001
00111	1051	1001
00112	1006	1001
00113	1061	1001
00114	1007	1001
00115	1071	1001
00201	1201	1201
00401	2001	2001
00402	2002	2002
00403	2003	2003
00405	2005	2005
00501	2201	2201
00502	2221	2221
00503	2222	2221
00504	2223	2221
00505	2224	2221
00506	2225	2221
00507	2226	2221
00508	2227	2221
00509	2228	2221
10101	3001	3001
10102	3001	3001
10103	3001	3001
10104	3011	3001
10105	3011	3001
10106	3001	3001
10107	3001	3001
10109	3011	3001
10110	3011	3001
10112	3001	3001
10113	3001	3001
10114	3001	3001
10115	3090	3090
10201	3101	3101
10202	3102	3101
10203	3103	3101
10204	3112	3112
10205	3111	3111
10206	3104	3101
10301	3201	3201
10302	3202	3202
10303	3203	3203
10304	3204	3204
10305	3205	3205
20101	4001	4001
20102	4002	4001
20103	4003	4001
20201	4011	4011
20301	4021	4021
30101	5111	5001
30102	5112	5001
30103	5121	5001
30104	5101	5001
30105	5122	5001
30106	5102	5001
30201	5001	5001
30301	5002	5002
30401	5003	5002
40101	6001	6001
40102	6002	6002
40103	6003	6003
50101	7005	7005
50102	7001	7001
50103	7121	7001
50104	7122	7001
50105	7123	7001
50106	7124	7001
50107	7111	7001
50201	7006	7006
50202	7002	7001
50301	7007	7007
50302	7003	7001
50303	7112	7001
50401	7008	7008
50501	7011	7011
50502	7012	7011
50601	7131	7001
50701	7132	7001
50901	7200	7100
60101	2101	2101
60102	2102	2101
60201	2111	2111
60202	2112	2112
60301	8001	8001
60401	8002	8002
60501	8003	8003
60502	8003	8003
60503	8003	8003
60504	8003	8003
60601	1101	1101
60602	1102	1102
60603	1103	1103
90101	101	101
90201	111	111
90301	121	121
90401	131	131
