编号	掉落模型	稀有度
00101	史莱姆	1
00102	大史莱姆	1
00103	史莱姆	1
00104	大史莱姆	1
00105	史莱姆	1
00106	大史莱姆	1
00107	大史莱姆	1
00108	史莱姆	1
00109	大史莱姆	1
00110	史莱姆	1
00111	大史莱姆	1
00112	史莱姆	1
00113	大史莱姆	1
00114	史莱姆	1
00115	大史莱姆	1
00201	元素之核	2
00401	无相之雷	3
00402	无相之风	3
00403	无相之岩	3
00405	无相之冰	3
00501	纯水精灵	3
00502	魔法生物	5
00503	魔法生物	5
00504	魔法生物	5
00505	魔法生物	5
00506	魔法生物	5
00507	魔法生物	5
00508	魔法生物	5
00509	魔法生物	5
10101	丘丘人	1
10102	丘丘人	1
10103	丘丘人	1
10104	远程丘丘人	1
10105	远程丘丘人	1
10106	丘丘人	1
10107	丘丘人	1
10108	丘丘人	1
10109	远程丘丘人	1
10110	远程丘丘人	1
10111	丘丘人	1
10112	丘丘人	1
10113	丘丘人	1
10114	丘丘人	1
10115	丘丘人	1
10201	丘丘暴徒	2
10202	丘丘暴徒	2
10203	丘丘暴徒	2
10204	丘丘岩盔王	2
10205	丘丘岩盔王	2
10206	丘丘暴徒	2
10301	丘丘萨满	1
10302	丘丘萨满	1
10303	丘丘萨满	1
10304	丘丘萨满	1
10305	丘丘萨满	1
20101	深渊法师	2
20102	深渊法师	2
20103	深渊法师	2
20201	深渊法师	2
20301	深渊法师	2
30101	先遣队	1
30102	先遣队	1
30103	先遣队	1
30104	先遣队	1
30105	先遣队	1
30106	先遣队	1
30201	债务处理人	2
30301	召唤师	2
30401	召唤师	2
40101	遗迹守卫	2
40102	遗迹守卫	2
40103	遗迹重机	2
50101	盗宝团	1
50102	盗宝团	1
50103	盗宝团	1
50104	盗宝团	1
50105	盗宝团	1
50106	盗宝团	1
50107	盗宝团	1
50201	盗宝团	1
50202	盗宝团	1
50301	盗宝团	1
50302	盗宝团	1
50303	盗宝团	1
50401	盗宝团	1
50501	盗宝团	1
50502	盗宝团	1
50601	盗宝团	1
50701	盗宝团	1
50901	魔偶剑鬼	3
60101	骗骗花	1
60102	骗骗花	1
60201	急冻树	3
60202	爆炎树	3
60301	幼岩龙蜥	2
60401	岩龙蜥	2
60501	古岩龙蜥水	3
60502	古岩龙蜥火	3
60503	古岩龙蜥冰	3
60504	古岩龙蜥电	3
60601	雷萤	1
60602	雷萤	1
60603	雷萤	1
80101	采集动物	5
80102	采集动物	5
80103	采集动物	5
80201	走兽	5
80202	走兽	5
80203	走兽	5
80204	走兽	5
80205	走兽	5
80206	走兽	5
80301	鸟类	5
80302	鸟类	5
80303	鸟类	5
80304	鸟类	5
80305	鸟类	5
80401	水族	5
80501	魔法生物	5
80502	魔法生物	5
82203	走兽	5
82204	走兽	5
82205	走兽	5
82301	鸟类	5
90101	风魔龙	4
90201	北风狼	4
90301	公子	4
90401	若陀龙王火电	4
