名字编号	名字库编号	是否用于随机	编辑器可用
10001	10001		1
10002	10001		1
10003	10001		1
10004	10001		1
10005	10001		1
10006	10001		1
10007	10001		1
10008	10001		1
10009	10001		1
10010	10001		1
10011	10001		1
10012	10001		1
10013	10001		1
10014	10001		1
10015	10001		1
10016	10001		1
10017	10001		1
10018	10001		1
10019	10001		1
10020	10001		1
10021	10001		1
10022	10001		1
10023	10001		1
10024	10001		1
10025	10001		1
10026	10001		1
10027	10001		1
10028	10001		1
10029	10001		1
10038	10001		1
10039	10001		1
10040	10001		1
10041	10001		1
10042	10001		1
1	101		1
2	101		1
3	111		1
4	111		1
5	121		1
6	131		1
9	1001		
10	1101		
11	1102		
12	1103		
13	1201		
14	2101		
15	2111	1	
16	2111	1	
17	2111	1	
18	2112	1	
19	2112	1	
20	2112	1	
21	2201	1	
22	2201	1	
23	2201	1	
24	2201	1	
25	2201	1	
26	2201	1	
27	2201	1	
28	2201	1	
29	2221		
30	2001		
31	2002		
32	2003		
33	2005		
35	3001		
36	3090		
37	3101	1	
38	3101	1	
39	3101	1	
40	3101	1	
41	3101	1	
42	3101	1	
43	3101	1	
44	3101	1	
45	3101	1	
46	3101	1	
47	3101	1	
48	3101	1	
49	3101	1	
50	3101	1	
51	3101	1	
52	3101	1	
53	3101	1	
54	3101	1	
55	3101	1	
56	3101	1	
57	3101	1	
58	3101	1	
59	3101	1	
60	3101	1	
61	3101	1	
62	3101	1	
63	3101	1	
64	3101	1	
65	3101	1	
66	3101	1	
67	3101	1	
68	3111	1	
69	3112	1	
70	3201	1	
71	3201	1	
72	3201	1	
73	3201	1	
74	3201	1	
75	3201	1	
76	3202	1	
77	3202	1	
78	3202	1	
79	3202	1	
80	3202	1	
81	3202	1	
82	3202	1	
83	3203	1	
84	3203	1	
85	3203	1	
86	3203	1	
87	3203	1	
88	3203	1	
89	3203	1	
90	3204	1	
91	3204	1	
92	3204	1	
93	3204	1	
94	3204	1	
95	3204	1	
96	3204	1	
97	3205	1	
98	3205	1	
99	3205	1	
100	3205	1	
101	3205	1	
102	3205	1	
103	3205	1	
104	3205	1	
105	4001	1	
106	4001	1	
107	4001	1	
108	4001	1	
109	4001	1	
110	4001	1	
111	4001	1	
112	4001	1	
113	4001	1	
114	4001	1	
115	4001	1	
116	4001	1	
117	4001	1	
118	4001	1	
119	4001	1	
120	4001	1	
121	4001	1	
122	4001	1	
123	4001	1	
124	4001	1	
125	4001	1	
126	4001	1	
127	4001	1	
128	4001	1	
129	4001	1	
130	4001	1	
131	4001	1	
132	4001	1	
133	4001	1	
134	4001	1	
135	4011	1	
136	4011	1	
137	4011	1	
138	4011	1	
139	4011	1	
140	4011	1	
141	4011	1	
142	4011	1	
143	4011	1	
144	4011	1	
145	4021	1	
146	4021	1	
147	4021	1	
148	4021	1	
149	4021	1	
150	4021	1	
151	4021	1	
152	4021	1	
153	4021	1	
154	4021	1	
155	5001	1	
156	5001	1	
157	5001	1	
158	5001	1	
159	5001	1	
160	5001	1	
161	5001	1	
162	5001	1	
163	5001	1	
164	5001	1	
165	5001	1	
166	5001	1	
167	5001	1	
168	5001	1	
169	5001	1	
170	5001	1	
171	5001	1	
172	5001	1	
173	5001	1	
174	5001	1	
175	5001	1	
176	5001	1	
177	5001	1	
178	5001	1	
179	5001	1	
180	5001	1	
181	5001	1	
182	5001	1	
183	5001	1	
184	5001	1	
185	5001	1	
186	5001	1	
187	5002	1	
188	5002	1	
189	5002	1	
190	5002	1	
191	5002	1	
192	5002	1	
193	5002	1	
194	5002	1	
195	5002	1	
196	5002	1	
197	5002	1	
198	5002	1	
199	5002	1	
200	5002	1	
201	5002	1	
202	5002	1	
