称号编号	编辑器可用
101	1
102	1
103	1
111	1
112	1
121	1
122	1
123	1
131	1
1001	
1002	
1003	
1004	
1005	
1006	
1007	
1011	
1021	
1031	
1032	
1041	
1051	
1061	
1071	
1101	
1102	
1103	
1201	
1202	
2001	
2002	
2003	
2005	
2101	
2102	
2111	
2112	
2201	
2211	1
2221	
2222	
2223	
2224	
2225	
2226	
2227	
2228	
3001	
3011	
3090	
3101	
3102	
3103	
3104	
3111	
3112	
3201	
3202	
3203	
3204	
3205	
4001	
4002	
4003	
4011	
4021	
5001	
5002	
5003	
5101	
5102	
5111	
5112	
5121	
5122	
6001	
6002	
6003	
7001	
7002	
7003	
7004	
7005	1
7006	1
7007	1
7008	1
7011	
7012	
7111	
7112	
7121	
7122	
7123	
7124	
7131	
7132	
7200	
8001	
8002	
8003	
10001	1
10002	1
10003	1
10004	1
10005	1
10006	1
10007	1
10008	1
10009	1
10010	1
10011	1
10012	1
10013	1
10018	1
10019	1
10020	1
10021	1
10022	1
