编号	歌曲编号	歌曲难度	Beatmap所属Json路径	点击前置区间	点击后置区间	缩圈时间	点击范围	评级分数列表	单次点击分数	连击1上限	连击1倍率	连击2上限	连击2倍率	连击3上限	连击3倍率	连击4上限	连击4倍率	解锁提示文本$text_name_tips
1	1	1	GenshinMaintheme_easy	400	150	2000	3	1000,1600,2000	20	5	1	10	1.3	15	1.6	140	2	
2	1	2	GenshinMaintheme_normal	400	150	2000	3	1200,2200,2600	20	5	1	10	1.3	15	1.6	140	2	困难等阶在普通等阶演奏达到1000分后解锁
3	1	3	GenshinMaintheme_hard	400	150	2000	3	1800,3000,3600	20	5	1	10	1.3	15	1.6	140	2	大师等阶在困难等阶演奏达到1200分后解锁
4	2	1	DawnWineryTheme_easy	400	150	2000	3	800,1400,1800	20	5	1	10	1.3	15	1.6	140	2	
5	2	2	DawnWineryTheme_normal	400	150	2000	3	1200,2200,2600	20	5	1	10	1.3	15	1.6	140	2	困难等阶在普通等阶演奏达到800分后解锁
6	2	3	DawnWineryTheme_hard	400	150	2000	3	1800,2800,3600	20	5	1	10	1.3	15	1.6	140	2	大师等阶在困难等阶演奏达到1200分后解锁
7	3	1	TenderStrength_easy	400	150	2000	3	1000,1600,2000	20	5	1	10	1.3	15	1.6	140	2	
8	3	2	TenderStrength_normal	400	150	2000	3	1400,2400,3000	20	5	1	10	1.3	15	1.6	140	2	困难等阶在普通等阶演奏达到1000分后解锁
9	3	3	TenderStrength_hard	400	150	2000	3	2200,3800,4600	20	5	1	10	1.3	15	1.6	140	2	大师等阶在困难等阶演奏达到1400分后解锁
10	4	1	SnowMountain_easy	400	150	2000	3	1000,1800,2200	20	5	1	10	1.3	15	1.6	140	2	
11	4	2	SnowMountain_normal	400	150	2000	3	1400,2400,3000	20	5	1	10	1.3	15	1.6	140	2	困难等阶在普通等阶演奏达到1000分后解锁
12	4	3	SnowMountain_hard	400	150	2000	3	2400,4000,5000	20	5	1	10	1.3	15	1.6	140	2	大师等阶在困难等阶演奏达到1400分后解锁
