活动id	活动类型	是否更新地形	条件组列表	watcher列表	是否屏蔽界面
1001	1	1	1		
5001	2		500101	1500101,1500102,1500103,1500104,1500105,1500106,1500107,1500108,1500109,1500110,1500111,1500112,1500113	
5002	4				
5003	3		500301		
2001	1100		2001001	1200130,1200131,1200132	
5004	8				
5005	2				
5006	9		500601		
5007	10		500701	1501001,1501002,1501003,1502001,1502002,1502003,1503001,1503002,1503003,1504001,1504002,1504003,1505001,1505002,1505003,1506001,1506002,1506003,1507001,1507002,1507003	
3001	1200		3001001		
5008	8				
5009	8				
5010	8				
5011	1204		501101		
5012	1205		501201		
5014	1202		501401		
5015	8				
5016	1300		501601		
5017	1301		501701		
2002	1302		200201	1200212,1200213,1200216,1200217,1200250,1200253,1200254,1200211,1200218,1200219,1200223,1200226,1200255,1200256,1200251,1200257,1200224,1200225,1200221,1200229,1200233,1200258,1200252,1200259,1200236,1200237,1200238,1200239,1200240,1200241	
6002	1501				
6003	1404		600301		
5018	8				
5019	1402		501901	1501901,1501902,1501903,1501904,1501905,1501906,1501907,1501908,1501909,1501910,1501911,1501912,1501913,1501914,1501915,1501916,1501917,1501918,1501919,1501920,1501921	
2003	1400		2003001	1200311,1200312,1200313,1200314,1200315,1200316,1200317,1200318,1200319,1200320,1200321,1200322,1200323,1200324,1200325,1200326,1200327,1200328,1200329,1200330,1200331,1200332,1200333,1200334,1200335,1200336,1200337,1200338,1200339,1200340,1200341,1200342,1200343,1200344,1200345,1200346	
5020	1403		502001	1502010	
5021	1405				
2004	1502		200401	1200401	
5022	1503		502201	1502201,1502202,1502203,1502204,1502205,1502206,1502207,1502208,1502209,1502210,1502211,1502212,1502213,1502214,1502215,1502216,1502217,1502218,1502219,1502220,1502221,1502222,1502223,1502224,1502225,1502226,1502227,1502228,1502229,1502230	
5023	1504		502301	1502301,1502302,1502303,1502304,1502305	
5024	1505		502401	1502401,1502402,1502403,1502404,1502405,1502406,1502407	
5025	8				
5026	1506				
5027	1507				
2005	1600		200501	1200501,1200502,1200503,1200504,1200505,1200506,1200507,1200508,1200509,1200510,1200511,1200512,1200513,1200514,1200515,1200516,1200517,1200518,1200519,1200520,1200521,1200522,1200523,1200524,1200525,1200526,1200527,1200528,1200529,1200530,1200531,1200532,1200533,1200534,1200535,1200536	
5028	1405				
5029	8				
5030	1601		503001	1503004,1503005,1503006,1503007,1503008,1503009,1503010,1503011,1503012,1503013,1503014,1503015,1503016,1503017,1503018,1503019,1503020,1503021,1503022,1503023,1503024	
5031	1202		503101		
5032	1603		503201	1503208	
5033	1602		503301		
6005	1604				
