排期id	开始时间	结束时间	活动id	[条件]组合	[条件]1类型	[条件]1参数	[条件]2类型	[条件]2参数	[条件]3类型	[条件]3参数	[条件]4类型	[条件]4参数
1	2020-04-01 04:00:00	2020-04-16 04:00:00	1001									
5001001	2020-06-02 04:00:00	2020-07-09 04:00:00	5001		1	19	2	38406				
5002001	2020-05-18 04:00:00	2020-07-18 04:00:00	5002	1	2	2010001						
5002002	2020-07-20 04:00:00	2020-08-18 04:00:00	5002	1	2	2010001						
5002003	2020-11-16 04:00:00	2020-11-30 04:00:00	5002	1	2	2010001						
5002004	2020-12-07 04:00:00	2020-12-21 04:00:00	5002	1	2	2010001						
5002005	2020-11-16 04:00:00	2020-11-30 04:00:00	5002	1	2	2010001						
5002006	2020-12-07 04:00:00	2020-12-21 04:00:00	5002	1	2	2010001						
5002007	2020-12-07 04:00:00	2020-12-21 04:00:00	5002	1	2	2010001						
5002008	2020-12-07 04:00:00	2020-12-21 04:00:00	5002	1	2	2010001						
5002009	2020-12-07 04:00:00	2020-12-21 04:00:00	5002	1	2	2010001						
5002010	2020-12-07 04:00:00	2020-12-21 04:00:00	5002	1	2	2010001						
5002011	2020-12-07 04:00:00	2020-12-21 04:00:00	5002	1	2	2010001						
5002012	2020-12-07 04:00:00	2020-12-21 04:00:00	5002	1	2	2010001						
5002013	2020-12-07 04:00:00	2020-12-21 04:00:00	5002	1	2	2010001						
5002014	2020-12-07 04:00:00	2020-12-21 04:00:00	5002	1	2	2010001						
5002015	2020-12-07 04:00:00	2020-12-21 04:00:00	5002	1	2	2010001						
5003001	2020-05-18 04:00:00	2020-07-18 04:00:00	5003	1	1	11						
2001001	2020-06-24 04:00:00	2020-08-18 04:00:00	2001		1	19						
5004001	2020-06-24 04:00:00	2020-08-18 04:00:00	5004									
5005001	2020-06-02 04:00:00	2020-07-09 04:00:00	5005		1	15	2	38406				
5001002	2020-06-02 04:00:00	2020-07-09 04:00:00	5001		1	19	2	38406				
5006001	2020-09-01 04:00:00	2020-09-08 04:00:00	5006									
5007001	2020-08-05 04:00:00	2021-08-12 04:00:00	5007		1	19						
5001003	2020-06-02 04:00:00	2020-07-09 04:00:00	5001		1	19	2	38406				
3001001	2020-06-02 04:00:00	2021-07-09 04:00:00	3001		1	19						
5008001	2020-12-14 04:00:00	2020-12-21 04:00:00	5008									
5009001	2020-11-30 04:00:00	2020-12-07 04:00:00	5009									
5010001	2020-11-30 04:00:00	2020-12-07 04:00:00	5010									
5011001	2020-08-05 04:00:00	2021-08-12 04:00:00	5011		1	19	2	35001				
5012001	2021-01-06 04:00:00	2021-01-13 04:00:00	5012	1	1	11						
5012002	2021-01-06 04:00:00	2021-01-13 04:00:00	5012	1	1	11						
5014001	2020-08-05 04:00:00	2021-08-12 04:00:00	5014		1	19						
5015001	2020-08-05 04:00:00	2021-08-12 04:00:00	5015									
5016001	2020-08-05 04:00:00	2021-08-12 04:00:00	5016		1	19						
5017001	2020-08-05 04:00:00	2021-08-12 04:00:00	5017		1	19						
2002001	2020-08-05 04:00:00	2021-08-12 04:00:00	2002		1	22						
6002001	2020-11-30 04:00:00	2020-12-21 04:00:00	6002									
6003001	2020-11-30 04:00:00	2020-12-21 04:00:00	6003		1	4						
5018001	2021-02-23 04:00:00	2021-03-02 04:00:00	5018									
5019001	2021-02-23 04:00:00	2021-03-02 04:00:00	5019		1	19						
2003001	2020-12-23 04:00:00	2121-03-02 04:00:00	2003		1	19						
5020001	2020-12-23 04:00:00	2121-03-02 04:00:00	5020		1	19						
5021001	2020-12-23 04:00:00	2121-03-02 04:00:00	5021		1	25						
2004001	2021-01-01 04:00:00	2121-08-12 04:00:00	2004		1	19						
5022001	2121-01-01 04:00:00	2121-04-13 04:00:00	5022		1	19						
5023001	2121-01-01 04:00:00	2121-04-13 04:00:00	5023		1	19						
5024001	2121-01-01 04:00:00	2121-04-13 04:00:00	5024		1	19						
5025001	2121-01-01 04:00:00	2121-04-13 04:00:00	5025									
5026001	2121-01-01 04:00:00	2121-04-13 04:00:00	5026		2	2003004						
5027001	2121-01-01 04:00:00	2121-04-13 04:00:00	5027									
2005001	2121-01-01 04:00:00	2121-04-13 04:00:00	2005		1	20						
5028001	2121-01-01 04:00:00	2121-04-13 04:00:00	5028		1	25						
5029001	2121-01-01 04:00:00	2121-04-13 04:00:00	5029									
5030001	2121-01-01 04:00:00	2121-04-13 04:00:00	5030		1	20						
5031001	2121-01-01 04:00:00	2121-04-13 04:00:00	5031		1	19						
5032001	2121-01-01 04:00:00	2121-04-13 04:00:00	5032		1	20						
5033001	2121-01-01 04:00:00	2121-08-12 04:00:00	5033		1	20						
6005001	2121-01-01 04:00:00	2121-08-12 04:00:00	6005		1	29	2	800311				
