供奉系统ID	等级	[升级道具]ID	[升级道具]数量	奖励ID	[升级执行行为]1类型	[升级执行行为]1参数	[升级执行行为]2类型	[升级执行行为]2参数
1	1			311101				
1	2	107010	10	311102			3	133008191
1	3	107010	10	311103			3	133008191
1	4	107010	10	311104			3	133008191
1	5	107010	10	311105			3	133008191
1	6	107010	10	311106			3	133008191
1	7	107010	10	311107			3	133008191
1	8	107010	10	311108	1	ROUTINE_SNOW_MOUNTAIN	3	133008191
1	9	107010	10	311109			3	133008191
1	10	107010	10	311110			3	133008191
1	11	107010	10	311111			3	133008191
1	12	107010	10	311112	2	ROUTINE_SNOW_MOUNTAIN	3	133008191
