ID	默认是否开启	客户端能否发起功能开启	条件1类型	条件1参数	条件1参数2	条件2类型	条件2参数	条件2参数2	系统开放界面ID
1	0	1							
2	0	1							
3	1	0							
4	1	0							
10	1	0							
5	1	0							
6	1	0							
7	1	1							
8	0	1							
9	1	1							
11	1	0							
12	1	0							
31	0	0	2	2010001					1
30	0	0	1	2					
37	0	0	1	2					
39	0	0	1	14					
45	1	0							
54	0	0	2	35723					13
13	0	1							
14	0	1							
15	0	1							
16	0	1							
17	0	1							
18	0	1							
19	0	1							
20	0	1							
21	0	1							
22	0	1							
23	0	1							
24	0	1							
25	0	1							
26	0	1							
27	1	0							
28	0	1							
29	1	0							
32	0	1							
33	0	1							
34	0	1							
35	0	1							
36	0	1							
38	0	1							
40	0	1							
41	0	1							
50	0	1							
51	0	1							
59	0	1							
52	0	1							
53	0	0	1	8					11
56	0	1							
58	0	1							
76	0	1							
60	0	1							
61	0	1							
62	0	1							
63	0	1							
64	0	1							
66	0	1							
67	0	1							
68	0	1							
69	0	1							
70	0	1							
71	0	1							
72	0	1							
73	0	1							
74	0	1							
75	0	1							
77	0	1							
78	0	1							
79	0	1							
80	0	1							
81	0	1							
82	0	1							
83	0	1							
57	0	0	1	26					17
43	1	1							
1001	1	0							
1002	0	0	1	1		2	31101		
1003	1	0							
1004	0	0	1	5					
1005	0	0	1	5					
1006	0	0	1	13					
1007	1	0							
1008	0	0	1	5					
1009	0	0	1	1		2	31101		
1010	0	0	1	5					
903	0	0	1	1					
901	0	0	1	1					
902	0	0	1	1					
900	0	0	2	2010001					12
1100	0	0				2	2003003		
1103	0	0	1	8					
1101	1	1							
1102	0	0	2	2211102					
1104	0	0	2	39303					
44	1	1							
47	0	0	2	35001					
48	0	0	2	99902					
49	0	0	1	16		2	35001		9
1403	0	0	2	35311					
1200	0	0	2	4000100					2
1201	0	0	2	4000110					
1202	0	0	2	4000104					
1300	0	0	1	1					
1301	0	0	1	20					10
55	1	0							
1401	0	0	2	35802					
1402	0	0	2	39403					
802	0	0	1	25					14
800	0	0	2	7065001					
801	0	0	2	7165001					
1404	0	0	4	1	2				
1405	0	0	4	2	2				
65	1	0							
1406	0	0	2	7014118					15
1407	0	0	2	7181210					
1408	0	0	1	26					
1502	0	0	2	1100811					16
1500	0	0							
1501	0	0	1	35					
1700	0	0	1	10					
1600	0	0	1	70					
1504	0	0	3	71654					
1505	0	1							
1503	0	0	3	71655					
