ID	章节ID	起始任务ID	前置子任务ID	开启时间
1	2009	1020001	45406,46618	
2	2006	48601	39604,1020204	
3	2013	1011001	39604,1020204	
4	2010	1050007	46618,1020204	2020-10-26 04:00:00
6	2014	1102001	102510	2020-12-01 04:00:00
7	2012	1101001	102510,1200309	2020-11-10 00:00:00
8	2016	1103001	102510	2021-01-12 18:00:00
9	2017	1104001	38406	2021-01-12 04:00:00
10	2011	1110009	101801	2021-03-07 04:00:00
11	2018	1111001	101609	2021-03-02 18:00:00
12	2020	1112001	1102402,800311	2021-04-27 00:00:00
13	2019	1012001	39604	2021-05-18 18:00:00
