ID	角色ID	开启条件1类型	开启条件1参数列表
10401	10000021		
10402	10000021	1	2
10403	10000021	1	4
4401	10000003		
4402	10000003	1	2
4403	10000003	1	4
1401	10000005		
1402	10000005		
1403	10000005		
5401	10000006		
5402	10000006	1	2
5403	10000006	1	4
2401	10000007		
2402	10000007		
2403	10000007		
6401	10000014		
6402	10000014	1	2
6403	10000014	1	4
7401	10000015		
7402	10000015	1	2
7403	10000015	1	4
8401	10000016		
8402	10000016	1	2
8403	10000016	1	4
9401	10000020		
9402	10000020	1	2
9403	10000020	1	4
11401	10000022		
11402	10000022	1	2
11403	10000022	1	4
12401	10000023		
12402	10000023	1	2
12403	10000023	1	4
14401	10000024		
14402	10000024	1	2
14403	10000024	1	4
13401	10000025		
13402	10000025	1	2
13403	10000025	1	4
15401	10000027		
15402	10000027	1	2
15403	10000027	1	4
18401	10000029		
18402	10000029	1	2
18403	10000029	1	4
17401	10000030		
17402	10000030	1	2
17403	10000030	1	4
19401	10000031		
19402	10000031	1	2
19403	10000031	1	4
20401	10000032		
20402	10000032	1	2
20403	10000032	1	4
23401	10000033		
23402	10000033	1	2
23403	10000033	1	4
21401	10000034		
21402	10000034	1	2
21403	10000034	1	4
24401	10000035		
24402	10000035	1	2
24403	10000035	1	4
22401	10000036		
22402	10000036	1	2
22403	10000036	1	4
25401	10000037		
25402	10000037	1	2
25403	10000037	1	4
35401	10000038		
35402	10000038	1	2
35403	10000038	1	4
34401	10000039		
34402	10000039	1	2
34403	10000039	1	4
30401	10000041		
30402	10000041	1	2
30403	10000041	1	4
32401	10000042		
32402	10000042	1	2
32403	10000042	1	4
31401	10000043		
31402	10000043	1	2
31403	10000043	1	4
33401	10000044		
33402	10000044	1	2
33403	10000044	1	4
16401	10000026		
16402	10000026	1	2
16403	10000026	1	4
36401	10000046		
36402	10000046	1	2
36403	10000046	1	4
37401	10000045		
37402	10000045	1	2
37403	10000045	1	4
38401	10000048		
38402	10000048	1	2
38403	10000048	1	4
39401	10000051		
39402	10000051	1	2
39403	10000051	1	4
47401	10000047		
47402	10000047	1	2
47403	10000047	1	4
