ID	角色ID	开启条件1类型	开启条件1参数列表
10301	10000021		
10302	10000021		
10303	10000021		
4301	10000003		
4302	10000003		
4303	10000003		
1301	10000005		
1302	10000005		
1303	10000005		
5301	10000006		
5302	10000006		
5303	10000006		
2301	10000007		
2302	10000007		
2303	10000007		
6301	10000014		
6302	10000014		
6303	10000014		
7301	10000015		
7302	10000015		
7303	10000015		
8301	10000016		
8302	10000016		
8303	10000016		
9301	10000020		
9302	10000020		
9303	10000020		
11301	10000022		
11302	10000022		
11303	10000022		
12301	10000023		
12302	10000023		
12303	10000023		
14301	10000024		
14302	10000024		
14303	10000024		
13301	10000025		
13302	10000025		
13303	10000025		
16301	10000026		
16302	10000026		
16303	10000026		
15301	10000027		
15302	10000027		
15303	10000027		
18301	10000029		
18302	10000029		
18303	10000029		
17301	10000030		
17302	10000030		
17303	10000030		
19301	10000031		
19302	10000031		
19303	10000031		
20301	10000032		
20302	10000032		
20303	10000032		
23301	10000033		
23302	10000033		
23303	10000033		
21301	10000034		
21302	10000034		
21303	10000034		
24301	10000035		
24302	10000035		
24303	10000035		
22301	10000036		
22302	10000036		
22303	10000036		
25301	10000037		
25302	10000037		
25303	10000037		
35301	10000038		
35302	10000038		
35303	10000038		
34301	10000039		
34302	10000039		
34303	10000039		
30301	10000041		
30302	10000041		
30303	10000041		
32301	10000042		
32302	10000042		
32303	10000042		
31301	10000043		
31302	10000043		
31303	10000043		
33301	10000044		
33302	10000044		
33303	10000044		
36301	10000046		
36302	10000046		
36303	10000046		
37301	10000045		
37302	10000045		
37303	10000045		
38301	10000048		
38302	10000048		
38303	10000048		
39301	10000051		
39302	10000051		
39303	10000051		
47301	10000047		
47302	10000047		
47303	10000047		
