技能ID	开启天赋配置	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	参数1	参数2	参数3	参数4	参数5	参数6	参数7	参数8	参数9	参数10	参数11	参数12	参数13	参数14	参数15	参数16	参数17	参数18	参数19	技能组ID	等级	类型	消耗金币	消耗道具1ID	消耗道具1数量	消耗道具2ID	消耗道具2数量	消耗道具3ID	消耗道具3数量	消耗道具4ID	消耗道具4数量	筛选条件1	筛选条件2	突破等级	生活效果类型	生活效果参数1	生活效果参数2	生活效果参数3	生活效果参数4	生活效果参数5	效果全队生效
32101	Qin_ProudSkill_Private1					0.5	0.15																		321	1	2	0	0	0	0	0	0	0	0	0			1							
32201	Qin_ProudSkill_Private2					16																			322	1	2	0	0	0	0	0	0	0	0	0			4							
32301																									323	1	2	0	0	0	0	0	0	0	0	0			0	104	1200	1	1			
32501																									325	1	2	0	0	0	0	0	0	0	0	0			0	204	1	2000				
33101	Qin_ProudSkill_1					0.48332	0.4558	0.60286	0.65876	0.79206	1.62024	20	0.639324	1.278377	1.596762										331	1	3	0	0	0	0	0	0	0	0	0			0							
33102	Qin_ProudSkill_1					0.52266	0.4929	0.65193	0.71238	0.85653	1.75212	20	0.691362	1.382431	1.726731										331	2	3	12500	104304	3	112005	6	0	0	0	0			2							
33103	Qin_ProudSkill_1					0.562	0.53	0.701	0.766	0.921	1.884	20	0.7434	1.486485	1.8567										331	3	3	17500	104305	2	112006	3	0	0	0	0			3							
33104	Qin_ProudSkill_1					0.6182	0.583	0.7711	0.8426	1.0131	2.0724	20	0.81774	1.635134	2.04237										331	4	3	25000	104305	4	112006	4	0	0	0	0			3							
33105	Qin_ProudSkill_1					0.65754	0.6201	0.82017	0.89622	1.07757	2.20428	20	0.869778	1.739187	2.172339										331	5	3	30000	104305	6	112006	6	0	0	0	0			4							
33106	Qin_ProudSkill_1					0.7025	0.6625	0.87625	0.9575	1.15125	2.355	20	0.92925	1.858106	2.320875										331	6	3	37500	104305	9	112006	9	0	0	0	0			4							
33107	Qin_ProudSkill_1					0.76432	0.7208	0.95336	1.04176	1.25256	2.56224	20	1.011024	2.02162	2.525112										331	7	3	120000	104306	4	112007	4	113003	1	0	0			5							
33108	Qin_ProudSkill_1					0.82614	0.7791	1.03047	1.12602	1.35387	2.76948	20	1.092798	2.185133	2.729349										331	8	3	260000	104306	6	112007	6	113003	1	0	0			5							
33109	Qin_ProudSkill_1					0.88796	0.8374	1.10758	1.21028	1.45518	2.97672	20	1.174572	2.348646	2.933586										331	9	3	450000	104306	12	112007	9	113003	2	0	0			6							
33110	Qin_ProudSkill_1					0.9554	0.901	1.1917	1.3022	1.5657	3.2028	20	1.26378	2.527025	3.15639										331	10	3	700000	104306	16	112007	12	113003	2	104319	1			6							
33111	Qin_ProudSkill_1					1.032675	0.973875	1.288088	1.407525	1.692338	3.46185	20	1.352988	2.705403	3.379194										331	11	3	0	0	0	0	0	0	0	0	0			6							
