图鉴ID	推送tipID	序号	已废弃
60100001	1002	1	
60100002	1003	2	
60100003	1004	3	
60100004	1006	4	
60100005	1008	5	
60100006	1009	6	
60100007	1010	7	
60100008	1011	8	
60100009	1012	9	
60100010	1013	10	
60100011	1014	11	
60100012	1015	12	
60100013	1016	13	
60100014	1028	14	
60100015	1029	15	
60100016	1034	16	
60200001	1018	6001	
60200002	1019	6002	
60200003	1020	6003	
60200004	1021	6004	
60200005	1022	6005	
60200006	1023	6006	
60200007	1025	6007	
60200008	1026	6008	
60200009	1027	6009	
60200010	4001	6010	
60200011	4002	6011	
60200012	4003	6012	
60200013	4004	6013	
60200014	1035	6014	
60300001	1030	6015	
60300002	1031	6016	
60300003	1032	6017	
60300004	1033	6018	
60300005	1100	6100	
60300006	1101	6101	
60300007	1102	6102	
60300008	1103	6103	
60300009	1104	6104	
60300010	1036	6105	
60400001	3001	4001	
60400004	3004	4002	
60400005	3005	4003	
60400006	3006	4004	
60400007	3007	4005	
60400008	3008	4006	
60400009	3009	4007	
60400010	3010	4008	
60400002	3002	4009	
60400003	3003	4010	
60400011	5001	4011	
60400012	5002	4012	
60400013	3011	4013	
60400014	3012	4014	
60400015	3101	4015	
60400016	3102	4016	
60500001	2009	2001	
60500002	2015	2002	
60500003	2016	2003	
60500004	2019	2004	
60500005	2027	2005	
60500006	2032	2006	
60500007	2033	2007	
60500008	2034	2008	
60500009	2035	2009	
60500010	2036	2010	
60500011	2039	2011	
60500012	2042	2012	
60500013	2043	2013	
60500014	2044	2014	
60500015	2045	2015	
60500016	2046	2016	
60500017	2047	2017	
60500018	2048	2018	
60500019	2049	2019	
60500020	2050	2020	
60500021	2051	2021	
60500022	2052	2022	
60500023	2053	2023	
60500024	2054	2024	
60500025	2055	2025	
60500026	2056	2026	
60500027	2057	2027	
60500028	2058	2028	
60500029	2059	2029	
60500030	2060	2030	
60500031	2061	2031	
60500032	2062	2032	
60500033	2063	2033	
60700001	7001	6019	
60700002	7002	6020	
60700003	7003	6021	
60700004	7004	6023	
60700005	7005	6022	
