ID	观察者WatcherID	消息奖励RewardID	教程ID
1001	1001	300001	300
1002	1002	300001	303
1003	1003	300001	304
1004	1004	300001	305
1005	1005	300001	306
1006	1006	300001	307
1007	1007	300001	308
1008	1008	300001	309
1009	1009	300001	311
1010	1010	300001	313
1011	1011	300001	314
1012	1012	300001	315
1013	1013	300001	316
1014	1014	300001	317
1015	1015	300001	318
1016	1016	300001	319
1018	1018	300001	325
1019	1019	300001	326
1020	1020	300001	327
1021	1021	300001	328
1022	1022	300001	329
1023	1023	300001	330
1025	1025	300001	332
1026	1026	300001	333
1027	1027	300001	320
1028	1028	300001	310
1029	1029	300001	312
1030	1030	300001	335
1031	1031	300001	336
1032	1032	300001	337
1033	1033	300001	338
1034	1034	300001	339
1035	1035	300001	340
1036	1036	300001	346
1100	1100	300001	341
1101	1101	300001	342
1102	1102	300001	343
1103	1103	300001	344
1104	1104	300001	345
2009	2009	300001	117
2015	2015	300001	128
2016	2016	300001	148
2019	2019	300001	139
2027	2027	300001	146
2032	2032	300001	130
2033	2033	300001	131
2034	2034	300001	132
2035	2035	300001	136
2036	2036	300001	236
2039	2039	300001	239
2042	2042	300001	242
2043	2043	300001	243
2044	2044	300001	248
2045	2045	300001	249
2046	2046	300001	250
2047	2047	300001	258
2048	2048	300001	259
2049	2049	300001	260
2050	2050	300001	261
2051	2051	300001	262
2052	2052	300001	263
2053	2053	300001	264
2054	2054	300001	265
2055	2055	300001	266
2056	2056	300001	268
2057	2057	300001	269
2058	2058	300001	270
2059	2059	300001	271
2060	2060	300001	272
2061	2061	300001	276
2062	2062	300001	277
2063	2063	300001	278
3001	3001	300001	400
3002	3009	300001	251
3003	3010	300001	255
3004	3002	300001	401
3005	3003	300001	402
3006	3004	300001	403
3007	3005	300001	404
3008	3006	300001	405
3009	3007	300001	406
3010	3008	300001	407
3011	3011	300001	408
3012	3012	300001	409
3101	3101	300001	410
3102	3102	300001	411
4001	4001	300001	500
4002	4002	300001	501
4003	4003	300001	502
4004	4004	300001	503
5001	5001	300001	601
5002	5002	300001	602
6001			257
6002			801
6003			802
6004			803
6005			804
6006			805
6007			806
6008			807
6009			808
6010			809
6011			810
6012			813
6013			814
6014			815
6015			816
6016			817
6017			818
6018			820
6019			821
6020			822
7001	7001	300001	701
7002	7002	300001	702
7003	7003	300001	703
7004	7004	300001	704
7005	7005	300001	705
9000		300001	900
9001		300001	901
9002		300001	902
9003		300001	905
9004			906
9007			907
9008			908
9009			909
9010			812
10001			1021
