子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]1参数4	[领取条件]1参数5	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]2参数4	[领取条件]2参数5	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]3参数4	[领取条件]3参数5	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[领取条件]4参数4	[领取条件]4参数5	[领取条件]5类型	[领取条件]5参数1	[领取条件]5参数2	[领取条件]5参数3	[领取条件]5参数4	[领取条件]5参数5	[领取条件]6类型	[领取条件]6参数1	[领取条件]6参数2	[领取条件]6参数3	[领取条件]6参数4	[领取条件]6参数5	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2参数2	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3参数2	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4参数2	[完成条件]4复杂参数	[完成条件]4次数	[完成条件]5类型	[完成条件]5参数1	[完成条件]5参数2	[完成条件]5复杂参数	[完成条件]5次数	[完成条件]6类型	[完成条件]6参数1	[完成条件]6参数2	[完成条件]6复杂参数	[完成条件]6次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[失败条件]3类型	[失败条件]3参数1	[失败条件]3参数2	[失败条件]3复杂参数	[失败条件]3次数	[失败条件]4类型	[失败条件]4参数1	[失败条件]4参数2	[失败条件]4复杂参数	[失败条件]4次数	[失败条件]5类型	[失败条件]5参数1	[失败条件]5参数2	[失败条件]5复杂参数	[失败条件]5次数	[失败条件]6类型	[失败条件]6参数1	[失败条件]6参数2	[失败条件]6复杂参数	[失败条件]6次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]参数3	[任务指引]参数4	[任务指引]参数5	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]1参数4	[执行]1参数5	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]2参数4	[执行]2参数5	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[执行]3参数4	[执行]3参数5	[执行]4类型	[执行]4参数1	[执行]4参数2	[执行]4参数3	[执行]4参数4	[执行]4参数5	[执行]5类型	[执行]5参数1	[执行]5参数2	[执行]5参数3	[执行]5参数4	[执行]5参数5	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]1参数3	[失败执行]1参数4	[失败执行]1参数5	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]2参数3	[失败执行]2参数4	[失败执行]2参数5	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[失败执行]3参数3	[失败执行]3参数4	[失败执行]3参数5	[失败执行]4类型	[失败执行]4参数1	[失败执行]4参数2	[失败执行]4参数3	[失败执行]4参数4	[失败执行]4参数5	[失败执行]5类型	[失败执行]5参数1	[失败执行]5参数2	[失败执行]5参数3	[失败执行]5参数4	[失败执行]5参数5	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]1参数3	[开始执行]1参数4	[开始执行]1参数5	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]2参数3	[开始执行]2参数4	[开始执行]2参数5	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	[开始执行]3参数3	[开始执行]3参数4	[开始执行]3参数5	[开始执行]4类型	[开始执行]4参数1	[开始执行]4参数2	[开始执行]4参数3	[开始执行]4参数4	[开始执行]4参数5	[开始执行]5类型	[开始执行]5参数1	[开始执行]5参数2	[开始执行]5参数3	[开始执行]5参数4	[开始执行]5参数5	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID
80001	800	1		1			1	99902	3																																			2	80001																																																												2	1	96					3	1	2				1			15	3	133103559																																																										19	3	133103559,2																														1100				
80002	800	2		1			1	80001	3																																			20	2200901		8000201	1																											20			8000202	1																																	3	1	2																																					14	80001																																																													1100				
80003	800	3		1			1	80002	3																																																																																																							3	1	2		1		1																																																																																															1100				
200001	2000	1				1	17	30					44	10010	1				55	2005001																								4	200001																																																												1		Q200002Player					3	4	2				1																																																																																																			
200002	2000	2					1	200001	3																																			2	200002																																																																																																																																																																												
200003	2000	3					1	200002	3																																			2	200003																																																												2		207701					3	2	2				1																																																																																													2077		1000				
200004	2000	4					1	200003	3																																			2	200004																																																												1		Q200004Beidou	30				3	4	2	1			1																																																															46	3	133108007				46	3	133108008				19	3	133108008,2																1032,1031		1000				
200005	2000	6	1				1	200011	3																																			2	200005																																																												2		10409					3	2	2							23	200008	1																																																																																								1032,1031,10412,10409,10410,10411,10415		1000				
200006	2000	7	1				1	200011	3																																			2	200006																																																												2		10410					3	2	2							23	200008	1																																																																																								1032,1031,10412,10409,10410,10411,10415		1000				
200007	2000	8	1				1	200011	3																																			2	200007																																																												2		10415					3	2	2							23	200008	1				19	3	133108906,3																																																																																		1032,1031,10412,10409,10410,10411,10415		1000				
200008	2000	9			1		1	200011	3																																			24	200008			3																																																																									23	200009	1																																																																																														
200009	2000	10			1		1	200011	3																																			24	200009			1																																																																						1																																																															46	3	133108007																												1032,1031,10412,10409,10410,10411,10415		1000				
200010	2000	11					1	200009	3																																			2	200010																																																												2		10412					3	2	2		1		1																																																															46	3	133108007				46	3	133108008				19	3	133108008,2																10412,10409,10410,10411,1031,1032		1000				
200011	2000	5					1	200004	3																																			4	200011																																																												1		Q200011Trigger	60				3	4	2	1			1																																																															19	3	133108906,2				46	3	133108007				46	3	133108008				19	3	133108008,2										1032,1031		1000				
200101	2001	1					1	200010	3																																			4	200101																																																												2		10412					3	2	2				1																																																															46	3	133108007				46	3	133108008				19	3	133108008,2				47	133108907					55	3					10412,10409,10410,10411,1031,1032		1000				
200102	2001	2		1			1	200101	3																																			20			200102	1																										2	8	200102				21																																									55	3					32																								55	3					32						14	200101					47	133108907					19	3	133108906,3				46	3	133108907				46	3	133108007				31	0					55	0					19	3	133108906,8				10412,10409,10410,10411,1032,1031		1000		QuestAbility_Player_SpecialBattle_200102		
200103	2001	4					1	200114	3																																			2	200103																																																												2		1031					3	2	2				1																																																															46	3	133108007				46	3	133108008				19	3	133108008,3																10412,10409,10410,10411,1032,1031		1000				
200104	2001	5					1	200103	3																																			2	200104																																																												2		10412					3	2	2				1																																																															46	3	133108007				46	3	133108008				19	3	133108008,3				47	133108908					55	3					10412,10409,10410,10411,1032,1031		1000				
200105	2001	6		1			1	200104	3																																			20			200105	1																										2	8	200105				21																																									55	3					32						47	133108908					19	3	133108906,3										55	3					32						14	200104					47	133108908					19	3	133108906,3				46	3	133108908				46	3	133108007				31	0					55	0					19	3	133108906,8				10412,10409,10410,10411,1032,1031,10413		1000		QuestAbility_Player_SpecialBattle_200102		
200106	2001	7					1	200105	3																																			2	200106																																																												2		10413					3	2	2				1																																																															19	3	133108906,4				46	3	133108007																						10412,10409,10410,10411,1032,1031,10413		1000				
200107	2001	8					1	200106	3																																			2	200107																																																												2		10409					3	2	2				1																																																															46	3	133108007				46	3	133108008				19	3	133108008,3																10412,10409,10411,1032,1031		1000				
200108	2001	9					1	200107	3																																			2	200108																																																												2		10411					3	2	2				1																																																															46	3	133108007				46	3	133108008				19	3	133108008,3																10412,10409,10411,1032,1031		1000				
200109	2001	10					1	200108	3																																			2	200109																																																												2		1031					3	2	2				1																																																															46	3	133108007				46	3	133108008				19	3	133108008,3																10412,10409,10411,1032,1031		1000				
200110	2001	11					1	200109	3																																			4	200110																																																												1		Q200111Player	30				3	4	2	1			1																																																															46	3	133108007				46	3	133108008				19	3	133108008,3				46	3	133108006										10412,10409,10411,1032,1031		1000				
200111	2001	12					1	200110	3																																			2	200111																																																												2		1032					3	2	2				1																																																															46	3	133108007				46	3	133108008				19	3	133108008,3				46	3	133108006										10412,10409,10411,1032		1000				
200112	2001	13					1	200111	3																																			20			200112	1																																																									1		Q200112Target	30				3	4	2	1																																																																		46	3	133108006				46	3	133108007				19	3	133108006,1																10412,10409,10411,1032		1000				
