父任务ID	城市	奖励id
311	1	2010041
384	1	2010042
396	1	2010043
20740	1	2010051
20741	1	2010051
20743	1	2010051
70801	1	2010051
70810	1	2010051
70812	1	2010051
70813	1	2010051
70821	1	2010051
70824	1	2010051
70825	1	2010051
418	1	2010051
71012	1	2010051
70141	1	2010051
70102	1	2010051
70104	1	2010051
70108	1	2010051
70106	1	2010051
70121	1	2010051
70123	1	2010051
1018	2	2020041
1016	2	2020042
1025	2	2020043
70814	2	2020051
70815	2	2020051
70822	2	2020051
70823	2	2020051
71014	2	2020051
71018	2	2020051
71020	2	2020051
71802	2	2020051
71803	2	2020051
71804	2	2020051
71805	2	2020051
71807	2	2020051
71808	2	2020051
71809	2	2020051
71810	2	2020051
21003	2	2020051
21004	2	2020051
21007	2	2020051
21009	2	2020051
21015	2	2020051
21020	2	2020051
21021	2	2020051
21022	2	2020051
21023	2	2020051
21024	2	2020051
21025	2	2020051
71005	2	2020051
71555	2	2020051
71011	2	2020051
71008	2	2020051
71006	2	2020051
71814	2	2020051
71813	2	2020051
71811	2	2020051
41402	2	2020051
71812	2	2020051
71022	2	2020051
