ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	进度	已废弃	组ID	激活等级区间	奖励ID	积分
52001	501			1		1001	10,61	3006009	10
52002	301			4		1001	10,61	3006010	10
52003	502	106		100		1001	10,61	3006011	20
52004	401	2		3		1001	10,61	3006012	10
52005	402			3		1001	10,61	3006013	10
52006	109	20040101;20040201;20040301;26020201;26020101;20050101;29020102;26050101;26050201;26050301;26050401	可联机	1		1001	10,30	3006014	20
52007	109	20040101;20040201;20040301;26020201;26020101;20050101;29020102;26050101;26050201;26050301;26050401	可联机	1		1001	30,40	3006016	20
52008	109	20040101;20040201;20040301;26020201;26020101;20050101;29020102;26050101;26050201;26050301;26050401	可联机	1		1001	40,50	3006018	20
52009	109	20040101;20040201;20040301;26020201;26020101;20050101;29020102;26050101;26050201;26050301;26050401	可联机	1		1001	50,61	3006020	20
52010	109	24010101;23030101;23010501	可联机	1		1001	10,30	3006015	20
52011	109	24010101;23030101;23010501	可联机	1		1001	30,40	3006017	20
52012	109	24010101;23030101;23010501	可联机	1		1001	40,50	3006019	20
52013	109	24010101;23030101;23010501	可联机	1		1001	50,61	3006021	20
52014	501			1		1002	10,61	3006009	10
52015	301			4		1002	10,61	3006010	10
52016	502	104001;104002;104003		1		1002	10,61	3006023	10
52017	225	1		1		1002	10,61	3006024	10
52018	226	1		1		1002	10,61	3006025	10
52019	401	2		3		1002	10,61	3006012	10
52020	502	106		40		1002	10,30	3006014	20
52021	502	106		60		1002	30,40	3006016	20
52022	502	106		80		1002	40,50	3006018	20
52023	502	106		100		1002	50,61	3006020	20
52024	109	24010101;23030101;23010501	可联机	1		1002	10,30	3006015	20
52025	109	24010101;23030101;23010501	可联机	1		1002	30,40	3006017	20
52026	109	24010101;23030101;23010501	可联机	1		1002	40,50	3006019	20
52027	109	24010101;23030101;23010501	可联机	1		1002	50,61	3006021	20
