ID	难度1	难度2	难度3	难度4	难度5	难度6	难度7	难度8	难度9
1	12	21	27	33	33	33	35	31	29
2	19	25	34	36	32	32	30	13	9
3	11	18	24	27	25	25	25	21	19
4	17	18	24	27	25	25	25	21	19
5	29	31	33	33	33	33	33	33	33
6	30	31	32	33	33	33	33	33	33
7	31	32	33	34	34	34	34	34	34
8	11	18	24	27	25	25	25	21	19
9	29	32	33	35	31	31	29	23	29
10	27	29	30	31	27	27	25	19	25
11	14	18	25	25	21	21	19	13	19
12	19	25	33	35	31	31	29	23	29
13	15	20	27	27	23	23	21	15	21
14	17	22	30	31	27	27	25	19	25
15	19	25	33	35	31	31	29	23	29
16	24	24	24	24	25	26	27	28	28
1000	14	18	25	25	21	21	19	13	19
1001	19	25	33	35	31	31	29	23	29
1002	24	32	41	45	41	41	39	33	39
2000	9	19	29	39	49	59	69	74	79
2001	14	24	34	44	54	64	74	79	84
2002	19	29	39	49	59	69	79	84	89
